セクション,セクション_ja,項目,項目_ja,2026年モデル 40 TFSI ラグジュアリースポーツ,2026年モデル 45 TFSI プレミアムスポーツ,2026年モデル 45 TFSI quattro プレミアムスポーツ,2026年モデル 45 TFSI quattro プレミアムスポーツ＋エクスクルーシブパッケージ,2026年モデル 55 TFSI quattro エクスクルーシブスポーツ,2025年モデル 改良版 40 TFSI ラグジュアリースポーツ,2025年モデル 改良版 45 TFSI プレミアムスポーツ,2025年モデル 45 TFSI プレミアムスポーツ＋ベンチレーションパッケージ,2025年モデル 改良版 45 TFSI quattro プレミアムスポーツ,2025年モデル 45 TFSI quattro プレミアムスポーツ＋エクスクルーシブパッケージ,2025年モデル 改良版 55 TFSI quattro エクスクルーシブスポーツ,2025年モデル 改良版 55 TFSI quattro フラッグシップスポーツ,2027年モデル ベーシック
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0T 190馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,3.0T 340馬力 V6,2.0T 190馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,3.0T 340馬力 V6,3.0T 340馬力 V6,2.0T 272馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5050×1886×1475,5050×1886×1475,5050×1886×1475,5050×1886×1475,5050×1886×1475,5050×1886×1475,5050×1886×1475,5050×1886×1475,5050×1886×1475,5050×1886×1475,5050×1886×1475,5050×1886×1475,5142×1887×1464
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.2,7.4,7.2,7.2,5.6,9.2,7.4,7.4,7.2,7.2,5.6,5.6,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),230,250,250,250,250,230,250,250,250,250,250,250,250
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.02,7.3,7.78,7.78,8.5,7.02,7.3,7.3,7.78,7.78,8.5,8.5,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1795,1810,1880,1880,1995,1795,1810,1810,1880,1880,1995,1995,2060
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2320,2350,2385,2385,2505,2320,2350,2350,2385,2385,2505,2505,2595
车身,車体,长度(mm),全長(mm),5050,5050,5050,5050,5050,5050,5050,5050,5050,5050,5050,5050,5142
车身,車体,宽度(mm),全幅(mm),1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1887
车身,車体,高度(mm),全高(mm),1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1464
车身,車体,轴距(mm),ホイールベース(mm),3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3066
车身,車体,前轮距(mm),前トレッド(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1625
车身,車体,后轮距(mm),後トレッド(mm),1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1610
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),117,117,117,117,117,117,117,117,117,117,117,117,-
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,14,15,15,15,15,15,14,14,13
车身,車体,离去角(°),デパーチャーアングル(°),14,14,14,14,17,14,14,14,14,14,17,17,14
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),73,73,73,73,73,73,73,73,73,73,73,73,-
车身,車体,后备厢容积(L),トランク容量(L),430,430,430,430,430,430,430,430,430,430,430,430,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DTG,DTK,DTK,DTK,DLZ,DTG,DTK,DTK,DTK,DTK,DLZ,DLZ,DXG
发动机,エンジン,排量(mL),排気量(mL),1984,1984,1984,1984,2995,1984,1984,1984,1984,1984,2995,2995,1984
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,V,L,L,L,L,L,V,V,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,6,4,4,4,4,4,6,6,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),190,245,245,245,340,190,245,245,245,245,340,340,272
发动机,エンジン,最大功率(kW),最大出力(kW),140,180,180,180,250,140,180,180,180,180,250,250,200
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),4500-6250,5000-6000,5000-6000,5000-6000,5400-6400,4500-6250,5000-6000,5000-6000,5000-6000,5000-6000,5400-6400,5400-6400,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),320,370,370,370,500,320,370,370,370,370,500,500,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1500-4000,1600-4300,1600-4300,1600-4300,1370-4500,1500-4000,1600-4300,1600-4300,1600-4300,1600-4300,1370-4500,1370-4500,-
发动机,エンジン,最大净功率(kW),最大出力(kW),140,180,180,180,250,140,180,180,180,180,250,250,200
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金,鋳鉄
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,-,-,-,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,-,-,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 245/45 R19
○ 255/40 R20（3200元）",● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,"● 245/45 R19
○ 255/40 R20（3200元）",● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/35 R21
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 245/45 R19
○ 255/40 R20（3200元）",● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,"● 245/45 R19
○ 255/40 R20（3200元）",● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/40 R20,● 255/35 R21
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席 ○（2000元）,前席 ● / 後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,-
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● カスタム／パーソナライズ",-
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,"○ サスペンション硬さ調整
○ サスペンション高さ調整",-,-,-,-,-,"○ サスペンション硬さ調整
○ サスペンション高さ調整","○ サスペンション硬さ調整
○ サスペンション高さ調整",-
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,-,-,-,○ （2.9万元）,-,-,-,-,-,○ （2.9万元）,○ （2.9万元）,-
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● バックカメラ
○ 360度パノラマカメラ（7000元）",● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,"● バックカメラ
○ 360度パノラマカメラ（7000元）",● 360度パノラマカメラ,● バックカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,"● 2個
○ 5個",● 5個,● 5個,● 5個,● 5個,"● 2個
○ 5個",● 5個,● 2個,● 5個,● 5個,● 5個,● 5個,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 8個,● 12個,● 12個,● 12個,● 12個,● 8個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,-
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,"● 1個
○ 3個","● 1個
○ 3個","● 1個
○ 3個","● 1個
○ 3個","● 1個
○ 3個","● 1個
○ 3個","● 1個
○ 3個","● 1個
○ 3個","● 1個
○ 3個","● 1個
○ 3個","● 1個
○ 3個",● 3個,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,"● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）","● クルーズコントロール
○ 全速度域適応クルーズコントロール（2.00万元）",-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,○,○,○,○,○,○,○,○,○,○,○,●,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,○,○,○,○,○,○,○,○,○,○,○,●,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,○,○,○,○,○,○,○,○,○,○,○,○,-
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,○,○,○,○,○,○,○,○,○,○,○,○,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,-
