セクション,セクション_ja,項目,項目_ja,2026年モデル 210悦享版,2026年モデル 210レーザーレーダー版,2026年モデル 530舒享版,2026年モデル 605悦享版,2026年モデル 605レーザーレーダー版
车身,車体,前轮距(mm),前トレッド(mm),1625,1625,1625,1625,1625
车身,車体,后轮距(mm),後トレッド(mm),1620,1620,1620,1620,1620
车身,車体,空载最小离地间隙(mm),無負荷最小最低地上高(mm),180,180,180,180,180
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,-,-,-
车身,車体,后备厢容积(L),トランク容量(L),370-835,370-835,370-835,370-835,370-835
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,H15R（モデル名）,H15R（モデル名）,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1499,1499,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),95,95,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),70,70,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大正味出力(kW),68,68,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,-,-,-
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,金華凌昇（メーカー名）,金華凌昇（メーカー名）,金華凌昇（メーカー名）,金華凌昇（メーカー名）,金華凌昇（メーカー名）
电动机,モーター,后电动机型号,後モーター型式,TZ220XY002（型式）,TZ220XY002（型式）,TZ220XY002（型式）,TZ220XY038（型式）,TZ220XY038（型式）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),170,170,170,220,220
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),231,231,231,299,299
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),320,320,320,360,360
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),170,170,170,220,220
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),320,320,320,360,360
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 中创新航・国軒高科製,● 中创新航・国軒高科製,● 蜂巣エナジー・新能安製,● 中创新航・億緯動力・江蘇正力製,● 中创新航・億緯動力・江蘇正力製
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),140,140,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),210,210,530,605,605
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1020,1020,-,-,-
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1190,1190,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),28.4,28.4,69.9,74.9,74.9
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),18.1,18.1,14.5,14.1,14.1
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,-,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,-,-,-,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.3,0.3,0.5,0.27,0.27
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),3,3,6.1,7.5,7.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,235/55 R18、245/45 R20タイヤサイズ,235/55 R18、245/45 R20タイヤサイズ,235/55 R18、245/45 R20タイヤサイズ,235/55 R18、245/45 R20タイヤサイズ,235/55 R18、245/45 R20タイヤサイズ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,235/55 R18、245/45 R20タイヤサイズ,235/55 R18、245/45 R20タイヤサイズ,235/55 R18、245/45 R20タイヤサイズ,235/55 R18、245/45 R20タイヤサイズ,235/55 R18、245/45 R20タイヤサイズ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,-,● 前席／後席,● 前席／後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,-,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,-,-,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,●,-,-,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,-,●,-,-,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ、標準／快適、カスタム／パーソナライズモード,● スポーツ、標準／快適、カスタム／パーソナライズモード,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズモード,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズモード,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズモード
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,-,-,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席-／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビュー＋車側死角カメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビュー＋車側死角カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,● Qualcomm Snapdragon 8650搭載,-,-,● Qualcomm Snapdragon 8650搭載
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● ステレオカメラ,● 単眼カメラ,● 単眼カメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 5個（数）,● 11個（数）,● 5個（数）,● 5個（数）,● 11個（数）
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 200万画素,● 800万画素,● 200万画素,● 200万画素,● 800万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,-,● 300万画素,-,-,● 300万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 130万画素,● 300万画素,● 130万画素,● 130万画素,● 300万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,-,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 4個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,-,● 3個,-,-,● 3個
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー台数,-,● 1個,-,-,● 1個
驾驶硬件,運転ハードウェア,激光雷达线数,ライダーライン数,-,● 128ライン,-,-,● 128ライン
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検知距離,-,● 300メートル,-,-,● 300メートル
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,-,-,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,-,-,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,-,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,●,-,-,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,●,-,-,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,-,-,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,● 高速道路区間,-,-,● 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● メカニカルキー、Bluetoothキー、NFC/RFIDキー,● メカニカルキー、Bluetoothキー、NFC/RFIDキー,● メカニカルキー、Bluetoothキー、NFC/RFIDキー,● メカニカルキー、Bluetoothキー、NFC/RFIDキー,● メカニカルキー、Bluetoothキー、NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,-,-,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト機能,○,○,○,○,○
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,-,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯、助手席＋照明灯,● 運転席＋照明灯、助手席＋照明灯,● 運転席＋照明灯、助手席＋照明灯,● 運転席＋照明灯、助手席＋照明灯,● 運転席＋照明灯、助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整、電動格納、ミラー記憶、ミラー加熱、バック時自動下向き、施錠時自動格納,● 電動調整、電動格納、ミラー記憶、ミラー加熱、バック時自動下向き、施錠時自動格納,● 電動調整、ミラー加熱,● 電動調整、電動格納、ミラー記憶、ミラー加熱、バック時自動下向き、施錠時自動格納,● 電動調整、電動格納、ミラー記憶、ミラー加熱、バック時自動下向き、施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応、Carlink対応,● HUAWEI HiCar対応、Carlink対応,● Carlink対応,● HUAWEI HiCar対応、Carlink対応,● HUAWEI HiCar対応、Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ、電話、エアコン）,● マルチメディアシステム（ナビ、電話、エアコン）,● マルチメディアシステム（ナビ、電話、エアコン）,● マルチメディアシステム（ナビ、電話、エアコン）,● マルチメディアシステム（ナビ、電話、エアコン）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小零（音声アシスタント）,● こんにちは、小零（音声アシスタント）,● こんにちは、小零（音声アシスタント）,● こんにちは、小零（音声アシスタント）,● こんにちは、小零（音声アシスタント）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証機能,●,●,-,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●
