セクション,セクション_ja,項目,項目_ja,2025年モデル 途勝L 1.5T 先進版,2025年モデル 途勝L 1.5T エリート版,2025年モデル 途勝L 1.5T プレミアム版,2025年モデル 途勝L 1.5T フラッグシップ版,2025年モデル 途勝L 1.5T エリート版 N Line,2025年モデル 途勝L 1.5T プレミアム版 N Line
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,-,●,-,-
驾驶功能,運転機能,起步提醒,発進お知らせ機能,-,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,● 高速道路区間,● 高速道路区間,-,● 高速道路区間
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,-,● スポーティスタイル,● スポーティスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,○ （2000元）,●,-,○ （2000元）
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,○,●,-,○
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,○,●,-,○
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,"● リモコンキー
○ Bluetoothキー
○ NFC/RFIDキー
○ UWBデジタルキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー",● リモコンキー,"● リモコンキー
○ Bluetoothキー
○ NFC/RFIDキー
○ UWBデジタルキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,-,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,-,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,○ 雨量感知式,● 雨量感知式,-,○ 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,● ハイ、ヒュンダイ,● ハイ、ヒュンダイ,● ハイ、ヒュンダイ,● ハイ、ヒュンダイ
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Bluelink,● Bluelink,● Bluelink,● Bluelink,● Bluelink,● Bluelink
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,-,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,-,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● ライトコントロール
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● ライトコントロール
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● ライトコントロール
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● ライトコントロール
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● ライトコントロール
● 車両状態確認／診断","● ドアコントロール
● エンジン始動
● ライトコントロール
● 車両状態確認／診断"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,●,●,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,●,●,-,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 4インチ,● 4インチ,● 12.3インチ,● 12.3インチ,● 4インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,○,●,-,○
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,ヘッドアップディスプレイサイズ,-,-,○ 12インチ,● 12インチ,-,○ 12インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,● 前席,-,● 前席
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ソケット,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革,● 本革／スエード素材ミックス,● 本革／スエード素材ミックス
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,-,-,●,●
