セクション,項目,途胜 2025款 途胜L 1.5T 领先版,途胜 2025款 途胜L 1.5T 精英版,途胜 2025款 途胜L 1.5T 尊贵版,途胜 2025款 途胜L 1.5T 旗舰版,途胜 2025款 途胜L 1.5T 精英版 N-Line,途胜 2025款 途胜L 1.5T 尊贵版 N-Line
基本参数,整备质量(kg),1497,1557,1557,1585,1585,1585
基本参数,最大满载质量(kg),2010,2010,2010,2010,2010,2010
车身,长度(mm),4670,4670,4670,4670,4670,4670
车身,宽度(mm),1865,1865,1865,1865,1865,1865
车身,高度(mm),1690,1690,1690,1690,1690,1690
车身,轴距(mm),2755,2755,2755,2755,2755,2755
车身,前轮距(mm),1620,1615,1615,1615,1615,1615
车身,后轮距(mm),1627,1622,1622,1622,1622,1622
车身,满载最小离地间隙(mm),153,153,153,153,153,153
车身,接近角(°),18,18,18,18,18,18
车身,离去角(°),25,25,25,25,25,25
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),54,54,54,54,54,54
车身,后备厢容积(L),583-1904,583-1904,583-1904,583-1904,583-1904,583-1904
车身,风阻系数(Cd),-,-,-,-,-,-
发动机,发动机型号,G4FS,G4FS,G4FS,G4FS,G4FS,G4FS
发动机,排量(mL),1497,1497,1497,1497,1497,1497
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),200,200,200,200,200,200
发动机,最大功率(kW),147,147,147,147,147,147
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),253,253,253,253,253,253
发动机,最大扭矩转速(rpm),2200-4000,2200-4000,2200-4000,2200-4000,2200-4000,2200-4000
发动机,最大净功率(kW),147,147,147,147,147,147
发动机,发动机特有技术,CVVD,CVVD,CVVD,CVVD,CVVD,CVVD
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,前置前驱 前置四驱,前置前驱 前置四驱,● 前置前驱,前置前驱 前置四驱
底盘转向,四驱形式,-,-,○ 适时四驱,○ 适时四驱,-,○ 适时四驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/65 R17,● 235/60 R18,235/60 R18 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19
车轮制动,后轮胎规格,● 235/65 R17,● 235/60 R18,235/60 R18 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 主驾驶位,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,●
主动安全,疲劳驾驶提示,-,●,●,●,●,●
主动安全,DOW开门预警,-,-,-,●,-,-
主动安全,前方碰撞预警,-,●,●,●,●,●
主动安全,后方碰撞预警,-,-,-,●,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 越野 雪地 自定义/个性化,运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 越野 雪地 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像 车侧盲区影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 1个,● 2个,● 2个,● 5个,● 2个,● 2个
驾驶硬件,超声波雷达数量,-,○ 8个,● 8个,● 12个,○ 8个,● 8个
驾驶硬件,毫米波雷达数量,-,● 1个,● 1个,● 3个,● 1个,● 1个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,● Hyundai Smart Sense,● Hyundai Smart Sense,-,● Hyundai Smart Sense
驾驶功能,辅助驾驶等级,-,-,● L2,● L2,-,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●,-,-
驾驶功能,卫星导航系统,-,-,●,●,●,●
驾驶功能,导航路况信息显示,-,-,●,●,●,●
驾驶功能,地图品牌,-,-,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,●,-,-
驾驶功能,车道保持辅助系统,-,●,●,●,●,●
驾驶功能,车道居中保持,-,●,●,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-
驾驶功能,遥控泊车,-,-,-,●,-,-
驾驶功能,起步提醒,-,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,-,● 高速路段,● 高速路段,-,● 高速路段
外观/防盗,外观套件,-,-,-,-,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,○ (2000元),●,-,○ (2000元)
外观/防盗,感应后备厢,-,-,○,●,-,○
外观/防盗,电动后备厢位置记忆,-,-,○,●,-,○
外观/防盗,车顶行李架,-,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙,遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,-,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,-,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,○ 雨量感应式,● 雨量感应式,-,○ 雨量感应式
外后视镜,外后视镜功能,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife
屏幕/系统,语音识别控制系统,-,-,●,●,●,●
屏幕/系统,语音助手唤醒词,-,-,● 你好，现代,● 你好，现代,● 你好，现代,● 你好，现代
屏幕/系统,语音分区域唤醒识别,-,-,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,车载智能系统,● Bluelink,● Bluelink,● Bluelink,● Bluelink,● Bluelink,● Bluelink
智能化配置,车联网,-,-,●,●,●,●
智能化配置,4G/5G网络,-,-,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●
智能化配置,Wi-Fi热点,-,-,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,●,●,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,●,●,-,●
方向盘/内后视镜,液晶仪表尺寸,● 4英寸,● 4英寸,● 12.3英寸,● 12.3英寸,● 4英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,○,●,-,○
方向盘/内后视镜,HUD抬头尺寸,-,-,○ 12英寸,● 12英寸,-,○ 12英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,● 前排,● 前排,-,● 前排
车内充电,行李厢12V电源接口,●,●,●,●,●,●
座椅配置,座椅材质,● 织物,● 织物,● 仿皮,● 仿皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭
座椅配置,运动风格座椅,-,-,-,-,●,●
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,○ 主 / 副-,● 主 / 副,● 主 / 副,○ 主 / 副-,● 主 / 副
座椅配置,前排座椅功能,-,-,● 加热,● 加热 通风,-,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,● BOSE,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,● 64色,● 64色,-,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-
空调/冰箱,后座出风口,-,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
颜色,外观颜色,极地白 幻影黑 墨云灰 苍松绿 火星红,极地白 幻影黑 墨云灰 苍松绿 火星红 苍松绿哑光漆 ￥2000,极地白 幻影黑 黑色/极地白 ￥1000 墨云灰 苍松绿 火星红 黑色/墨云灰 ￥1000 苍松绿哑光漆 ￥2000,极地白 幻影黑 黑色/极地白 ￥1000 墨云灰 苍松绿 火星红 黑色/墨云灰 ￥1000 苍松绿哑光漆 ￥2000,极地白 幻影黑 火星红 钛金灰哑光漆 ￥2000,极地白 幻影黑 黑色/极地白 ￥1000 火星红 钛金灰哑光漆 ￥2000
颜色,内饰颜色,黑色,黑色,黑色 灰色/绿色 灰色/黑色,黑色 灰色/绿色 灰色/黑色,黑色,黑色 灰色/绿色 灰色/黑色
选装包,双色车身,-,-,○ 包含：双色车身 选配 (1000元),○ 包含：双色车身 选配 (1000元),-,-
选装包,选装包4,-,-,○ HUD抬头显示+数字钥匙2.0+雨量感应雨刷 选配 (4000元),-,-,○ HUD抬头显示+数字钥匙2.0+雨量感应雨刷 选配 (4000元)
选装包,选装包2,-,-,○ 四驱系统+多地形模式+235/55 R19 选配 (10000元),○ 四驱系统+多地形模式+235/55 R19 选配 (10000元),-,○ 四驱系统+多地形模式+235/55 R19 选配 (10000元)
