セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5T DCT ラブラドール版,2026年モデル 1.5T DCT ボーダーコリー版,2026年モデル 2.0T DCT チュウカデンエンケン版,2024年モデル 1.5T DCT ラブラドール版,2024年モデル 1.5T DCT ボーダーコリー版,2024年モデル 2.0T DCT チュウカデンエンケン版
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,185,200,185,185,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.46,7.46,8.35,7.46,7.46,8.35
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証ポリシー,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品は生涯保証（免責事項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1605,1605,1740,1605,1605,1740
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2040,2040,2150,2040,2040,2150
车身,車体,长度(mm),全長(mm),4620,4620,4620,4620,4620,4620
车身,車体,宽度(mm),全幅(mm),1890,1890,1890,1890,1890,1890
车身,車体,高度(mm),全高(mm),1780,1780,1780,1780,1780,1780
车身,車体,轴距(mm),ホイールベース(mm),2738,2738,2738,2738,2738,2738
车身,車体,前轮距(mm),前トレッド(mm),1631,1631,1631,1631,1631,1631
车身,車体,后轮距(mm),後トレッド(mm),1640,1640,1640,1640,1640,1640
车身,車体,空载最小离地间隙(mm),無負荷時最小地上高(mm),200,200,200,200,200,200
车身,車体,接近角(°),アプローチアングル(°),24,24,24,24,24,24
车身,車体,离去角(°),デパーチャーアングル(°),30,30,30,30,30,30
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),61,61,60,61,61,60
车身,車体,后备厢容积(L),トランク容量(L),496,496,496,496,496,496
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,GW4B15L（エンジン型式）,GW4B15L（エンジン型式）,GW4N20A（エンジン型式）,GW4B15L（エンジン型式）,GW4B15L（エンジン型式）,GW4N20A（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1998,1499,1499,1998
发动机,エンジン,排量(L),排気量(L),1.5,1.5,2.0,1.5,1.5,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),184,184,238,184,184,238
发动机,エンジン,最大功率(kW),最大出力(kW),135,135,175,135,135,175
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500-6000,5500-6000,6000,5500-6000,5500-6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),275,275,385,275,275,385
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1500-4000,1500-4000,1700-4000,1500-4000,1500-4000,1700-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),130,130,170,130,130,170
发动机,エンジン,发动机特有技术,エンジン独自技術,ミラーサイクル,ミラーサイクル,ミラーサイクル,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,9速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,9速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,9,7,7,9
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● パートタイム4WD,-,-,● パートタイム4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,● 多板クラッチ,-,-,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,235/60 R19、235/65 R18タイヤ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,● 235/65 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,235/60 R19、235/65 R18タイヤ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,● 235/65 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納,● トランク内収納,● トランク内収納,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,● 前席 / 後席,● 前席 / 後席,-,● 前席 / 後席,● 前席 / 後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,-,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,-,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,○,○,-,○,○
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,-,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,○,○,-,○,○
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適・スノー,● スポーツ・エコノミー・標準/快適・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・スノー,● スポーツ・エコノミー・標準/快適・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ技術,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●
四驱/越野,四驱/越野,中央差速器锁止功能,センターデフロック機能,-,-,●,-,-,●
四驱/越野,四驱/越野,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,-,-,● リアアクスルデフロック,-,-,● リアアクスルデフロック
四驱/越野,四驱/越野,蠕行模式,クローリングモード,-,-,●,-,-,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● フロント-/リア,● 前席 / 後席,● 前席 / 後席,● フロント-/リア,フロント / リア,● フロント-/リア
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● 単眼カメラ,● 単眼カメラ,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 4個（センサー）,● 5個（センサー）,● 5個（センサー）,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個（センサー）,8個、12個（センサー）,8個、12個（センサー）,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2（自動運転支援）,● レベル2（自動運転支援）,-,● レベル2（自動運転支援）,● レベル2（自動運転支援）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,○,○,-,○,○
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,○,○,-,○,○
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,-,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,-,●,●,-,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,-,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,○,○,-,○,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,○,○,-,○,-
驾驶功能,運転機能,循迹倒车,トレースバックリバース,-,-,-,-,○,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,-,-,○ 高速道路区間,○ 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,-,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,●,●,-,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,● LED,● LED,-,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 運転席,● 車両全体,● 車両全体,● 運転席,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席 助手席,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席 助手席,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 純正連携/ミラーリング対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 純正連携/ミラーリング対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 純正連携/ミラーリング対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ウェイクワード不要音声認識,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチスクリーン操作,●,●,●,●,●,●
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置検索/呼出し,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置検索/呼出し,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置検索/呼出し,● ドア操作 エンジン始動 エアコン操作 車両位置検索/呼出し,● ドア操作 エンジン始動 エアコン操作 車両位置検索/呼出し,● ドア操作 エンジン始動 エアコン操作 車両位置検索/呼出し
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,●,●,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,手動防眩目 自動防眩目,手動防眩目 自動防眩目,● 手動防眩目,手動防眩目 自動防眩目,手動防眩目 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （500元）,○ （500元）,○ （500元）,○,○,○ （500元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,-,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
