セクション,項目,零跑C16 2026款 增程 200尊享版 6座,零跑C16 2026款 增程 280激光雷达版 6座,零跑C16 2026款 增程 280激光雷达智尊版 6座,零跑C16 2026款 增程 280激光雷达智尊版 5座,零跑C16 2026款 纯电 580尊享版 6座,零跑C16 2026款 纯电 630激光雷达版 6座,零跑C16 2026款 纯电 630激光雷达智尊版 6座,零跑C16 2026款 纯电 630激光雷达智尊版 5座,零跑C16 2024款 增程 200智享版,零跑C16 2024款 增程 200尊享版,零跑C16 2024款 增程 200激光雷达版,零跑C16 2024款 纯电 520智享版,零跑C16 2024款 纯电 520尊享版,零跑C16 2024款 纯电 520激光雷达版,零跑C16 2024款 纯电 580尊享版,零跑C16 2024款 纯电 580激光雷达版
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,增程器 95马力,增程器 95马力,增程器 95马力,增程器 95马力,-,-,-,-,1.5L 95马力 L4,1.5L 95马力 L4,1.5L 95马力 L4,-,-,-,-,-
基本参数,电动机(Ps),231,231,231,231,292,299,299,299,231,231,231,292,292,292,292,292
基本参数,长*宽*高(mm),4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770
基本参数,官方0-100km/h加速(s),8.46,8.6,8.6,8.6,6.37,6.48,6.48,6.48,8.46,8.46,8.46,6.37,6.37,6.37,6.37,6.37
基本参数,最高车速(km/h),170,170,170,170,190,190,190,190,170,170,170,160,160,160,190,190
基本参数,WLTC综合油耗(L/100km),0.88,0.67,0.67,0.67,-,-,-,-,0.88,0.88,0.88,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,6.19,6.42,6.42,6.42,-,-,-,-,6.19,6.19,6.19,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,5.4,5.5,5.5,5.5,-,-,-,-,5.4,5.4,5.4,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,1.68,1.7,1.7,1.7,2.09,2.09,2.09,1.67,1.67,1.67,1.68,1.68
基本参数,油电综合燃料消耗量(L/100km),3.03,3.02,3.02,3.02,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),2065,2145,2145,2145,2125,2195,2195,2195,2065,2065,2065,2095,2095,2095,2125,2125
基本参数,最大满载质量(kg),2515,2595,2595,2595,2575,2645,2645,2645,2515,2515,2515,2545,2545,2545,2575,2575
车身,长度(mm),4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915
车身,宽度(mm),1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905
车身,高度(mm),1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770
车身,轴距(mm),2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825
车身,前轮距(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,后轮距(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,空载最小离地间隙(mm),205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
车身,接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,离去角(°),21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 6,● 6,● 6,● 5,● 6,● 6,● 6,● 5,● 6,● 6,● 6,● 6,● 6,● 6,● 6,● 6
车身,油箱容积(L),50,50,50,50,-,-,-,-,50,50,50,-,-,-,-,-
车身,后备厢容积(L),209-1022,209-1022,209-1022,687-1663,209-1022,209-1022,209-1022,687-1663,209-1022,209-1022,209-1022,209-1022,209-1022,209-1022,209-1022,209-1022
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,H15R,H15R,H15R,H15R,-,-,-,-,H15R,H15R,H15R,-,-,-,-,-
发动机,排量(mL),1499,1499,1499,1499,-,-,-,-,1499,1499,1499,-,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,-,-,-,-,1.5,1.5,1.5,-,-,-,-,-
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-,自然吸气,自然吸气,自然吸气,-,-,-,-,-
发动机,发动机布局,横置,横置,横置,横置,-,-,-,-,横置,横置,横置,-,-,-,-,-
发动机,气缸排列形式,L,L,L,L,-,-,-,-,L,L,L,-,-,-,-,-
发动机,气缸数(个),4,4,4,4,-,-,-,-,4,4,4,-,-,-,-,-
发动机,每缸气门数(个),4,4,4,4,-,-,-,-,4,4,4,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,-,-,-,-,DOHC,DOHC,DOHC,-,-,-,-,-
发动机,最大马力(Ps),95,95,95,95,-,-,-,-,95,95,95,-,-,-,-,-
发动机,最大功率(kW),70,70,70,70,-,-,-,-,70,70,70,-,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),68,68,68,68,-,-,-,-,68,68,68,-,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,-,-,-,-,92号,92号,92号,-,-,-,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,-,-,-,-,多点电喷,多点电喷,多点电喷,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,-,-,-,-,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,-,-,-,-,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,-,-,-,-,国VI,国VI,国VI,-,-,-,-,-
电动机,后电动机品牌,-,-,-,-,-,-,-,-,-,-,-,金华凌昇,金华凌昇,金华凌昇,金华凌昇,金华凌昇
电动机,后电动机型号,-,-,-,-,-,-,-,-,-,-,-,TZ220XY008,TZ220XY008,TZ220XY008,TZ220XY008,TZ220XY008
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),170,170,170,170,215,220,220,220,170,170,170,215,215,215,215,215
电动机,电动机总马力(Ps),231,231,231,231,292,299,299,299,231,231,231,292,292,292,292,292
电动机,电动机总扭矩(N·m),320,320,320,320,360,360,360,360,320,320,320,360,360,360,360,360
电动机,后电动机最大功率(kW),170,170,170,170,215,220,220,220,170,170,170,215,215,215,215,215
电动机,后电动机最大扭矩(N·m),320,320,320,320,360,360,360,360,320,320,320,360,360,360,360,360
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 国轩高科,● 宁德时代 中创新航 国轩高科,● 宁德时代 中创新航 国轩高科,● 宁德时代 中创新航 国轩高科,● 中创新航 江苏正力,● 国轩高科 亿纬动力 江苏正力,● 国轩高科 亿纬动力 江苏正力,● 国轩高科 亿纬动力 江苏正力,● 中创新航,● 中创新航,● 中创新航,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),134,182,182,182,-,-,-,-,134,134,134,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),200,280,280,280,580,630,630,630,200,200,200,520,520,520,580,580
电池/充电,WLTC综合续航(km),910,970,970,970,-,-,-,-,910,910,910,-,-,-,-,-
电池/充电,CLTC综合续航(km),1095,1150,1150,1150,-,-,-,-,1095,1095,1095,-,-,-,-,-
电池/充电,电池能量(kWh),28.4,38.7,38.7,38.7,74.9,81.9,81.9,81.9,28.4,28.4,28.4,67.7,67.7,67.7,74.9,74.9
电池/充电,百公里耗电量(kWh/100km),18.5,20.2,20.2,20.2,14.5,14.6,14.6,14.6,18.5,18.5,18.5,14.8,14.8,14.8,14.5,14.5
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,180
电池/充电,高压快充,-,-,-,-,支持,支持,支持,支持,-,-,-,支持,支持,支持,支持,支持
电池/充电,高压平台（V）,-,-,-,-,800,800,800,800,-,-,-,800,800,800,800,800
电池/充电,电池快充时间(小时),0.5,0.32,0.32,0.32,0.27,0.3,0.3,0.3,0.5,0.5,0.5,0.25,0.25,0.25,0.27,0.27
电池/充电,电池慢充时间(小时),3,3.5,3.5,3.5,7,7.5,7.5,7.5,3,3,3,6,6,6,7,7
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,235/55 R20 245/45 R21,235/55 R20 245/45 R21,● 245/45 R21,● 245/45 R21,235/55 R20 245/45 R21,235/55 R20 245/45 R21,● 245/45 R21,● 245/45 R21,235/55 R20 245/45 R21,235/55 R20 245/45 R21,235/55 R20 245/45 R21,235/55 R20 245/45 R21,235/55 R20 245/45 R21,235/55 R20 245/45 R21,235/55 R20 245/45 R21,235/55 R20 245/45 R21
车轮制动,后轮胎规格,255/50 R20 255/45 R21,255/50 R20 255/45 R21,● 255/45 R21,● 255/45 R21,255/50 R20 255/45 R21,255/50 R20 255/45 R21,● 255/45 R21,● 255/45 R21,255/50 R20 255/45 R21,255/50 R20 255/45 R21,255/50 R20 255/45 R21,255/50 R20 255/45 R21,255/50 R20 255/45 R21,255/50 R20 255/45 R21,255/50 R20 255/45 R21,255/50 R20 255/45 R21
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 标准/舒适 自定义/个性化,● 运动 标准/舒适 自定义/个性化,● 运动 标准/舒适 自定义/个性化,● 运动 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 标准/舒适 自定义/个性化,● 运动 标准/舒适 自定义/个性化,● 运动 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,-,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,-,-,-,-,-,-,-,-
四驱/越野,蠕行模式,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 360度全景影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 360度全景影像,● 360度全景影像,● 360度全景影像 车侧盲区影像,● 360度全景影像,● 360度全景影像,● 360度全景影像 车侧盲区影像,● 360度全景影像,● 360度全景影像 车侧盲区影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,● 高通骁龙8650,● 高通骁龙8650,● 高通骁龙8650,-,● 高通骁龙8650,● 高通骁龙8650,● 高通骁龙8650,-,-,● 英伟达 Drive Orin,-,-,● 英伟达 Drive Orin,-,● 英伟达 Drive Orin
驾驶硬件,芯片总算力,-,-,-,-,-,-,-,-,-,-,● 254 TOPS,-,-,● 254 TOPS,-,● 254 TOPS
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 6个,● 11个,● 11个,● 11个,● 6个,● 11个,● 11个,● 11个,● 6个,● 6个,● 11个,● 6个,● 6个,● 11个,● 6个,● 11个
