セクション,項目,普拉多 2025款 2.4T 穿越BX版 5座,普拉多 2025款 2.4T 全能TX版 5座,普拉多 2025款 2.4T 悍野WX版 5座,普拉多 2025款 2.4T 悍野WX版 6座,普拉多 2025款 2.4T 旗舰VX版 5座
发动机,发动机型号,T24A,T24A,T24A,T24A,T24A
发动机,排量(mL),2393,2393,2393,2393,2393
发动机,排量(L),2.4,2.4,2.4,2.4,2.4
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),87.5,87.5,87.5,87.5,87.5
发动机,行程(mm),99.5,99.5,99.5,99.5,99.5
发动机,最大马力(Ps),282,282,282,282,282
发动机,最大功率(kW),207,207,207,207,207
发动机,最大功率转速(rpm),-,-,-,-,-
发动机,最大扭矩(N·m),430,430,430,430,430
发动机,最大扭矩转速(rpm),-,-,-,-,-
发动机,最大净功率(kW),207,207,207,207,207
发动机,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合
发动机,燃油标号,95号,95号,95号,95号,95号
发动机,供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),40,40,40,40,40
电动机,电动机总马力(Ps),54,54,54,54,54
电动机,电动机总扭矩(N·m),290,290,290,290,290
电动机,前电动机最大功率(kW),40,40,40,40,40
电动机,前电动机最大扭矩(N·m),290,290,290,290,290
电动机,系统综合功率(kW),243,243,243,243,243
电动机,系统综合功率(Ps),330,330,330,330,330
电动机,系统综合扭矩(N·m),630,630,630,630,630
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置
电池/充电,电池类型,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池
电池/充电,电芯品牌,● PRIMEARTH,● PRIMEARTH,● PRIMEARTH,● PRIMEARTH,● PRIMEARTH
电池/充电,电池能量(kWh),1.87,1.87,1.87,1.87,1.87
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 全时四驱,● 全时四驱,● 全时四驱,● 全时四驱,● 全时四驱
底盘转向,中央差速器结构,● 托森式差速器,● 托森式差速器,● 托森式差速器,● 托森式差速器,● 托森式差速器
底盘转向,前悬架类型,● 双横臂螺旋弹簧独立悬架,● 双横臂螺旋弹簧独立悬架,● 双横臂螺旋弹簧独立悬架,● 双横臂螺旋弹簧独立悬架,● 双横臂螺旋弹簧独立悬架
底盘转向,后悬架类型,● 四连杆螺旋弹簧非独立悬架,● 四连杆螺旋弹簧非独立悬架,● 四连杆螺旋弹簧非独立悬架,● 四连杆螺旋弹簧非独立悬架,● 四连杆螺旋弹簧非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,非承载式,非承载式,非承载式,非承载式,非承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/70 R18,● 265/65 R18,● 265/70 R18,● 265/70 R18,● 265/60 R20
车轮制动,后轮胎规格,● 245/70 R18,● 265/65 R18,● 265/70 R18,● 265/70 R18,● 265/60 R20
车轮制动,备胎规格,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸
车轮制动,备胎放置方式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊
被动安全,前排中间气囊,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●
主动安全,疲劳驾驶提示,-,●,●,●,●
主动安全,DOW开门预警,-,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●
主动安全,后方碰撞预警,-,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●
驾驶操控,驾驶模式切换,-,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶操控,陡坡缓降,-,-,●,●,●
驾驶操控,可变悬架功能,-,-,-,-,● 悬架软硬调节
四驱/越野,中央差速器锁止功能,●,●,●,●,●
四驱/越野,限滑差速器/差速锁,-,-,● 后桥限滑差速器 后桥差速锁,● 后桥限滑差速器 后桥差速锁,● 后桥限滑差速器
四驱/越野,稳定杆断开功能,-,-,●,●,-
四驱/越野,低速四驱,●,●,●,●,●
四驱/越野,蠕行模式,-,-,●,●,●
驾驶硬件,前/后驻车雷达,-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,-,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 5个,● 6个,● 6个,● 6个
驾驶硬件,超声波雷达数量,-,● 8个,● 8个,● 8个,● 8个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,●,●,●
驾驶功能,卫星导航系统,-,●,●,●,●
驾驶功能,导航路况信息显示,-,●,●,●,●
驾驶功能,并线辅助,-,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-
驾驶功能,辅助变道,-,-,●,●,●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,●,●,●,●
外观/防盗,感应后备厢,-,-,●,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,●,●
外观/防盗,尾门玻璃独立开启,-,-,●,●,●
外观/防盗,车顶行李架,-,-,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●
外观/防盗,车侧脚踏板,-,● 固定,● 固定,● 固定,● 固定
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,车前雾灯,-,● LED,● LED,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯清洗装置,-,-,-,-,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,后风挡遮阳帘,-,-,-,-,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.25英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,-,●,●,●,●
屏幕/系统,语音助手唤醒词,-,● 你好，丰田,● 你好，丰田,● 你好，丰田,● 你好，丰田
屏幕/系统,语音免唤醒词,-,●,●,●,●
屏幕/系统,语音分区域唤醒识别,-,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,-,●,●,●,●
屏幕/系统,声纹识别,-,●,●,●,●
智能化配置,车联网,-,●,●,●,●
智能化配置,4G/5G网络,-,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车
智能化配置,主动降噪,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,●,●,●
方向盘/内后视镜,方向盘加热,-,-,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,仪表盘屏幕材质,● TFT,● TFT,● TFT,● TFT,● TFT
方向盘/内后视镜,HUD抬头数字显示,-,-,●,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体
方向盘/内后视镜,ETC装置,●,●,●,●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排3个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排4个,● 前排3个/后排2个
车内充电,220V/230V电源,●,●,●,●,●
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 织物,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,-,-,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅功能,-,-,-,● 加热 通风,-
座椅配置,第二排独立座椅,-,-,-,●,-
座椅配置,座椅布局,-,-,-,● 2-2-2,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,● JBL
音响/车内灯光,扬声器数量,● 6喇叭,● 10喇叭,● 10喇叭,● 10喇叭,● 14喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●
空调/冰箱,空气质量监测,-,●,●,●,●
空调/冰箱,车载冰箱,-,-,-,-,●
颜色,外观颜色,墨渊黑 铂金白 ￥2000 铂青铜,墨渊黑 铂金白 ￥2000 极地灰 铂青铜,墨渊黑 铂金白 ￥2000 极地灰 铂青铜,墨渊黑 铂金白 ￥2000 极地灰 铂青铜,墨渊黑 铂金白 ￥2000 铂青铜
颜色,内饰颜色,黑色,黑色/米色 黑色,黑色 黑色/棕色,黑色 黑色/棕色,黑色/米色 黑色
