セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5L CVT 行政版,2026年モデル 1.5L MT 快適版,2026年モデル 1.5L CVT 豪華版,2026年モデル 1.5L CVT 尊厳版,2024年モデル 1.5L CVT 尊厳版,2023年モデル 1.5L MT 快適版,2023年モデル 1.5L MT 優越版,2023年モデル 1.5L CVT 豪華版,2023年モデル 1.5L CVT 尊厳版,2023年モデル 1.5L CVT 旗艦版,2026年モデル 低出力版
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,50,50,50,50,50,50,50,50,50
车身,車体,后备厢容积(L),トランク容量(L),422,422,422,422,422,422,422,422,422,422,422
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,15FCD,15FCD,15FCD,15FCD,15FCD,15FCD,15FCD,15FCD,15FCD,15FCD,15FCD
发动机,エンジン,排量(mL),排気量(mL),1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),129,129,129,129,129,129,129,129,129,129,110
发动机,エンジン,最大功率(kW),最大出力(kW),95,95,95,95,95,95,95,95,95,95,81
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),158,158,158,158,158,158,158,158,158,158,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,-
发动机,エンジン,最大净功率(kW),最大出力(kW),90,90,90,90,90,90,90,90,90,90,76
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
变速箱,トランスミッション,简称,略称,CVT無段変速（8速マニュアルモード）,5速マニュアル,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,5速マニュアル,5速マニュアル,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,-
变速箱,トランスミッション,挡位个数,段数,8,5,8,8,8,5,5,8,8,8,-
变速箱,トランスミッション,变速箱类型,トランスミッション形式,無段変速機（CVT）,マニュアルトランスミッション（MT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,マニュアルトランスミッション（MT）,マニュアルトランスミッション（MT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,-
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 手動サイドブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 手動サイドブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/50 R17タイヤ,● 205/50 R17タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/50 R17タイヤ,● 205/50 R17タイヤ,● 205/60 R16タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/50 R17タイヤ,● 205/50 R17タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/50 R17タイヤ,● 205/50 R17タイヤ,● 205/60 R16タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● スペアタイヤ（フルサイズではない）,● パンク修理キット,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,-,-,-,-,-,● 前席/後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-,● 前席/後席,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,-,-,-,-,-,-,●,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,●,●,-,-,-,●,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,-,-,-,●,-,-,●,●,●,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● バックカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,-
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,-,●,●,-,-,-,●,●,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,-,● 1個,● 1個,● 4個,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,-,● 3個,● 3個,● 3個,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,-,-,-,-,-,-,● レベル2（自動運転支援）,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,-,-,●,●,-,-,-,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,●,●,-,-,-,●,●,-
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,-,● 高徳（Gaode）ナビ,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,●,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,●,●,-,-,-,●,●,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ機能,● 運転席,-,● 運転席,● 全車,● 全車,-,● 運転席,● 運転席,● 全車,● 全車,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,-,●,●,●,-,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席・助手席,-,-,-,● 運転席・助手席,-,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感センサー付きワイパー,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整,● 電動調整,● 電動調整 後方ミラー加熱,● 電動調整 後方ミラー加熱,● 電動調整,● 電動調整,● 電動調整,● 電動調整 後方ミラー加熱,● 電動調整 電動格納 後方ミラー加熱 施錠時自動格納,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 CarLife対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応 Carlink対応,-,-,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム 電話 エアコン サンルーフ,● マルチメディアシステム 電話 エアコン,● マルチメディアシステム 電話 エアコン,● マルチメディアシステム 電話 エアコン,● マルチメディアシステム ナビゲーション 電話 エアコン サンルーフ,● マルチメディアシステム 電話 エアコン,● マルチメディアシステム 電話 エアコン サンルーフ,● マルチメディアシステム 電話 エアコン サンルーフ,● マルチメディアシステム ナビゲーション 電話 エアコン サンルーフ,● マルチメディアシステム ナビゲーション 電話 エアコン サンルーフ,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● カラーレディオ,● カラーレディオ,● カラーレディオ,● ゼブラインテリジェントコネクトシステム,● ゼブラインテリジェントコネクトシステム,-,-,-,● ゼブラインテリジェントコネクトシステム,● ゼブラインテリジェントコネクトシステム,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,-,-,●,●,-,-,-,●,●,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,-,● 4G,● 4G,-,-,-,● 4G,● 4G,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,●,-,-,-,-,-,-,-
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,-,-,-,●,-,-,-,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● レザー,● レザー,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,-
