セクション,セクション_ja,項目,項目_ja,2026年モデル L 300TSI DSG ファッショナブルタイプ,2026年モデル L 300TSI DSG エリートタイプ,2026年モデル L 300TSI DSG ラグジュアリータイプ,2026年モデル 3000万台記念セレクト 300TSI DSG フェニックス版,2026年モデル 3000万台記念セレクト 300TSI DSG スーパーエディション,2025年モデル 改良版 200TSI DSG フェニックス版,2025年モデル 改良版 300TSI DSG フェニックス版,2025年モデル 改良版3 300TSI DSG スーパーエディション,2025年モデル 改良版2 300TSI DSG エクセレント版
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,●,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,タイヤ空気圧警報 タイヤ空気圧表示（1000元）,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,-,-,-,-,-,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,-,●,-,-,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,-,-,-,-,-,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,-,●,-,-,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,○,○,-,-,-,-,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済 標準/快適 カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前-/後,● 前席/後席,● 前席/後席,● 前-/後,● 前席/後席,● 前-/後,● 前-/後,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,リアビューカメラ 360度全方位カメラ（3000元）,リアビューカメラ 360度全方位カメラ（3000元）,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● 単眼,● 単眼,-,-,-,-,● 単眼,● 単眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,2個 5個,2個 5個,● 1個,● 1個,● 1個,● 1個,● 1個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,8個 12個,8個 12個,● 4個,● 8個,● 4個,● 4個,● 8個,8個 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,-,-,-,● 1個,-,-,1個 3個,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,"IQ.ドライブ IQ.パイロット（12,000元）","IQ.ドライブ IQ.パイロット（12,000元）",-,-,-,-,-,● トラベルアシスト
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,● レベル2,-,-,-,-,-,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,●,-,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,-,●,-,-,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,-,●,-,-,●,●
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,○,○,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,●,-,-,-,-,○,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,-,-,-,-,-,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,●,●,-,-,-,-,-,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,"○ （2,000元）","○ （2,000元）",-,-,-,-,-,○
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,○,○,-,-,-,-,-,-
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,○,○,-,-,-,-,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル離し検知,-,●,●,-,-,-,-,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,○ 高速道路区間,○ 高速道路区間,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,●,-,-,-,-,"○ （1,000元）",●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー Bluetoothキー,リモコンキー Bluetoothキー（600元）,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,○,●,-,○,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,○ 前席,● 前席,-,○ 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,-,-,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,○ マトリクス式,-,-,-,-,-,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,○,-,-,-,-,-,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,-,○,-,-,-,-,-,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,-,-,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ機能,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（感応式ワイパー）,-,● 雨量感応式,● 雨量感応式,-,-,-,-,○ 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ドアミラー加熱,● 電動調整 電動格納 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整,● 電動調整 電動格納 鍵施錠時自動格納,● 電動調整 ドアミラー加熱,● 電動調整 ドアミラー加熱,● 電動調整 電動格納 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.9インチ,● 12.9インチ,● 15インチ,● 8インチ,● 12インチ,● 8インチ,● 8インチ,● 12インチ,● 12インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターディスプレイ解像度,● 1920×1080,● 1920×1080,● 2240×1260,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携／ミラーリング対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応 純正連携／ミラーリング対応,● CarPlay対応 CarLife対応 純正連携／ミラーリング対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム 電話,● マルチメディアシステム 電話,マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,-,● こんにちは、大衆（フォルクスワーゲン）,-,-,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）
