セクション,項目,速腾 2026款 L 300TSI DSG 时尚型,速腾 2026款 L 300TSI DSG 精英型,速腾 2026款 L 300TSI DSG 豪华型,速腾 2026款 3000万辆甄选款 300TSI DSG 飞越版,速腾 2026款 3000万辆甄选款 300TSI DSG 超越版,速腾 2025款 改款 200TSI DSG飞越版,速腾 2025款 改款 300TSI DSG飞越版,速腾 2025款 改款三 300TSI DSG超越版,速腾 2025款 改款二 300TSI DSG卓越版
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,压缩比,11.5,11.5,11.5,-,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),74.5,74.5,74.5,-,-,-,-,-,-
发动机,行程(mm),85.9,85.9,85.9,-,-,-,-,-,-
发动机,最大马力(Ps),160,160,160,160,160,116,160,160,160
发动机,最大功率(kW),118,118,118,118,118,85,118,118,118
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5000,5500,5500,5500
发动机,最大扭矩(N·m),250,250,250,250,250,200,250,250,250
发动机,最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-3500,1750-4000,1750-4000,1750-4000
发动机,最大净功率(kW),118,118,118,118,118,85,118,118,118
发动机,发动机特有技术,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,-,米勒循环,米勒循环,米勒循环
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,最低燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/55 R17,205/55 R17 225/45 R18,● 225/45 R18,● 205/55 R17,205/55 R17 225/45 R18 (1000元),● 205/60 R16,● 205/55 R17,205/55 R17 225/45 R18 (2000元),● 225/45 R18
车轮制动,后轮胎规格,● 205/55 R17,205/55 R17 225/45 R18,● 225/45 R18,● 205/55 R17,205/55 R17 225/45 R18,● 205/60 R16,● 205/55 R17,205/55 R17 225/45 R18,● 225/45 R18
车轮制动,备胎规格,○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元)
车轮制动,备胎放置方式,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,-,-,-,-,-,-,-,-,● 主驾膝部气囊
被动安全,前排中间气囊,-,●,●,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,胎压报警 胎压显示 (1000元),● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,-,-,-,-,-,●
主动安全,主动刹车/主动安全系统,-,●,●,-,●,-,-,●,●
主动安全,疲劳驾驶提示,-,●,●,-,-,-,-,-,●
主动安全,DOW开门预警,-,●,●,-,-,-,-,-,-
主动安全,前方碰撞预警,-,●,●,-,●,-,-,●,●
主动安全,内置行车记录仪,-,○,○,-,-,-,-,-,-
主动安全,道路救援呼叫,●,●,●,-,-,-,-,-,-
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前 / 后,● 前 / 后,● 前- / 后,● 前 / 后,● 前- / 后,● 前- / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,倒车影像 360度全景影像 (3000元),倒车影像 360度全景影像 (3000元),● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,-,-,-,-,● 单目,● 单目
驾驶硬件,摄像头数量,● 1个,2个 5个,2个 5个,● 1个,● 1个,● 1个,● 1个,● 1个,● 2个
驾驶硬件,超声波雷达数量,● 4个,8个 12个,8个 12个,● 4个,● 8个,● 4个,● 4个,● 8个,8个 12个
驾驶硬件,毫米波雷达数量,-,-,-,-,● 1个,-,-,1个 3个,● 3个
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,IQ. Drive IQ. Pilot (1.20万元),IQ. Drive IQ. Pilot (1.20万元),-,-,-,-,-,● Travel Assist
驾驶功能,辅助驾驶等级,-,● L2,● L2,-,-,-,-,-,● L2
驾驶功能,倒车车侧预警系统,-,●,●,-,-,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,-,●,-,-,●,●
驾驶功能,导航路况信息显示,●,●,●,-,●,-,-,●,●
驾驶功能,AR实景导航,-,○,○,-,-,-,-,-,-
驾驶功能,并线辅助,-,●,●,-,-,-,-,○,●
驾驶功能,车道保持辅助系统,-,●,●,-,-,-,-,-,●
驾驶功能,车道居中保持,-,●,●,-,-,-,-,-,●
驾驶功能,道路交通标识识别,-,●,●,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,○ (2000元),○ (2000元),-,-,-,-,-,○
驾驶功能,遥控泊车,-,○,○,-,-,-,-,-,-
驾驶功能,辅助变道,-,○,○,-,-,-,-,-,-
驾驶功能,方向盘离手检测,-,●,●,-,-,-,-,-,-
驾驶功能,辅助驾驶路段,-,○ 高速路段,○ 高速路段,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,感应后备厢,-,-,●,-,-,-,-,○ (1000元),●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙 (600元),● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,○,●,-,○,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,○ 前排,● 前排,-,○ 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,-,-,-,-,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,○ 矩阵式,-,-,-,-,-,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,○,-,-,-,-,-,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●,●,●,●,●
车外灯光,转向头灯,-,-,○,-,-,-,-,-,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,-,-,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,-,-,-,-,○ 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.9英寸,● 12.9英寸,● 15英寸,● 8英寸,● 12英寸,● 8英寸,● 8英寸,● 12英寸,● 12英寸
屏幕/系统,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 2240x1260,-,-,-,-,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持HUAWEI HiCar,● 支持CarPlay 支持HUAWEI HiCar,● 支持CarPlay 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife 原厂互联/映射,● 支持CarPlay 支持CarLife 原厂互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 电话,● 多媒体系统 导航 电话,● 多媒体系统 电话,● 多媒体系统 电话,多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，大众,● 你好，大众,● 你好，大众,-,● 你好，大众,-,-,● 你好，大众,● 你好，大众
屏幕/系统,语音免唤醒词,●,●,●,-,-,-,-,-,-
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,●,●,●,-,-,-,-,-,-
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,-,-,-,-,-,-
屏幕/系统,应用商店,●,●,●,-,-,-,-,-,-
屏幕/系统,车载智能系统,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,-,-,-,-,-,-
屏幕/系统,车机系统内存(GB),● 6,● 12,● 12,-,-,-,-,-,-
屏幕/系统,车机系统存储(GB),● 64,● 128,● 128,-,-,-,-,-,-
智能化配置,车联网,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 5G,● 5G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,-,-,-,-,-,-
智能化配置,V2X通讯,-,●,●,-,-,-,-,-,-
智能化配置,手机APP远程功能,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,○,○,-,-,-,-,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,-,○ (1000元),-,-,○ (1000元),●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 8英寸,8英寸 10.25英寸,● 8英寸,● 8英寸,8英寸 10.25英寸,● 10.25英寸
方向盘/内后视镜,仪表盘屏幕分辨率（px）,● 1280x480,● 1280x480,● 1280x480,-,-,-,-,-,-
方向盘/内后视镜,HUD抬头数字显示,-,○ (3000元),○ (3000元),-,-,-,-,-,-
方向盘/内后视镜,HUD抬头尺寸,-,○ 7.11英寸,○ 7.11英寸,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,手动防眩目 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○,○,○,-,-,○,○,○,○
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● USB,● USB Type-C,● USB,● USB,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排1个,● 前排3个/后排2个,● 前排1个,● 前排1个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,-,○ 前排 (500元),-,-,○ 前排,● 前排
车内充电,手机无线充电功率,-,-,● 40W,-,-,-,-,-,-
座椅配置,座椅材质,● 皮/织物混搭,● 仿皮,● 仿皮,● 织物,● 仿皮,● 织物,● 织物,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,前后调节 靠背调节 高低调节(2向),前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(2向)
座椅配置,主/副驾驶座电动调节,-,主 / 副,主 / 副 (2000元),-,○ 主 / 副- (800元),-,-,○ 主 / 副-,● 主 / 副
座椅配置,前排座椅功能,-,○ 加热 通风,○ 加热 通风,-,○ 加热 (1000元),-,-,○ 加热 通风,○ 加热 通风
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,-,-,-,-,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,● 30色,● 30色,-,● 10色,-,-,● 10色,● 10色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,手动空调 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,●,●,-,●,-,-,●,●
空调/冰箱,温度分区控制,-,-,●,-,-,-,-,○,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,○,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,-,-,-,-,○,●
颜色,外观颜色,极地白 锰石黑,极地白 凯撒金 锰石黑 晨雾绿 鲸鲨蓝 墨钛灰,极地白 凯撒金 锰石黑 晨雾绿 鲸鲨蓝 墨钛灰,极地白 锰石黑,极地白 锰石黑,极地白 锰石黑,水晶银 极地白 锰石黑 海贝金,水晶银 极地白 锰石黑 海贝金 珠光白 ￥2000,水晶银 锰石黑 海贝金 珠光白 ￥2000
颜色,内饰颜色,黑色 黑色/灰色,黑色 黑色/棕色 黑色/灰色 棕色/灰色,黑色 黑色/米色 黑色/灰色 灰色/米色,黑色,黑色,黑色,黑色,黑色 黑色/棕色 黑色/灰色,黑色 黑色/棕色 黑色/灰色
选装包,行车记录仪&AR导航,-,○ 包含：行车记录仪&AR导航、DVR行车记录仪、 AR增强实景导航 选配 (1000元),○ 包含：行车记录仪&AR导航、DVR行车记录仪、 AR增强实景导航 选配 (1000元),-,-,-,-,-,-
选装包,冬季包,-,○ 包含：方向盘加热功能、可单独调节前排座椅加热 选配 (2000元),○ 包含：方向盘加热功能、可单独调节前排座椅加热 选配 (2000元),-,-,-,-,-,-
选装包,夏季包,-,○ 包含：可单独调节前排座椅通风、6向电动调节副司机侧座椅 选配 (3000元),○ 包含：可单独调节前排座椅通风、6向电动调节副司机侧座椅 选配 (3000元),-,-,-,-,-,-
选装包,IQ.Pilot增强驾驶辅助包,-,○ 包含：IQ.Pilot增强驾驶辅助、IPA&RPA智能泊车、 360全景可视系统 选配 (12000元),○ 包含：IQ.Pilot增强驾驶辅助、IPA&RPA智能泊车、 360全景可视系统 选配 (12000元),-,-,-,-,-,-
选装包,矩阵大灯,-,-,○ 包含：IQ.Light灵眸矩阵前大灯、 MDFS智能动态灯光辅助功能、AFS大灯随动转向功能 选配 (暂无价格),-,-,-,-,-,-
选装包,智能无钥匙进入及一键启动包,-,-,-,○ 包含：智能无钥匙进入及一键启动包 选配 (1200元),-,-,-,-,-
