セクション,セクション_ja,項目,項目_ja,2025年モデル DM i 智驾版 80KM 豪華型,2025年モデル DM i 智驾版 80KM 尊貴型,2025年モデル DM i 智驾版 120KM 尊栄型,2025年モデル DM i 智驾版 120KM 尊享型,2025年モデル DM i 智驾版 120KM 旗艦型,2025年モデル EV 470KM 尊栄型,2025年モデル EV 545KM 尊享型,2025年モデル EV 545KM 旗艦型
基本参数,基本仕様,整备质量(kg),車両重量(kg),1660,1660,1775,1775,1775,1670,1800,1800
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2035,2035,2150,2150,2150,2095,2225,2225
车身,車体,长度(mm),全長(mm),4830,4830,4830,4830,4830,4720,4720,4720
车身,車体,宽度(mm),全幅(mm),1875,1875,1875,1875,1875,1880,1880,1880
车身,車体,高度(mm),全高(mm),1495,1495,1495,1495,1495,1495,1495,1495
车身,車体,轴距(mm),ホイールベース(mm),2790,2790,2790,2790,2790,2820,2820,2820
车身,車体,前轮距(mm),前トレッド(mm),1620,1620,1620,1620,1620,1610,1610,1610
车身,車体,后轮距(mm),後トレッド(mm),1620,1620,1620,1620,1620,1610,1610,1610
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),14,14,14,14,14,16,16,16
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.4
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）
车身,車体,油箱容积(L),燃料タンク容量(L),65,65,65,65,65,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,-,-,65,65,65
车身,車体,后备厢容积(L),リアトランク容量(L),-,-,-,-,-,423,423,423
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.255,0.255,0.255,0.255,0.255,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,-,-,-
发动机,エンジン,压缩比,圧縮比,16,16,16,16,16,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),101,101,101,101,101,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),74,74,74,74,74,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),126,126,126,126,126,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),70,70,70,70,70,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,ピュアEV（電気自動車）,ピュアEV（電気自動車）,ピュアEV（電気自動車）
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,BYD,BYD,BYD,BYD,BYD,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,-,-,-,-,-,BYD,BYD,BYD
电动机,モーター,前电动机型号,前モーター型式,TZ210XYB（型式）,TZ210XYB（型式）,TZ210XYC（型式）,TZ210XYC（型式）,TZ210XYC（型式）,-,-,-
电动机,モーター,后电动机型号,後モーター型式,-,-,-,-,-,TZ180XSR（型式）,TZ200XSBE（型式）,TZ200XSBE（型式）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),120,120,160,160,160,110,160,160
电动机,モーター,电动机总马力(Ps),モーター合計馬力(Ps),163,163,218,218,218,150,218,218
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),210,210,260,260,260,220,330,330
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),120,120,160,160,160,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),210,210,260,260,260,-,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,-,-,-,110,160,160
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,-,-,-,220,330,330
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,前置エンジン／モーター,後置エンジン／モーター,後置エンジン／モーター,後置エンジン／モーター
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式発表に準ずる）,● 生涯保証／非営業用（免責条項は公式発表に準ずる）,● 生涯保証／非営業用（免責条項は公式発表に準ずる）,● 生涯保証／非営業用（免責条項は公式発表に準ずる）,● 生涯保証／非営業用（免責条項は公式発表に準ずる）,● 生涯保証／非営業用（免責条項は公式発表に準ずる）,● 生涯保証／非営業用（免責条項は公式発表に準ずる）,● 生涯保証／非営業用（免責条項は公式発表に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,直接冷却方式,直接冷却方式,直接冷却方式,直接冷却方式,直接冷却方式,直接冷却方式,直接冷却方式,直接冷却方式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),60,60,90,90,90,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),80,80,120,120,120,470,545,545
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),10.08,10.08,15.87,15.87,15.87,46.08,56.64,56.64
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),11.1,11.1,13.6,13.6,13.6,10.8,11.5,11.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,-,-,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),-,-,23,23,23,84,103,103
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,0.42,0.42,0.42,0.4,0.4,0.4
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),3.42,3.42,2.5,2.5,2.5,-,-,-
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),-,-,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),15-100,15-100,15-100,15-100,15-100,-,-,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,-,-,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,6,6,6
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 後置エンジン・後輪駆動,● 後置エンジン・後輪駆動,● 後置エンジン・後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● ダブルボールジョイント式マクファーソン独立サスペンション,● ダブルボールジョイント式マクファーソン独立サスペンション,● ダブルボールジョイント式マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 4リンク独立サスペンション,● 4リンク独立サスペンション,● 4リンク独立サスペンション,● 4リンク独立サスペンション,● 4リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/60 R16タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/60 R16タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,-,-,●,●,-,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 全車,● 全車,● 全車,● 前席,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,-,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,-,-,-,● サスペンション硬さ調整
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,-,-,-,-,-,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビゲーション交通情報表示,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,-,-,-,-,-,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●
