セクション,項目,缤越 2025款 1.5L 手动超能版,缤越 2025款 1.5L CVT超能版,缤越 2025款 1.5L CVT超能版 MAX,缤越 2025款 缤越L 1.5TD DCT超越版,缤越 2025款 缤越L 1.5TD DCT星钻,缤越 2025款 缤越L 1.5TD DCT星耀,缤越 2024款 1.5T DCT龙腾版,缤越 2023款 1.5T DCT铂金版,缤越 2023款 1.5T DCT钻石版
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 8英寸,● 8英寸,● 12.3英寸,● 8英寸,● 14.6英寸,● 14.6英寸,● 8英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 原厂互联/映射,-,-
屏幕/系统,语音识别控制系统,-,-,● 多媒体系统 导航 电话,-,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,-,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话
屏幕/系统,语音助手唤醒词,-,-,-,-,● 你好，吉利,● 你好，吉利,-,-,-
屏幕/系统,语音免唤醒词,-,-,-,-,●,●,-,-,-
屏幕/系统,语音分区域唤醒识别,-,-,-,-,● 双区域,● 双区域,-,-,-
屏幕/系统,语音连续识别,-,-,-,-,●,●,-,-,-
屏幕/系统,可见即可说,-,-,-,-,●,●,-,-,-
屏幕/系统,DeepSeek应用,-,-,-,-,● 即将上线,● 即将上线,-,-,-
屏幕/系统,应用商店,-,-,-,-,●,●,-,-,-
屏幕/系统,车载智能系统,-,-,-,-,● Flyme Auto,● Flyme Auto,-,● GKUI吉客智能生态系统,● GKUI吉客智能生态系统
屏幕/系统,车机智能芯片,-,-,-,-,● 亿咖通E02,● 亿咖通E02,-,-,-
智能化配置,车联网,-,-,●,-,●,●,-,●,●
智能化配置,4G/5G网络,-,-,● 4G,-,● 4G,● 4G,-,● 4G,● 4G
智能化配置,OTA升级,-,-,-,-,●,●,-,●,●
智能化配置,Wi-Fi热点,-,-,●,-,●,●,-,●,●
智能化配置,手机APP远程功能,-,-,-,-,● 车门控制 车窗控制 车辆启动 空调控制 车况查询/诊断,● 车门控制 车窗控制 车辆启动 空调控制 车况查询/诊断,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 单色,● 单色,● 单色,● 彩色,● 彩色,● 彩色,● 单色,● 单色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,●,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,● 8.8英寸,● 8.8英寸,● 8.8英寸,-,-,● 7英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 皮/织物混搭,● 皮/织物混搭,● 皮/织物混搭
座椅配置,运动风格座椅,●,●,●,-,-,-,-,-,-
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,● 主 / 副-,-,-,○ 主 / 副-,-,-,-
座椅配置,前排座椅功能,-,-,-,-,-,○ 加热,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 4喇叭,● 4喇叭,● 4喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,●,●,●,-,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
颜色,外观颜色,雷霆灰 闪电白 苍穹蓝,雷霆灰 闪电白 苍穹蓝,雷霆灰 极光银 闪电白 苍穹蓝,自信白 黑色/坚韧灰 坚韧灰 黑色/自信白 黑色/太空银 太空银,黑色/变色龙 ￥2500 黑色/坚韧灰 黑色/自信白 黑色/太空银,黑色/变色龙 ￥2500 黑色/坚韧灰 黑色/自信白 黑色/太空银,雷霆灰 热焰红 闪电白 疾风绿 苍穹蓝,雷霆灰 热焰红 闪电白 疾风绿,雷霆灰 热焰红 闪电白 疾风绿
颜色,内饰颜色,黑色,黑色,曜石黑,黑色 蓝色/白色,黑色 蓝色/白色,黑色 蓝色/白色,灰色/橙色,灰色/橙色,灰色/橙色
选装包,旗舰选装包,-,-,-,-,-,○ 包含：电动座椅、座椅加热、全景天窗、运动卡钳、电动尾门 选配 (5000元),-,-,-
