セクション,セクション_ja,項目,項目_ja,2025年モデル 702 ロングレンジ Ultra,2025年モデル 820 超ロングレンジ Ultra,2025年モデル 750 4WD 高性能 Ultra,2025年モデル 750 4WD 鵬翼 Ultra
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬軟調整 サスペンション高さ調整,● サスペンション硬軟調整 サスペンション高さ調整,● サスペンション硬軟調整 サスペンション高さ調整,● サスペンション硬軟調整 サスペンション高さ調整
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像 車側死角映像,● 360度パノラマ映像 車側死角映像,● 360度パノラマ映像 車側死角映像,● 360度パノラマ映像 車側死角映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● 2基のTuringチップ,● 2基のTuringチップ,● 2基のTuringチップ,● 2基のTuringチップ
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 2250 TOPS,● 2250 TOPS,● 2250 TOPS,● 2250 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 300万画素,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 300万画素,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 2個,● 2個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 3個,● 3個,● 3個,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● XNGP,● XNGP,● XNGP,● XNGP
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳,● 高徳,● 高徳,● 高徳
驾驶功能,運転機能,高精定位,高精度測位,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●
驾驶功能,運転機能,记忆泊车,駐車記憶,●,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動出入支援,●,●,●,●
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●
驾驶功能,運転機能,远程召唤,リモート召喚,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,● 市街地区間 高速道路区間,● 市街地区間 高速道路区間,● 市街地区間 高速道路区間,● 市街地区間 高速道路区間
外观/防盗,エクステリア・盗難防止,电动扰流板,電動スポイラー,○ (6000元),○ (6000元),○ (6000元),○ (6000元)
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,-,-,● 前席 後席,前席 後席
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドアデザイン,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置記憶,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー,リモコンキー Bluetoothキー NFC/RFIDキー UWBデジタルキー スマートウォッチ/リストバンドキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライトメッセージ,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,支援運転ライト,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウィンド多層防音ガラス,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD
屏幕/系统,ディスプレイ・システム,向日葵旋转屏,ヒマワリ回転式ディスプレイ,●,●,●,●
屏幕/系统,ディスプレイ・システム,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓席ヒーター 窓席ベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓席ヒーター 窓席ベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓席ヒーター 窓席ベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓席ヒーター 窓席ベンチレーション シートマッサージ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小P,● こんにちは、小P,● こんにちは、小P,● こんにちは、小P
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● XOS天璣,● XOS天璣,● XOS天璣,● XOS天璣
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295P Turing,● Qualcomm Snapdragon 8295P Turing,● Qualcomm Snapdragon 8295P Turing,● Qualcomm Snapdragon 8295P Turing
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,●,●,●,●
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,● 8インチ,● 8インチ,● 8インチ,● 8インチ
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後席マルチメディア画面数,● 1個,● 1個,● 1個,● 1個
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,●,●,●,●
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 充電管理 ライト操作 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約,● ドア操作 窓操作 エンジン始動 充電管理 ライト操作 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約,● ドア操作 窓操作 エンジン始動 充電管理 ライト操作 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約,● ドア操作 窓操作 エンジン始動 充電管理 ライト操作 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約
智能化配置,スマート機能装備,模拟声浪,エンジンサウンドシミュレーション,-,-,●,●
智能化配置,スマート機能装備,车载KTV,車載カラオケ,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 87インチ,● 87インチ,● 87インチ,● 87インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目 ミラーメディアストリーミング,● 自動防眩目 ミラーメディアストリーミング,● 自動防眩目 ミラーメディアストリーミング,● 自動防眩目 ミラーメディアストリーミング
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
