セクション,項目,锋兰达 2026款 2.0L 智能电混双擎 领先版,锋兰达 2026款 2.0L 智能电混双擎 领先PLUS版,锋兰达 2026款 2.0L 智能电混双擎 豪华版,锋兰达 2026款 2.0L 智能电混双擎 豪华PLUS版,锋兰达 2026款 2.0L 智能电混双擎 尊贵版,锋兰达 2026款 2.0L CVT舒适版,锋兰达 2026款 2.0L CVT舒适PLUS版,锋兰达 2026款 2.0L CVT豪华版,锋兰达 2026款 2.0L CVT豪华PLUS版,锋兰达 2024款 2.0L 智能电混双擎 领先版,锋兰达 2024款 2.0L 智能电混双擎 豪华版,锋兰达 2024款 2.0L 智能电混双擎 运动版,锋兰达 2024款 2.0L 智能电混双擎 尊贵版,锋兰达 2024款 2.0L CVT精英plus版,锋兰达 2024款 2.0L CVT领先plus版,锋兰达 2024款 2.0L CVT豪华版,锋兰达 2024款 2.0L CVT运动版,锋兰达 2024款 2.0L CVT尊贵版
车轮制动,后轮胎规格,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 225/50 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 215/60 R17
车轮制动,备胎规格,补胎工具 非全尺寸,补胎工具 非全尺寸,补胎工具 非全尺寸,补胎工具 非全尺寸,补胎工具 非全尺寸,补胎工具 非全尺寸,补胎工具 非全尺寸,补胎工具 非全尺寸,补胎工具 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动,● 运动,● 运动,● 运动,● 运动,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动,● 运动,● 运动,● 运动,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济
驾驶操控,发动机启停技术,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,● 前 / 后,● 前 / 后,● 前 / 后,-,-,● 前 / 后,● 前 / 后,-,-,-,● 前 / 后,-,-,-,-,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,-,● 倒车影像,● 倒车影像,● 360度全景影像,-,-,● 倒车影像,● 倒车影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 2个,● 2个,● 2个,● 5个,● 2个,● 2个,● 2个,● 2个,● 1个,● 2个,● 2个,● 5个,-,● 1个,● 2个,● 2个,● 5个
驾驶硬件,超声波雷达数量,-,-,● 8个,● 8个,● 8个,-,-,● 8个,● 8个,-,-,-,● 4个,-,-,-,-,● 4个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,● 1个,● 1个,● 1个,● 1个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Toyota Pilot,● Toyota Pilot,● Toyota Pilot,● Toyota Pilot,● Toyota Pilot,● Toyota Pilot,● Toyota Pilot,● Toyota Pilot,● Toyota Pilot,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,-,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2
驾驶功能,卫星导航系统,-,●,●,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●
驾驶功能,导航路况信息显示,-,●,●,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●
驾驶功能,地图品牌,-,-,-,-,-,-,-,-,-,-,-,-,● 高德,-,-,-,-,● 高德
驾驶功能,并线辅助,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,外观套件,-,-,-,-,-,-,-,-,-,○ 运动风格,○ 运动风格,● 运动风格,-,-,○ 运动风格,○ 运动风格,● 运动风格,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,-,●,●,-,-,-,●,-,-,●,●,-,-,-,●,●
外观/防盗,感应后备厢,-,-,-,●,●,-,-,-,●,-,-,●,●,-,-,-,●,●
外观/防盗,电动后备厢位置记忆,-,-,-,●,●,-,-,-,●,-,-,●,●,-,-,-,●,●
外观/防盗,车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
