セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L インテリジェントハイブリッド 先進版,2026年モデル 2.0L インテリジェントハイブリッド 先進PLUS版,2026年モデル 2.0L インテリジェントハイブリッド 豪華版,2026年モデル 2.0L インテリジェントハイブリッド 豪華PLUS版,2026年モデル 2.0L インテリジェントハイブリッド プレミアム版,2026年モデル 2.0L CVT 快適版,2026年モデル 2.0L CVT 快適PLUS版,2026年モデル 2.0L CVT 豪華版,2026年モデル 2.0L CVT 豪華PLUS版,2024年モデル 2.0L インテリジェントハイブリッド 先進版,2024年モデル 2.0L インテリジェントハイブリッド 豪華版,2024年モデル 2.0L インテリジェントハイブリッド スポーツ版,2024年モデル 2.0L インテリジェントハイブリッド プレミアム版,2024年モデル 2.0L CVT エリートplus版,2024年モデル 2.0L CVT 先進plus版,2024年モデル 2.0L CVT 豪華版,2024年モデル 2.0L CVT スポーツ版,2024年モデル 2.0L CVT プレミアム版
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0L 158馬力 L4,2.0L 158馬力 L4,2.0L 158馬力 L4,2.0L 158馬力 L4,2.0L 158馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,113,113,113,113,113,0,0,0,0,113,113,113,113,-,-,-,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4490×1825×1625mm,4490×1825×1625mm,4490×1825×1625mm,4490×1825×1625mm,4490×1825×1625mm,4490×1825×1625mm,4490×1825×1625mm,4490×1825×1625mm,4490×1825×1625mm,4485×1825×1620mm,4485×1825×1620mm,4485×1825×1620mm,4485×1825×1620mm,4485×1825×1620mm,4485×1825×1620mm,4485×1825×1620mm,4485×1825×1620mm,4485×1825×1620mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),4.56,4.56,4.56,4.58,4.58,6.42,6.42,6.42,6.43,4.58,4.58,4.57,4.58,6.15,6.15,6.15,6.11,6.15
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1430,1430,1430,1465,1470,1380,1380,1395,1430,1440,1445,1460,1485,1395,1405,1410,1425,1450
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1945,1945,1945,1945,1945,1910,1910,1910,1910,1960,1960,1960,1960,1910,1910,1910,1910,1910
车身,車体,长度(mm),全長(mm),4490,4490,4490,4490,4490,4490,4490,4490,4490,4485,4485,4485,4485,4485,4485,4485,4485,4485
车身,車体,宽度(mm),全幅(mm),1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825
车身,車体,高度(mm),全高(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1620,1620,1620,1620,1620,1620,1620,1620,1620
车身,車体,轴距(mm),ホイールベース(mm),2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640
车身,車体,前轮距(mm),前トレッド(mm),1565,1565,1565,1555,1555,1565,1565,1565,1555,1565,1565,1555,1565,1565,1565,1565,1555,1565
车身,車体,后轮距(mm),後トレッド(mm),1580,1580,1580,1570,1570,1580,1580,1580,1570,1580,1580,1570,1580,1580,1580,1580,1570,1580
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),36,36,36,36,36,47,47,47,47,36,36,36,36,47,47,47,47,47
车身,車体,后备厢容积(L),トランク容量(L),427,427,427,427,427,438,438,438,438,427,427,427,427,438,438,438,438,438
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,M20F,M20F,M20F,M20F,M20F,M20C,M20C,M20C,M20C,M20F,M20F,M20F,M20F,M20A/M20C,M20A/M20C,M20A/M20C,M20A/M20C,M20A/M20C
发动机,エンジン,排量(mL),排気量(mL),1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,14,14,14,14,14,13,13,13,13,14,14,14,14,13,13,13,13,13
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),158,158,158,158,158,171,171,171,171,152,152,152,152,171,171,171,171,171
发动机,エンジン,最大功率(kW),最大出力(kW),116,116,116,116,116,126,126,126,126,112,112,112,112,126,126,126,126,126
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6600,6600,6600,6600,6000,6000,6000,6000,6600,6600,6600,6600,6600
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),188,188,188,188,188,205,205,205,205,188,188,188,188,205,205,205,205,205
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4600-5000,4400-5200,4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4600-5000,4600-5000
发动机,エンジン,最大净功率(kW),最大出力(kW),116,116,116,116,116,126,126,126,126,112,112,112,112,126,126,126,126,126
发动机,エンジン,发动机特有技术,エンジン独自技術,-,-,-,-,-,-,-,-,-,VVT-iE、VVT-i（可変バルブタイミング）,VVT-iE、VVT-i（可変バルブタイミング）,VVT-iE、VVT-i（可変バルブタイミング）,VVT-iE、VVT-i（可変バルブタイミング）,VVT-iE、VVT-i（可変バルブタイミング）,VVT-iE、VVT-i（可変バルブタイミング）,VVT-iE、VVT-i（可変バルブタイミング）,VVT-iE、VVT-i（可変バルブタイミング）,VVT-iE、VVT-i（可変バルブタイミング）
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,-,-,-,-,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,-,-,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),83,83,83,83,83,-,-,-,-,83,83,83,83,-,-,-,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),113,113,113,113,113,-,-,-,-,113,113,113,113,-,-,-,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),206,206,206,206,206,-,-,-,-,206,206,206,206,-,-,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),83,83,83,83,83,-,-,-,-,83,83,83,83,-,-,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),206,206,206,206,206,-,-,-,-,206,206,206,206,-,-,-,-,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),147,147,147,147,147,-,-,-,-,144,144,144,144,-,-,-,-,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),200,200,200,200,200,-,-,-,-,196,196,196,196,-,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,-,-,-,-,単一モーター,単一モーター,単一モーター,単一モーター,-,-,-,-,-
电动机,モーター,电机布局,モーター配置,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,-,-,-,-,前置エンジン,前置エンジン,前置エンジン,前置エンジン,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代・江蘇時代）製,● CATL（寧徳時代・江蘇時代）製,● CATL（寧徳時代・江蘇時代）製,● CATL（寧徳時代・江蘇時代）製,● CATL（寧徳時代・江蘇時代）製,-,-,-,-,● CATL（寧徳時代・江蘇時代）製,● CATL（寧徳時代・江蘇時代）製,● CATL（寧徳時代・江蘇時代）製,● CATL（寧徳時代・江蘇時代）製,-,-,-,-,-
电池/充电,バッテリー/充電,电池组质保,バッテリー保証期間,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,-,-,-,-,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,-,-,-,-,-
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,10,10,10,10,無段変速,無段変速,無段変速,無段変速,10,10,10,10,10
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ
