セクション,セクション_ja,項目,項目_ja,2026年モデル 2WDロングレンジCore,2026年モデル 4WDウルトラロングレンジCore,2026年モデル 4WDウルトラロングレンジPlus,2026年モデル 4WDウルトラロングレンジUltra
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),107,107,107,107
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,156,156,156
电动机,モーター,系统综合功率(kW),システム総合出力(kW),234,340,340,340
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),318,462,462,462
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),535,710,710,710
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,"● 三元リチウム電池
● リン酸鉄リチウム電池",● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),100,180,180,180
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),116,212,212,212
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1203,1201,1201,1201
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),21.2,39.6,39.6,39.6
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),17.3,22,22,22
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.65,0.38,0.38,0.38
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),4,7,7,7
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),0-80,0-80,0-80,0-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),0-100,0-100,0-100,0-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6
变速箱,トランスミッション,简称,略称,3速DHT,3速DHT,3速DHT,3速DHT
变速箱,トランスミッション,挡位个数,段数,3,3,3,3
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 235/50 R19
○ 255/45 R20（8000元）","● 235/55 R19
○ 255/45 R20（8000元）","● 255/45 R20
○ 255/40 R21（8000元）",● 255/40 R21
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 235/50 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 255/45 R20
○ 255/40 R21",● 255/40 R21
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ,"● スポーツ
● オフロード","● スポーツ
● オフロード","● スポーツ
● オフロード"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 5個,● 6個,● 6個,● 6個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万,● 800万,● 800万,● 800万
驾驶硬件,運転ハードウェア,环视摄像头像素,全方位カメラ画素数,● 300万,● 300万,● 300万,● 300万
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 5個,● 5個,● 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● パイロットアシスト,● パイロットアシスト,● パイロットアシスト,● パイロットアシスト
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,○,○,○
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,○ 高速道路区間（2.00万元）,○ 高速道路区間（2.00万元）,○ 高速道路区間（2.00万元）
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー","● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー","● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー","● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリープリヒーター,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウィンドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部側面プライバシーガラス,-,-,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感センサー式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,-,-,-,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識機能,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●
智能化配置,スマート機能装備,车联网,車載ネットワーク（コネクテッドカー）,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク対応,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー調,● レザー調,● レザー調,● レザー調
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○,○,○,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD（拡張現実ヘッドアップディスプレイ）,-,-,○ （7000元）,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUD表示サイズ,-,-,○ 92インチ,● 92インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,"○ 本革
● 合成皮革",● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター,○ ヒーター,"● ヒーター
● ベンチレーション
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ ヒーター,○ ヒーター,○ ヒーター,● ヒーター
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 23スピーカー,● 23スピーカー
