セクション,項目,哈弗猛龙新能源 2026款 Hi4 105 Pro,哈弗猛龙新能源 2026款 Hi4 150 Pro,哈弗猛龙新能源 2026款 Hi4 150 Ultra,哈弗猛龙新能源 2026款 Hi4 200 Ultra,哈弗猛龙新能源 2026款 Hi4 150 Ultra 领航版,哈弗猛龙新能源 2026款 Hi4 200 Ultra 领航版,哈弗猛龙新能源 2024款 Hi4 102 Air,哈弗猛龙新能源 2024款 Hi4 102 Pro,哈弗猛龙新能源 2024款 Hi4 145 Pro,哈弗猛龙新能源 2024款 Hi4 145 穿越版
基本参数,发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 167马力 L4,1.5T 167马力 L4,1.5T 167马力 L4,1.5T 167马力 L4
基本参数,电动机(Ps),299,299,299,299,299,299,299,299,299,299
基本参数,长*宽*高(mm),4800*1950*1843,4800*1950*1843,4800*1950*1843,4800*1950*1843,4800*1950*1843,4800*1950*1843,4800*1916*1822,4800*1950*1843,4800*1950*1843,4800*1950*1843
基本参数,官方0-100km/h加速(s),6.1,6.2,6.2,5.9,6.2,5.9,6,6,6.2,6.2
基本参数,最高车速(km/h),190,190,190,190,190,190,190,190,190,190
基本参数,WLTC综合油耗(L/100km),1.68,1.13,1.13,0.93,1.13,0.93,1.68,1.68,1.15,1.15
基本参数,最低荷电状态油耗(L/100km),-,-,-,-,-,-,5.98,5.98,6.09,6.09
基本参数,最低荷电状态油耗(L/100km)WLTC,5.88,5.99,5.99,6.09,5.99,6.09,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,-,-,1.97,1.97,2.23,2.23
基本参数,油电综合燃料消耗量(L/100km),3.57,3.34,3.34,3.21,3.34,3.21,-,-,-,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2055,2135,2135,2135,2135,2135,2055,2055,2135,2135
基本参数,最大满载质量(kg),2480,2560,2560,2560,2560,2560,2480,2480,2560,2560
车身,长度(mm),4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
车身,宽度(mm),1950,1950,1950,1950,1950,1950,1916,1950,1950,1950
车身,高度(mm),1843,1843,1843,1843,1843,1843,1822,1843,1843,1843
车身,轴距(mm),2738,2738,2738,2738,2738,2738,2738,2738,2738,2738
车身,前轮距(mm),1641,1641,1641,1641,1641,1641,1641,1641,1641,1641
车身,后轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,空载最小离地间隙(mm),221,221,221,221,221,221,200,221,221,221
车身,接近角(°),25,25,25,25,25,25,24,25,25,25
车身,离去角(°),32,32,32,32,32,32,30,32,32,32
车身,纵向通过角(°),20.1,20.1,20.1,20.1,20.1,20.1,19,20.1,20.1,20.1
车身,最大爬坡度(%),-,-,-,-,-,-,60,60,60,60
车身,最大涉水深度(mm),-,-,-,-,-,-,560,580,580,580
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),55,55,55,55,55,55,55,55,55,55
车身,后备厢容积(L),586-1404,586-1404,586-1404,586-1404,586-1404,586-1404,586-1404,586-1404,586-1404,586-1404
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,GW4B15M,GW4B15M,GW4B15M,GW4B15M,GW4B15M,GW4B15M,GW4B15E,GW4B15E,GW4B15E,GW4B15E
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,压缩比,-,-,-,-,-,-,12.4,12.4,12.4,12.4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),156,156,156,156,156,156,167,167,167,167
发动机,最大功率(kW),115,115,115,115,115,115,123,123,123,123
发动机,最大功率转速(rpm),-,-,-,-,-,-,5500-6000,5500-6000,5500-6000,5500-6000
发动机,最大扭矩(N·m),243,243,243,243,243,243,243,243,243,243
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,1500-4000,1500-4000,1500-4000,1500-4000
发动机,最大净功率(kW),112,112,112,112,112,112,120,120,120,120
发动机,发动机特有技术,米勒循环、低压废气再循环,米勒循环、低压废气再循环,米勒循环、低压废气再循环,米勒循环、低压废气再循环,米勒循环、低压废气再循环,米勒循环、低压废气再循环,米勒循环、低压废气再循环,米勒循环、低压废气再循环,米勒循环、低压废气再循环,米勒循环、低压废气再循环
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ220XS011,TZ220XS011,TZ220XS011,TZ220XS011,TZ220XS011,TZ220XS011,TZ220XS011,TZ220XS011,TZ220XS011,TZ220XS011
电动机,后电动机型号,TZ220XS008,TZ220XS008,TZ220XS008,TZ220XS008,TZ220XS008,TZ220XS008,TZ220XS008,TZ220XS008,TZ220XS008,TZ220XS008
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),220,220,220,220,220,220,220,220,220,220
电动机,电动机总马力(Ps),299,299,299,299,299,299,299,299,299,299
电动机,电动机总扭矩(N·m),510,510,510,510,510,510,510,510,510,510
电动机,前电动机最大功率(kW),70,70,70,70,70,70,70,70,70,70
电动机,前电动机最大扭矩(N·m),160,160,160,160,160,160,160,160,160,160
电动机,后电动机最大功率(kW),150,150,150,150,150,150,150,150,150,150
电动机,后电动机最大扭矩(N·m),350,350,350,350,350,350,350,350,350,350
电动机,系统综合功率(kW),268,272,272,330,272,330,278,278,282,282
电动机,系统综合功率(Ps),364,370,370,449,370,449,378,378,384,384
电动机,系统综合扭矩(N·m),750,750,750,750,750,750,750,750,750,750
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 宁德时代
● 蜂巢能源","● 宁德时代
● 蜂巢能源","● 宁德时代
● 蜂巢能源",● 蜂巢能源,"● 宁德时代
● 蜂巢能源",● 蜂巢能源,"● 宁德时代
● 蜂巢能源","● 宁德时代
● 蜂巢能源",● 蜂巢能源,● 蜂巢能源
电池/充电,电池特有技术,大禹电池,大禹电池,大禹电池,大禹电池,大禹电池,大禹电池,大禹电池,大禹电池,大禹电池,大禹电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,NEDC纯电续航里程(km),-,-,-,-,-,-,102,102,145,145
电池/充电,WLTC纯电续航里程(km),81,115,115,151,115,151,81,81,115,115
电池/充电,CLTC纯电续航里程(km),105,150,150,200,150,200,-,-,-,-
电池/充电,电池能量(kWh),18.74,27.54,27.54,35.43,27.54,35.43,18.74,18.74,27.54,27.54
电池/充电,百公里耗电量(kWh/100km),16.5,19.0,19.0,19.6,19.0,19.6,17.4,17.4,19.7,19.7
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,-,-,-,33,33,41,41
电池/充电,电池快充时间(小时),-,-,-,-,-,-,0.47,0.47,0.47,0.47
电池/充电,电池快充电量范围(%),-,-,-,-,-,-,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),-,-,-,-,-,-,15-100,15-100,15-100,15-100
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,3.3,3.3,3.3,3.3
变速箱,简称,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT
变速箱,挡位个数,2,2,2,2,2,2,2,2,2,2
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18",● 255/60 R19,● 255/60 R19,● 245/60 R18,"● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18"
车轮制动,后轮胎规格,"● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18",● 255/60 R19,● 255/60 R19,● 245/60 R18,"● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18","● 255/60 R19
○ 265/60 R18"
车轮制动,备胎规格,"● 全尺寸
○ 补胎工具","● 全尺寸
○ 补胎工具","● 全尺寸
○ 补胎工具","● 全尺寸
○ 补胎工具",● 非全尺寸,● 非全尺寸,● 全尺寸,"● 非全尺寸
○ 补胎工具","● 非全尺寸
○ 补胎工具","● 非全尺寸
○ 补胎工具"
车轮制动,备胎放置方式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,-,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,-,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,-,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,-,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,-,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,●,●,●,●,-,-,-,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地"
驾驶操控,单踏板模式,●,●,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●
四驱/越野,限滑差速器/差速锁,○ 后桥差速锁 (6000元),○ 后桥差速锁 (6000元),● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,-,○ 后桥差速锁 (6000元),○ 后桥差速锁 (6000元),● 后桥差速锁
驾驶硬件,前/后驻车雷达,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前 ○ / 后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,-,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 双目,● 双目,-,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 5个,● 5个,● 5个,● 7个,● 7个,-,● 5个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 4个,● 8个,● 8个,● 8个,● 12个,● 12个,● 4个,● 4个,● 4个,"● 4个
○ 12个"
驾驶硬件,毫米波雷达数量,● 2个,● 2个,● 2个,● 2个,● 3个,● 3个,-,● 2个,● 2个,● 2个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,-,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,-,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●,●,-,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,-,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,-,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,-,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,●,●,-,-,-,○
驾驶功能,遥控泊车,-,-,-,-,●,●,-,-,-,○
驾驶功能,记忆泊车,-,-,-,-,●,●,-,-,-,-
驾驶功能,循迹倒车,-,-,-,-,●,●,-,-,-,○
驾驶功能,辅助变道,-,-,-,-,●,●,-,-,-,○
驾驶功能,辅助匝道自动驶出(入),-,-,-,-,●,●,-,-,-,○
驾驶功能,辅助驾驶路段,-,-,-,-,● 高速路段,● 高速路段,-,-,-,○ 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,-,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 驾驶位,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排
天窗/玻璃,后排侧窗遮阳帘,-,-,● 手动,● 手动,● 手动,● 手动,-,-,-,● 手动
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",● 电动调节,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
