セクション,セクション_ja,項目,項目_ja,2024年モデル インテリジェントハイブリッド 1.8L 先進版,2024年モデル インテリジェントハイブリッド 1.8L 豪華版,2024年モデル インテリジェントハイブリッド 1.8L ナイト版,2024年モデル インテリジェントハイブリッド 1.8L スポーツ版,2024年モデル 185T CVT 豪華版,2024年モデル 185T CVT スポーツ版,2023年モデル TNGA 1.5L CVT 進取版,2023年モデル TNGA 1.5L CVT 先進版,2023年モデル TNGA 1.5L CVT 豪華版,2023年モデル TNGA 1.5L CVT スポーツ版,2023年モデル インテリジェントハイブリッド 1.8L 先進版,2023年モデル インテリジェントハイブリッド 1.8L 豪華版,2023年モデル インテリジェントハイブリッド 1.8L スポーツ版
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,直噴,直噴,直噴,直噴,直噴,直噴,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6
电动机,モーター,电机类型,モーター種類,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,-,-,-,-,-,-,永久磁石同期,永久磁石同期,永久磁石同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),70,70,70,70,-,-,-,-,-,-,70,70,70
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),95,95,95,95,-,-,-,-,-,-,95,95,95
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),185,185,185,185,-,-,-,-,-,-,185,185,185
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),70,70,70,70,-,-,-,-,-,-,70,70,70
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),185,185,185,185,-,-,-,-,-,-,185,185,185
电动机,モーター,系统综合功率(kW),システム総合出力(kW),101,101,101,101,-,-,-,-,-,-,101,101,101
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),137,137,137,137,-,-,-,-,-,-,137,137,137
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,-,-,-,-,-,-,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置き,前置き,前置き,前置き,-,-,-,-,-,-,前置き,前置き,前置き
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,-,-,-,-,-,-,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● BYD,● BYD,● BYD,● BYD,-,-,-,-,-,-,● BYD,● BYD,● BYD
电池/充电,バッテリー/充電,电池组质保,バッテリー保証期間,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,-,-,-,-,-,-,● 8年または20万km,● 8年または20万km,● 8年または20万km
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,10,10,10,10,10,10,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● E型マルチリンク独立サスペンション,● E型マルチリンク独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● E型マルチリンク独立サスペンション,● E型マルチリンク独立サスペンション,● E型マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 205/55 R16,● 205/55 R16,● 225/45 R17,● 225/45 R17,● 205/55 R16,● 225/45 R17,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 225/45 R17
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 205/55 R16,● 205/55 R16,● 225/45 R17,● 225/45 R17,● 205/55 R16,● 225/45 R17,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 225/45 R17
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ収納方法,● トランク内,● トランク内,● トランク内,● トランク内,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,-,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-,-,-,-,-,-
被动安全,衝突安全,副驾驶座垫式气囊,助手席クッションエアバッグ,-,-,-,-,●,●,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,-,-,-,-,-,-,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,-,-,-,●,●,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,-,-,-,-,-,-,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,-,-,● バックカメラ,● バックカメラ,-,● バックカメラ,● バックカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼,● 単眼,● 単眼,● 単眼,-,-,-,-,-,-,● 単眼,● 単眼,● 単眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 2個,● 2個,● 2個,● 2個,● 2個,-,● 1個,● 2個,● 2個,● 1個,● 2個,● 2個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,-,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,-,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,-,-,●,-,-,-,-,-,●,-,-,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,●,-,-,-,-,-,●,-,-,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,-,● 高徳（ガオデ）,-,-,-,-,-,● 高徳（ガオデ）,-,-,● 高徳（ガオデ）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,-,-,-,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,● スポーツスタイル,● スポーツスタイル,-,● スポーツスタイル,-,-,-,● スポーツスタイル,-,-,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,-,-,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●
