セクション,セクション_ja,項目,項目_ja,2026年モデル 3000万台記念 330TSI 炫目,2026年モデル 3000万台記念 ワゴン 330TSI 猎目,2026年モデル 3000万台記念 380TSI 夺目,2026年モデル 3000万台記念 ワゴン 380TSI 猎心,2025年モデル 改良版 330TSI 炫目 众享款,2025年モデル 改良版 ワゴン 330TSI 猎目 众享款,2025年モデル 改良版 380TSI 夺目 众享款,2025年モデル 改良版 380TSI 耀目 众享款,2025年モデル 改良版 ワゴン 380TSI 猎心 众享款,2025年モデル 改良版 ワゴン 380TSI 猎风 众享款
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りワゴンクロスオーバー,5ドア5人乗りハッチバック,5ドア5人乗りワゴンクロスオーバー,5ドア5人乗りハッチバック,5ドア5人乗りワゴンクロスオーバー,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りワゴンクロスオーバー,5ドア5人乗りワゴンクロスオーバー
基本参数,基本仕様,发动机,エンジン,2.0T 186馬力 L4,2.0T 186馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 186馬力 L4,2.0T 186馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4865×1870×1459（mm）,4869×1870×1459（mm）,4865×1870×1459（mm）,4869×1870×1459（mm）,4865×1870×1459（mm）,4869×1870×1459（mm）,4865×1870×1459（mm）,4865×1870×1459（mm）,4869×1870×1459（mm）,4869×1870×1459（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.8,8.9,7.9,7.9,8.8,8.9,7.9,7.9,7.9,7.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),210,210,210,210,210,210,210,210,210,210
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.76,6.84,7.15,7.28,6.76,6.84,7.15,7.15,7.28,7.28
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1640,1654,1650,1660,1640,1654,1650,1650,1660,1660
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2110,2130,2120,2130,2110,2130,2120,2120,2130,2130
车身,車体,长度(mm),全長(mm),4865,4869,4865,4869,4865,4869,4865,4865,4869,4869
车身,車体,宽度(mm),全幅(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
车身,車体,高度(mm),全高(mm),1459,1459,1459,1459,1459,1459,1459,1459,1459,1459
车身,車体,轴距(mm),ホイールベース(mm),2841,2841,2841,2841,2841,2841,2841,2841,2841,2841
车身,車体,前轮距(mm),前トレッド(mm),1586,1586,1586,1586,1586,1586,1586,1586,1586,1586
车身,車体,后轮距(mm),後トレッド(mm),1572,1572,1572,1572,1572,1572,1572,1572,1572,1572
车身,車体,接近角(°),アプローチアングル(°),15,16,15,16,15,16,15,15,16,16
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15,15,15,15,15,15,15
车身,車体,最小转弯半径(m),最小回転半径(m),6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
车身,車体,车身结构,ボディ構造,ハッチバック,ワゴンクロスオーバー,ハッチバック,ワゴンクロスオーバー,ハッチバック,ワゴンクロスオーバー,ハッチバック,ハッチバック,ワゴンクロスオーバー,ワゴンクロスオーバー
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),66,66,66,66,66,66,66,66,66,66
车身,車体,后备厢容积(L),トランク容量(L),501,514,501,514,501,514,501,501,514,514
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,EA888-DTHエンジン,EA888-DTHエンジン,EA888-DTJエンジン,EA888-DTJエンジン,EA888-DTHエンジン,EA888-DTHエンジン,EA888-DTJエンジン,EA888-DTJエンジン,EA888-DTJエンジン,EA888-DTJエンジン
发动机,エンジン,排量(mL),排気量(mL),1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),186,186,220,220,186,186,220,220,220,220
发动机,エンジン,最大功率(kW),最大出力(kW),137,137,162,162,137,137,162,162,162,162
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),4150-6000,4150-6000,4900-6700,4900-6700,4150-6000,4150-6000,4900-6700,4900-6700,4900-6700,4900-6700
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),320,320,350,350,320,320,350,350,350,350
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1600-4050,1600-4050,1600-4300,1600-4300,1600-4050,1600-4050,1600-4300,1600-4300,1600-4300,1600-4300
发动机,エンジン,最大净功率(kW),最大出力(kW),137,137,162,162,137,137,162,162,162,162
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,245/45 R18、245/40 R19タイヤサイズ,245/45 R18、245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,245/45 R18、245/40 R19タイヤサイズ,245/45 R18、245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,245/45 R18、245/40 R19タイヤサイズ,245/45 R18、245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,245/45 R18、245/40 R19タイヤサイズ,245/45 R18、245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ,● 245/40 R19タイヤサイズ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,○ フルサイズスペアタイヤなし,○ フルサイズスペアタイヤなし,○ フルサイズスペアタイヤなし,○ フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,-,-,-,-,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,タイヤ空気圧警告・表示,タイヤ空気圧警告・表示,● タイヤ空気圧表示,● タイヤ空気圧表示,タイヤ空気圧警告・表示,タイヤ空気圧警告・表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,●,●,-,-,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),○,○,●,●,○,○,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,○,○,●,●,○,○,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,-,-,-,-,●,-,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツモード,● スポーツモード,● スポーツ、エコ、標準/コンフォート、カスタム/パーソナライズモード,● スポーツ、エコ、標準/コンフォート、カスタム/パーソナライズモード,● スポーツモード,● スポーツモード,● スポーツ、エコ、標準/コンフォート、カスタム/パーソナライズモード,● スポーツ、エコ、標準/コンフォート、カスタム/パーソナライズモード,● スポーツ、エコ、標準/コンフォート、カスタム/パーソナライズモード,● スポーツ、エコ、標準/コンフォート、カスタム/パーソナライズモード
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,○ サスペンション硬さ調整（オプション）,○ サスペンション硬さ調整（オプション）,-,-,○ サスペンション硬さ調整（オプション）,● サスペンション硬さ調整,○ サスペンション硬さ調整（オプション）,● サスペンション硬さ調整
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,リアビューカメラ、360度全方位カメラ,リアビューカメラ、360度全方位カメラ,● リアビューカメラ,● リアビューカメラ,リアビューカメラ、360度全方位カメラ,● 360度全方位カメラ,リアビューカメラ、360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,● 単眼カメラ,● 単眼カメラ,-,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,2個、5個,2個、5個,● 1個,● 1個,2個、5個,● 5個,2個、5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 8個,● 8個,● 12個,● 12個,● 8個,● 8個,● 12個,● 12個,● 12個,● 12個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,クルーズコントロール、全速度域対応アダプティブクルーズコントロール,クルーズコントロール、全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,クルーズコントロール、全速度域対応アダプティブクルーズコントロール,クルーズコントロール、全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,● トラベルアシスト,● トラベルアシスト,-,-,● トラベルアシスト,● トラベルアシスト,● トラベルアシスト,● トラベルアシスト
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,● L2,● L2,-,-,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,-,-,-,●,-,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,○,○,-,-,○,●,○,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル離し検知,-,-,-,●,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,● スポーティスタイル,-,● スポーティスタイル,-,● スポーティスタイル,-,● スポーティスタイル,● スポーティスタイル,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,●,●,-,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,●,-,●,-,●,-,-,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,○ 全車（1500元）,○ 全車,● 全車,● 全車,○ 全車,○ 全車,● 全車,● 全車,● 全車,● 全車
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,○,○,●,●,○,○,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,○,○,●,●,○,○,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,○,○,●,●,○,○,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライトレイン/フォグモード,○,○,●,●,○,○,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,-,-,-,-,-,-,-,●,-,●
