セクション,項目,索纳塔 2024款 1.5T Air,索纳塔 2024款 1.5T Pro,索纳塔 2024款 1.5T Max,索纳塔 2024款 2.0T N Line Air,索纳塔 2024款 2.0T N Line Pro,索纳塔 2024款 2.0T N Line Max
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,-,● 前排,● 前排,● 前排
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife"
屏幕/系统,语音识别控制系统,-,●,●,●,●,●
屏幕/系统,语音助手唤醒词,-,● 你好，现代,● 你好，现代,● 你好，现代,● 你好，现代,● 你好，现代
屏幕/系统,语音分区域唤醒识别,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,车载智能系统,● Bluelink,● Bluelink,● Bluelink,● Bluelink,● Bluelink,● Bluelink
智能化配置,车联网,-,●,●,●,●,●
智能化配置,4G/5G网络,-,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●
智能化配置,Wi-Fi热点,-,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车辆启动
● 车灯控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 车灯控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 车灯控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 车灯控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 车灯控制
● 车况查询/诊断","● 车门控制
● 车辆启动
● 车灯控制
● 车况查询/诊断"
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,●,-,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 4.2英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1500元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭
座椅配置,运动风格座椅,-,-,-,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,-,● 加热,● 加热,● 加热,● 加热,"● 加热
● 通风"
座椅配置,电动座椅记忆功能,-,-,-,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,●
座椅配置,第二排座椅调节,-,-,-,-,-,-
座椅配置,第二排座椅功能,-,-,● 加热,-,● 加热,● 加热
座椅配置,后排座椅放倒形式,-,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,-,● 64色,● 64色,● 64色,● 64色,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
空调/冰箱,空气质量监测,-,-,●,-,●,●
颜色,外观颜色,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–
选装包,选装包2,-,-,○ 选配 (4000元),-,-,-
选装包,选装包3,-,-,-,○ 选配 (1500元),-,-
