セクション,セクション_ja,項目,項目_ja,2025年モデル 510快適版,2025年モデル 510上質版,2025年モデル 510レーザーレーダー版,2025年モデル 600上質版,2025年モデル 600レーザーレーダー版,2025年モデル 510行政版
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2045,2080,2080,2131,2131,2045
车身,車体,长度(mm),全長(mm),4515,4515,4515,4515,4515,4515
车身,車体,宽度(mm),全幅(mm),1885,1885,1885,1885,1885,1885
车身,車体,高度(mm),全高(mm),1655,1655,1655,1655,1655,1655
车身,車体,轴距(mm),ホイールベース(mm),2735,2735,2735,2735,2735,2735
车身,車体,前轮距(mm),前トレッド(mm),1615,1615,1615,1615,1615,1615
车身,車体,后轮距(mm),後トレッド(mm),1605,1605,1605,1605,1605,1605
车身,車体,空载最小离地间隙(mm),無負荷時最低地上高(mm),170,170,170,170,170,170
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,24,24,24
车身,車体,最小转弯半径(m),最小回転半径(m),5.25,5.25,5.25,5.25,5.25,5.25
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,后备厢容积(L),トランク容量(L),420-1415,420-1415,420-1415,420-1415,420-1415,420-1415
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
电动机,モーター,后电动机型号,後モーター型式,TZ180XS101（モデルコード）,TZ180XY005（モデルコード）,TZ180XY005（モデルコード）,TZ180XY005（モデルコード）,TZ180XY005（モデルコード）,TZ180XS101（モデルコード）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),132,160,160,160,160,132
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),180,218,218,218,218,180
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),175,240,240,240,240,175
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),132,160,160,160,160,132
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),175,240,240,240,240,175
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,-
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● シンワンダ（Sunwoda） 正力新能製,● シンワンダ（Sunwoda） 正力新能製,● シンワンダ（Sunwoda） 正力新能製,● 国軒高科 中航リチウム電池製,● 中創新航 国軒高科製,● シンワンダ（Sunwoda） 正力新能製
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),510,510,510,600,600,510
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),56.2,56.2,56.2,67.1,67.1,56.2
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),12.3,12.3,12.3,12.4,12.4,12.3
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.32,0.32,0.32,0.33,0.33,0.32
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),4.2,4.2,4.2,5.6,5.6,4.2
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
变速箱,トランスミッション,简称,略称,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/50 R18タイヤ,● 235/50 R18タイヤ,● 235/50 R18タイヤ,● 235/50 R18タイヤ,● 235/50 R18タイヤ,● 235/50 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,●,-,●,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,●,-,●,-
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,-,-,●,-,●,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 標準／コンフォートモード,● スポーツ 標準／コンフォートモード,● スポーツ 標準／コンフォートモード,● スポーツ 標準／コンフォートモード,● スポーツ 標準／コンフォートモード,● スポーツ 標準／コンフォートモード
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビュー＋車側死角カメラ,● 360度パノラマビューカメラ,● 360度パノラマビュー＋車側死角カメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,-,● Qualcomm Snapdragon 8650搭載,-,● Qualcomm Snapdragon 8650搭載,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● ステレオカメラ,● 単眼カメラ,● ステレオカメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個（数）,● 5個（数）,● 11個（数）,● 5個（数）,● 11個（数）,● 5個（数）
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 200万画素,● 200万画素,● 800万画素,● 200万画素,● 800万画素,● 200万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,-,-,● 300万画素,-,● 300万画素,-
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 130万画素,● 130万画素,● 300万画素,● 130万画素,● 300万画素,● 130万画素
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個（数）,● 12個（数）,● 12個（数）,● 12個（数）,● 12個（数）,● 12個（数）
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,-,● 3個（数）,-,● 3個（数）,-
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,-,-,● HESAI（禾赛科技）製,-,● HESAI（禾赛科技）製,-
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR数,-,-,● 1個（数）,-,● 1個（数）,-
驾驶硬件,運転ハードウェア,激光雷达线数,LiDARライン数,-,-,● 128ライン（レーザースキャナー）,-,● 128ライン（レーザースキャナー）,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Leapmotor Pilot（運転支援システム）,● Leapmotor Pilot（運転支援システム）,● Leapmotor Pilot（運転支援システム）,● Leapmotor Pilot（運転支援システム）,● Leapmotor Pilot（運転支援システム）,● Leapmotor Pilot（運転支援システム）
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,●,-,●,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ渋滞情報表示,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Amap）ナビ対応,● 高徳（Amap）ナビ対応,● 高徳（Amap）ナビ対応,● 高徳（Amap）ナビ対応,● 高徳（Amap）ナビ対応,● 高徳（Amap）ナビ対応
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,●,-,●,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持機能,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,-,●,-,●,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,-,●,-,●,-
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,● 高速道路区間,-,● 高速道路区間,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキーエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブクローズ式エアインテークグリル,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,-,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップダウン機能,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,-,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓 シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン 窓 シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン 窓 シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン 窓 シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン 窓
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識機能,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識機能,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8155P
智能化配置,スマート機能装備,车联网,車載ネットワーク（コネクテッドカー）,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア制御 窓制御 充電管理 エアコン制御 車両状態確認・診断 車両位置特定・車両探索,● ドア制御 窓制御 充電管理 エアコン制御 車両状態確認・診断 車両位置特定・車両探索,● ドア制御 窓制御 充電管理 エアコン制御 車両状態確認・診断 車両位置特定・車両探索,● ドア制御 窓制御 充電管理 エアコン制御 車両状態確認・診断 車両位置特定・車両探索,● ドア制御 窓制御 充電管理 エアコン制御 車両状態確認・診断 車両位置特定・車両探索,● ドア制御 窓制御 充電管理 エアコン制御 車両状態確認・診断 車両位置特定・車両探索
智能化配置,スマート機能装備,模拟声浪,エンジンサウンドシミュレーション,●,●,●,●,●,●
智能化配置,スマート機能装備,车载KTV,車載カラオケ機能,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
