セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T 2WD 旗韵Pro版,2026年モデル 2.0T 2WD 旗享Pro版,2026年モデル 2.0T 2WD 玄影版,2026年モデル 2.0T 4WD 旗享Pro版,2026年モデル 2.0T 4WD 玄影版,2026年モデル 2.0T 4WD 200万台記念版,2025年モデル 2.0T 2WD 旗悦Pro版,2025年モデル 2.0T 2WD 60万台記念版,2025年モデル 2.0T 2WD 旗享Pro版,2025年モデル 2.0T 2WD 玄影版,2025年モデル 2.0T 4WD 旗享Pro版,2025年モデル 2.0T 4WD 玄影版,2025年モデル 2.0T 2WD 旗领Pro版,2025年モデル 2.0T 4WD 旗领Pro版
基本参数,基本仕様,发动机,エンジン,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒,2.0T 252馬力 直列4気筒
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）,4785×1905×1700（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.6,7.6,7.6,7.7,7.7,7.7,7.6,7.6,7.6,7.6,7.7,7.7,7.6,7.7
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),215,215,215,210,210,210,215,215,215,215,210,210,215,210
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.34,7.34,7.34,7.92,7.92,7.92,7.34,7.34,7.34,7.34,7.92,7.92,7.34,7.92
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証制度,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1755,1755,1755,1820,1820,1820,1755,1755,1755,1755,1820,1820,1755,1820
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2205,2205,2205,2270,2270,2270,2205,2205,2205,2205,2270,2270,2205,2270
车身,車体,长度(mm),全長(mm),4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785
车身,車体,宽度(mm),全幅(mm),1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905
车身,車体,高度(mm),全高(mm),1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
车身,車体,轴距(mm),ホイールベース(mm),2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870
车身,車体,前轮距(mm),前トレッド(mm),1623,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623
车身,車体,后轮距(mm),後トレッド(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,車体,空载最小离地间隙(mm),無負荷時最低地上高(mm),200,200,200,200,200,200,200,200,200,200,200,200,200,200
车身,車体,接近角(°),アプローチアングル(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23,23,23,23,23,23,23,23,23,23
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,油箱容积(L),燃料タンク容量(L),64,64,64,64,64,64,64,64,64,64,64,64,64,64
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35,CA4GC20TD-35
发动机,エンジン,排量(mL),排気量(mL),1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),252,252,252,252,252,252,252,252,252,252,252,252,252,252
发动机,エンジン,最大功率(kW),最大出力(kW),185,185,185,185,185,185,185,185,185,185,185,185,185,185
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),380,380,380,380,380,380,380,380,380,380,380,380,380,380
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),180,180,180,180,180,180,180,180,180,180,180,180,180,180
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,8,8,8,8,8,8,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 4WD（オンデマンド式）,● 4WD（オンデマンド式）,● 4WD（オンデマンド式）,-,-,-,-,● 4WD（オンデマンド式）,● 4WD（オンデマンド式）,-,● 4WD（オンデマンド式）
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,-,-,-,-,● 多板クラッチ,● 多板クラッチ,-,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 235/60 R18
○ 255/45 R20（3000元追加）",● 235/60 R18,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 235/60 R18,"● 235/60 R18
○ 255/45 R20（3000元追加）",● 235/60 R18,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 235/60 R18
○ 255/45 R20",● 235/60 R18,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 235/60 R18,"● 235/60 R18
○ 255/45 R20",● 235/60 R18,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,"● パンク修理キット
○ スペアタイヤ（フルサイズでない）（600元追加）","● パンク修理キット
○ スペアタイヤ（フルサイズでない）（600元追加）","● パンク修理キット
○ スペアタイヤ（フルサイズでない）（600元追加）","● パンク修理キット
○ スペアタイヤ（フルサイズでない）（600元追加）","● パンク修理キット
○ スペアタイヤ（フルサイズでない）（600元追加）","● パンク修理キット
○ スペアタイヤ（フルサイズでない）（600元追加）","● パンク修理キット
○ スペアタイヤ（フルサイズでない）（600元追加）","● パンク修理キット
○ スペアタイヤ（フルサイズでない）（600元追加）"
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ収納方法,-,-,-,-,-,-,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 全席,● 全席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●,●,●,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●,●,●,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,●,●,●,●,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●,●,●,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,●,●,●,●,●,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,-,● サスペンション硬さ調整,-,-,-,-,-,-,-,● サスペンション硬さ調整
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,-,●,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 4個,● 5個,● 5個,● 5個,● 5個,● 5個,● 1個,● 4個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 8個,● 8個,● 8個,● 8個,● 8個,● 12個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,● 2個,● 2個,● 2個,● 2個,● 2個,-,-,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個
