セクション,項目,卡罗拉 2024款 1.5L 先锋版,卡罗拉 2024款 1.2T 先锋版,卡罗拉 2024款 1.2T 精英版,卡罗拉 2024款 1.8L 智能电混双擎 先锋版,卡罗拉 2024款 1.8L 智能电混双擎 精英版,卡罗拉 2024款 1.8L 智能电混双擎 旗舰版,卡罗拉 2026款 基本型
基本参数,WLTC综合油耗(L/100km),5.41,5.88,5.88,4.06,4.07,4.28,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,-
基本参数,整备质量(kg),1310,1335,1340,1385,1405,1415,1390
基本参数,最大满载质量(kg),1740,1770,1770,1845,1845,1845,1820
车身,长度(mm),4635,4635,4635,4635,4635,4635,4710
车身,宽度(mm),1780,1780,1780,1780,1780,1780,1780
车身,高度(mm),1435,1455,1455,1435,1435,1435,1435
车身,轴距(mm),2700,2700,2700,2700,2700,2700,2750
车身,前轮距(mm),1531,1527,1527,1531,1531,1531,1531
车身,后轮距(mm),1519,1526,1526,1537,1534,1534,1535
车身,接近角(°),12,12,12,12,12,12,12
车身,离去角(°),17,16,16,17,17,17,16
车身,最小转弯半径(m),5.2,5.2,5.2,5.2,5.2,5.2,-
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),47,50,50,43,43,43,-
车身,后备厢容积(L),470,470,470,470,470,470,-
车身,风阻系数(Cd),-,-,-,-,-,-,-
发动机,发动机型号,M15B,9NR/8NR,9NR/8NR,8ZR-FXE,8ZR-FXE,8ZR-FXE,M20E
发动机,排量(mL),1490,1197,1197,1798,1798,1798,1987
发动机,排量(L),1.5,1.2,1.2,1.8,1.8,1.8,2.0
发动机,进气形式,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L
发动机,气缸数(个),3,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4
发动机,压缩比,12.9,10,10,13,13,13,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),80.5,71.5,71.5,80.5,80.5,80.5,-
发动机,行程(mm),97.6,74.5,74.5,88.3,88.3,88.3,-
发动机,最大马力(Ps),121,116,116,98,98,98,171
发动机,最大功率(kW),89,85,85,72,72,72,126
发动机,最大功率转速(rpm),6500-6600,5200-5600,5200-5600,5200,5200,5200,-
发动机,最大扭矩(N·m),148,185,185,142,142,142,-
发动机,最大扭矩转速(rpm),4600-5000,1500-4000,1500-4000,3600,3600,3600,-
发动机,最大净功率(kW),89,85,85,72,72,72,126
发动机,发动机特有技术,-,VVT-iW,VVT-iW,VVT-i,VVT-i,VVT-i,-
发动机,能源类型,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,-
发动机,供油方式,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,永磁/同步,永磁/同步,永磁/同步,-
电动机,电动机总功率(kW),-,-,-,70,70,70,-
电动机,电动机总马力(Ps),-,-,-,95,95,95,-
电动机,电动机总扭矩(N·m),-,-,-,185,185,185,-
电动机,前电动机最大功率(kW),-,-,-,70,70,70,-
电动机,前电动机最大扭矩(N·m),-,-,-,185,185,185,-
电动机,系统综合功率(kW),-,-,-,101,101,101,-
电动机,系统综合功率(Ps),-,-,-,137,137,137,-
电动机,驱动电机数,-,-,-,单电机,单电机,单电机,-
电动机,电机布局,-,-,-,前置,前置,前置,-
电动机,三电系统质保,-,-,-,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,-
电池/充电,电池类型,-,-,-,● 镍钴锰酸锂电池,● 镍钴锰酸锂电池,● 镍钴锰酸锂电池,-
电池/充电,电芯品牌,-,-,-,● 比亚迪,● 比亚迪,● 比亚迪,-
变速箱,简称,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,-
变速箱,挡位个数,10,10,10,无级变速,无级变速,无级变速,-
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),-
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,-
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,-
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,● 双横臂式独立悬架,-
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,-
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,-
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,-
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,-
车轮制动,前轮胎规格,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16,● 225/45 R17,● 225/45 R17
车轮制动,后轮胎规格,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16,● 225/45 R17,● 225/45 R17
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,-
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-
被动安全,膝部气囊,-,● 主驾膝部气囊,● 主驾膝部气囊,-,-,-,-
被动安全,副驾驶座垫式气囊,-,●,●,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,-
主动安全,车道偏离预警系统,●,●,●,●,●,●,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,-
主动安全,低速行车警告,-,-,-,●,●,●,-
主动安全,道路救援呼叫,●,●,●,●,●,●,-
驾驶操控,驾驶模式切换,● 运动,● 运动,● 运动,● 运动 经济,● 运动 经济,● 运动 经济,-
驾驶操控,发动机启停技术,-,●,●,-,-,-,-
驾驶操控,能量回收系统,-,-,-,●,●,●,-
驾驶操控,自动驻车,●,●,●,●,●,●,-
驾驶操控,上坡辅助,●,●,●,●,●,●,-
驾驶硬件,前/后驻车雷达,-,-,-,-,-,-,-
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 倒车影像,-,● 倒车影像,● 倒车影像,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-
驾驶硬件,摄像头数量,● 1个,● 2个,● 2个,● 1个,● 2个,● 2个,-
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-
驾驶功能,辅助驾驶系统,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,-
驾驶功能,卫星导航系统,-,-,●,-,●,●,-
驾驶功能,导航路况信息显示,-,-,●,-,●,●,-
驾驶功能,地图品牌,-,-,-,-,● 高德,● 高德,-
驾驶功能,并线辅助,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,-
驾驶功能,车道居中保持,●,●,●,●,●,●,-
驾驶功能,道路交通标识识别,●,-,-,●,●,●,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,-
外观/防盗,车内中控锁,●,●,●,●,●,●,-
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,-
外观/防盗,无钥匙启动系统,-,●,●,●,●,●,-
外观/防盗,无钥匙进入功能,-,-,-,-,● 前排,● 前排,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,-
车外灯光,自适应远近光,●,●,●,●,●,●,-
车外灯光,自动头灯,●,●,●,●,●,●,-
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,大灯高度可调,●,●,●,●,●,●,-
车外灯光,大灯延时关闭,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,-,-,● 电动天窗,-,● 电动天窗,● 电动天窗,-
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,-
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,-
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-
屏幕/系统,中控屏幕尺寸,● 10.25英寸,● 8英寸,● 9英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,-
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,-,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,-
屏幕/系统,语音识别控制系统,-,-,● 多媒体系统 导航 电话 空调 天窗 车窗,-,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,-
屏幕/系统,语音助手唤醒词,-,-,● 你好，丰田,-,● 你好，丰田,● 你好，丰田,-
屏幕/系统,语音分区域唤醒识别,-,-,● 单区域,-,● 单区域,● 单区域,-
屏幕/系统,语音连续识别,-,-,-,-,●,●,-
屏幕/系统,可见即可说,-,-,-,-,●,●,-
智能化配置,车联网,-,-,●,-,●,●,-
智能化配置,4G/5G网络,-,-,● 4G,-,● 4G,● 4G,-
智能化配置,OTA升级,●,-,●,●,●,●,-
智能化配置,手机APP远程功能,● 车门控制 车灯控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,-,● 车门控制 车灯控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车灯控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 真皮,● 真皮,-
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,-
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,-
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,-
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,●,-
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 4.2英寸,● 4.2英寸,● 7英寸,● 7英寸,● 12.3英寸,-
方向盘/内后视镜,仪表盘屏幕材质,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,-
车内充电,多媒体/充电接口,● Type-C,● USB,● USB,● Type-C,● Type-C,● Type-C,-
车内充电,USB/Type-C接口数量,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个/后排2个,● 前排1个/后排2个,-
车内充电,手机无线充电功能,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 织物,● 仿皮,● 仿皮,-
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),-
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,-
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,● 主 / 副-,-
座椅配置,前排座椅功能,-,-,-,-,-,● 加热,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-,● 比例放倒,-
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,-
座椅配置,后排杯架,-,-,-,-,-,●,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,-
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,● 单色,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,-
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,●,●,●,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,●,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,-
空调/冰箱,负离子发生器,-,-,-,-,-,●,-
颜色,外观颜色,超级白色 红云母金属色 黑云母色 铂青铜金属色 天青石金属色 铂金白 ￥2000 魅力银,超级白色 红云母金属色 黑云母色 铂青铜金属色 天青石金属色 铂金白 ￥2000 魅力银,超级白色 红云母金属色 黑云母色 铂青铜金属色 天青石金属色 铂金白 ￥2000 魅力银,超级白色 黑云母色 铂青铜金属色 天青石金属色 铂金白 ￥2000 魅力银,超级白色 黑云母色 铂青铜金属色 天青石金属色 铂金白 ￥2000 魅力银,超级白色 黑云母色 铂青铜金属色 天青石金属色 铂金白 ￥2000 魅力银,-
颜色,内饰颜色,黑色 棕色/黑色,黑色,黑色,黑色,黑色 黑色/红色,黑色,-
