セクション,セクション_ja,項目,項目_ja,2025年モデル 1.6T DCT 卓越版,2025年モデル 1.6T DCT 尚,2025年モデル 1.6T DCT 智,2025年モデル 1.6T DCT 睿,2025年モデル 2.0T DCT 馳,2025年モデル 2.0T DCT 劲,2025年モデル 2.0T AT 御+,2024年モデル 1.6T DCT 卓越版
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.6T 197馬力 L4（直列4気筒）,1.6T 197馬力 L4（直列4気筒）,1.6T 197馬力 L4（直列4気筒）,1.6T 197馬力 L4（直列4気筒）,2.0T 254馬力 L4（直列4気筒）,2.0T 254馬力 L4（直列4気筒）,2.0T 254馬力 L4（直列4気筒）,1.6T 197馬力 L4（直列4気筒）
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4780×1843×1469（mm）,4780×1843×1469（mm）,4780×1843×1469（mm）,4780×1843×1469（mm）,4780×1843×1469（mm）,4780×1843×1469（mm）,4780×1843×1469（mm）,4780×1843×1469（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),205,205,205,205,215,215,215,205
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.5,6.5,6.5,6.5,6.8,6.8,7.2,6.5
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証制度,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1428,1428,1471,1471,1523,1523,1540,1428
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1853,1853,1853,1853,1917,1917,1935,1853
车身,車体,长度(mm),全長(mm),4780,4780,4780,4780,4780,4780,4780,4780
车身,車体,宽度(mm),全幅(mm),1843,1843,1843,1843,1843,1843,1843,1843
车身,車体,高度(mm),全高(mm),1469,1469,1469,1469,1469,1469,1469,1469
车身,車体,轴距(mm),ホイールベース(mm),2790,2790,2790,2790,2790,2790,2790,2790
车身,車体,前轮距(mm),前トレッド(mm),1590,1590,1590,1590,1590,1590,1590,1590
车身,車体,后轮距(mm),後トレッド(mm),1580,1580,1580,1580,1580,1580,1580,1580
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16,16,16,16,16
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）
车身,車体,油箱容积(L),燃料タンク容量(L),55,55,55,55,55,55,55,55
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J20（エンジン型式）,SQRF4J20（エンジン型式）,SQRF4J20（エンジン型式）,SQRF4J16C（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1598,1598,1598,1598,1998,1998,1998,1598
发动机,エンジン,排量(L),排気量(L),1.6,1.6,1.6,1.6,2.0,2.0,2.0,1.6
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),197,197,197,197,254,254,254,197
发动机,エンジン,最大功率(kW),最大出力(kW),145,145,145,145,187,187,187,145
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),290,290,290,290,390,390,390,290
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-4000,2000-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,2000-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),136.5,136.5,136.5,136.5,180,180,180,136.5
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック・マニュアルモード付）,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,8,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,オートマチックトランスミッション（AT、マニュアルモード付）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション（前）,● マクファーソン式独立サスペンション（前）,● マクファーソン式独立サスペンション（前）,● マクファーソン式独立サスペンション（前）,● マクファーソン式独立サスペンション（前）,● マクファーソン式独立サスペンション（前）,● マクファーソン式独立サスペンション（前）,● マクファーソン式独立サスペンション（前）
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション（後）,● マルチリンク式独立サスペンション（後）,● マルチリンク式独立サスペンション（後）,● マルチリンク式独立サスペンション（後）,● マルチリンク式独立サスペンション（後）,● マルチリンク式独立サスペンション（後）,● マルチリンク式独立サスペンション（後）,● マルチリンク式独立サスペンション（後）
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 215/50 R17タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 215/50 R17タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,-,-,-,-,-,● 運転席・助手席膝部エアバッグ,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,●,●,●,●,●,●,●,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,●,●,-,●,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,●,●,-,●,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,●,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,-,-,-,●,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,●,●,-,●,●,-
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,-,-,-,●,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,-,-,-,●,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,-,●,●,-,-,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準／コンフォートモード,● スポーツ・エコノミー・標準／コンフォートモード,● スポーツ・エコノミー・標準／コンフォートモード,● スポーツ・エコノミー・標準／コンフォートモード,● スポーツ・エコノミー・標準／コンフォートモード,● スポーツ・エコノミー・標準／コンフォートモード,● スポーツ・エコノミー・標準／コンフォートモード,● スポーツ・エコノミー・標準／コンフォートモード
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前後（ブレーキ）,● 前後（ブレーキ）,● 前後（ブレーキ）,● 前後（ブレーキ）,● 前席／後席,● 前席／後席,● 前席／後席,● 前後（ブレーキ）
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,-,-,●,●,●,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 5個,● 5個,● 4個,● 5個,● 5個,● 1個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,-,-,-,-,● 1個,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,● 4個,● 4個,● 8個,● 8個,● 8個,● 4個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,-,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,-,-,●,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,-
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,●,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,●,●,-,●,●,-
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,-,●,●,-,●,●,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,●,●,-,●,●,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,●,-,●,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ機能,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,-,-,-,-,● 前席,● 前席,● 前席,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席 助手席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,-,● 雨量感応式,-,● 雨量感応式,● 雨量感応式,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 10.25インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,-
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● ハイ、小奇,● ハイ、小奇,● こんにちは、小奇 ハイ、小奇,● こんにちは、小奇 ハイ、小奇,● こんにちは、小奇 ハイ、小奇,● こんにちは、小奇 ハイ、小奇,● こんにちは、小奇 ハイ、小奇,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Lion,● Lion,● Lion,● Lion,● Lion,● Lion,● Lion,-
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,-
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●
