セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 後輪駆動版,2025年モデル 改良版 ロングレンジ後輪駆動版,2025年モデル 改良版 ロングレンジ全輪駆動版,2025年モデル 改良版 高性能全輪駆動版,2025年モデル 後輪駆動版,2025年モデル ロングレンジ後輪駆動版,2025年モデル ロングレンジ全輪駆動版,2025年モデル 高性能全輪駆動版
电动机,モーター,电动机总功率(kW),モーター総出力(kW),194,225,331,343,194,225,331,343
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),264,306,450,466,264,306,450,466
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),340,-,559,723,340,-,559,723
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,137,137,-,-,137,137
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,219,-,-,-,219,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),194,225,194,265,194,225,194,265
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),340,-,340,-,340,-,340,-
电动机,モーター,驱动电机数,駆動モーター数,シングルモーター,シングルモーター,デュアルモーター,デュアルモーター,シングルモーター,シングルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,フロント＋リア配置,フロント＋リア配置,リア配置,リア配置,フロント＋リア配置,フロント＋リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または19.2万km,● 8年または19.2万km,● 8年または19.2万km,● 8年または16万km,● 8年または19.2万km,● 8年または19.2万km,● 8年または19.2万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● リン酸鉄リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（福鼎CATL） CATL（四川CATL）,● LG（エルジー）,● LG（エルジー）,● LG（エルジー）,● CATL（福鼎CATL） CATL（四川CATL）,● LG（エルジー）,● LG（エルジー）,● LG（エルジー）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),634,830,753,647,634,830,753,647
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),62.5,78.4,78.4,78.4,62.5,78.4,78.4,78.4
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),11.2,11,12.1,14.2,11.2,11,12.1,14.2
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),170,250,250,250,170,250,250,250
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
变速箱,トランスミッション,简称,略称,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置リア駆動,● リア配置リア駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● リア配置リア駆動,● リア配置リア駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 電動四輪駆動,● 電動四輪駆動,-,-,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,235/45 R18 235/40 R19（6000元）,235/45 R18 235/40 R19（6000元）,235/45 R18 235/40 R19（6000元）,● 235/40 R19,235/45 R18 235/40 R19（6000元）,235/45 R18 235/40 R19（6000元）,235/45 R18 235/40 R19（6000元）,● 235/40 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,235/45 R18 235/40 R19,235/45 R18 235/40 R19,235/45 R18 235/40 R19,● 265/35 R19,235/45 R18 235/40 R19,235/45 R18 235/40 R19,235/45 R18 235/40 R19,● 265/35 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●,●,●
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● 標準/快適 雪道,● 標準/快適 雪道,● 標準/快適 雪道,● スポーツ 標準/快適 雪道,● 標準/快適 雪道,● 標準/快適 雪道,● 標準/快適 雪道,● スポーツ 標準/快適 雪道
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,● サスペンション硬さ調整,-,-,-,● サスペンション硬さ調整
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ 車側死角カメラ,● バックカメラ 車側死角カメラ,● バックカメラ 車側死角カメラ,● バックカメラ 車側死角カメラ,● バックカメラ 車側死角カメラ,● バックカメラ 車側死角カメラ,● バックカメラ 車側死角カメラ,● バックカメラ 車側死角カメラ
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● 2基 HW 4.0,● 2基 HW 4.0,● 2基 HW 4.0,● 2基 HW 4.0,● 2基 HW 4.0,● 2基 HW 4.0,● 2基 HW 4.0,● 2基 HW 4.0
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 720 TOPS,● 720 TOPS,● 720 TOPS,● 720 TOPS,● 720 TOPS,● 720 TOPS,● 720 TOPS,● 720 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 8個,● 8個,● 8個,● 8個,● 7個,● 7個,● 7個,● 7個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 500万円,● 500万円,● 500万円,● 500万円,● 500万円,● 500万円,● 500万円,● 500万円
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● テスラオートパイロット,● テスラオートパイロット,● テスラオートパイロット,● テスラオートパイロット,● テスラオートパイロット,● テスラオートパイロット,● テスラオートパイロット,● テスラオートパイロット
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,○,○,○,○,○,○,○,○
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,○,○,○,○,○,○,○,○
驾驶功能,運転機能,遥控泊车,リモートパーキング,○,○,○,○,○,○,○,○
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,○,○,○,○,○,○,○,○
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,○,○,○,○,○,○,○,○
驾驶功能,運転機能,信号灯识别,信号機認識,○,○,○,○,○,○,○,○
驾驶功能,運転機能,远程召唤,リモートサモン機能,○,○,○,○,○,○,○,○
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,○ 市街地・高速道路対応,○ 市街地・高速道路対応,○ 市街地・高速道路対応,○ 市街地・高速道路対応,○ 市街地・高速道路対応,○ 市街地・高速道路対応,○ 市街地・高速道路対応,○ 市街地・高速道路対応
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,● スポーツスタイル,-,-,-,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動リアトランク位置メモリー,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,リモコンキー（990元）、Bluetoothキー、NFC/RFIDキー、UWBデジタルキー,リモコンキー（990元）、Bluetoothキー、NFC/RFIDキー、UWBデジタルキー,リモコンキー（990元）、Bluetoothキー、NFC/RFIDキー、UWBデジタルキー,リモコンキー（990元）、Bluetoothキー、NFC/RFIDキー、UWBデジタルキー,リモコンキー（990元）、Bluetoothキー、NFC/RFIDキー、UWBデジタルキー,リモコンキー（990元）、Bluetoothキー、NFC/RFIDキー、UWBデジタルキー,リモコンキー（990元）、Bluetoothキー、NFC/RFIDキー、UWBデジタルキー,リモコンキー（990元）、Bluetoothキー、NFC/RFIDキー、UWBデジタルキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感センサー式ワイパー機能,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080
屏幕/系统,ディスプレイ・システム,中控屏幕像素密度,センターコンソール画面ピクセル密度,● 147PPI,● 147PPI,● 147PPI,● 147PPI,● 147PPI,● 147PPI,● 147PPI,● 147PPI
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● テスラ車載システムソフトウェア,● テスラ車載システムソフトウェア,● テスラ車載システムソフトウェア,● テスラ車載システムソフトウェア,● テスラ車載システムソフトウェア,● テスラ車載システムソフトウェア,● テスラ車載システムソフトウェア,● テスラ車載システムソフトウェア
