セクション,セクション_ja,項目,項目_ja,2026年モデル 先鋒型,2026年モデル 先鋒quattro型,2026年モデル 先鋒Plus型,2026年モデル 旗艦quattro型
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),347,347,347,347
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.252,0.252,0.252,0.252
电动机,モーター,前电动机品牌,前モーターブランド,-,華域汽車,-,聯合汽車
电动机,モーター,后电动机品牌,後モーターブランド,華域汽車,華域汽車,華域汽車,華域汽車
电动机,モーター,前电动机型号,前モーター型式,-,TZ180XS0901,-,TZ180XS0952
电动机,モーター,后电动机型号,後モーター型式,TZ210XS1191,TZ230XY1301,TZ230XY1251,TZ230XY1351
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),220,386,300,579
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),299,525,408,787
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),420,725,500,800
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,155,-,200
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,250,-,300
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),220,231,300,379
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),420,475,500,500
电动机,モーター,驱动电机数,駆動モーター数,単モーター,デュアルモーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,リア配置,フロント＋リア配置,リア配置,フロント＋リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),618,623,773,647
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),76,83,100,100
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),14,15.2,14.1,16.8
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.22,0.58,0.28,0.28
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6.6,6.6,6.6,6.6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置リア駆動,● デュアルモーター四輪駆動,● リア配置リア駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20",● 245/40 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 275/40 R19
○ 285/35 R20","● 275/40 R19
○ 285/35 R20","● 275/40 R19
○ 285/35 R20",● 285/35 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ"
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,"○ サスペンション硬さ調整
○ サスペンション高さ調整","○ サスペンション硬さ調整
○ サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,○,○,●
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,●
驾驶操控,ドライビングコントロール,整体主动转向系统,統合アクティブステアリングシステム,-,○,○,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,"● 11個
○ 13個","● 11個
○ 13個","● 11個
○ 13個","● 11個
○ 13個"
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 200万画素,● 200万画素,● 200万画素,● 200万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 130万画素,● 130万画素,● 130万画素,● 130万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,"● 1個
○ 2個","● 1個
○ 2個","● 1個
○ 2個","● 1個
○ 2個"
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 3個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー台数,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速域自動追従クルーズ,● 全速域自動追従クルーズ,● 全速域自動追従クルーズ,● 全速域自動追従クルーズ
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Momenta,● Momenta,● Momenta,● Momenta
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持機能,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●
驾驶功能,運転機能,信号灯识别,信号灯認識,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,"● 市街地
● 高速道路","● 市街地
● 高速道路","● 市街地
● 高速道路","● 市街地
● 高速道路"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,-,"○ 前席
○ 後席","○ 前席
○ 後席","● 前席
● 後席"
外观/防盗,エクステリア・盗難防止,自动开合车门,自動開閉ドア,-,○,○,●
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,○ マトリクス式,○ マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト演出,-,○,○,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,光感天幕,光感サンルーフ,-,○,○,●
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップダウン,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席
○ 車内全体","● 前席
● 後席
○ 車内全体","● 前席
● 後席
○ 車内全体",● 全車
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,○,○,○,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目"
外后视镜,外側ドアミラー,电子外后视镜功能,電子式ドアミラー機能,○,○,○,○
外后视镜,外側ドアミラー,电子外后视镜显示屏,電子ドアミラーディスプレイ,○ 7インチ×2（1.20万元）,○ 7インチ×2（1.20万元）,○ 7インチ×2（1.20万元）,○ 7インチ×2（1.20万元）
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 27インチ,● 27インチ,● 27インチ,● 27インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センター画面解像度,● 4032×756,● 4032×756,● 4032×756,● 4032×756
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● シートヒーター
● シートベンチレーション"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、AUDI,● こんにちは、AUDI,● こんにちは、AUDI,● こんにちは、AUDI
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● AUDI OS,● AUDI OS,● AUDI OS,● AUDI OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載チップセット,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 24,● 24,● 24,● 24
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチ画面操作,●,●,●,●
屏幕/系统,ディスプレイ・システム,触屏振动反馈,タッチパネル振動フィードバック,●,●,●,●
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
智能化配置,スマート機能装備,车内生物监测系统,車内バイオモニタリングシステム,○,○,○,○
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約"
智能化配置,スマート機能装備,模拟声浪,エンジンサウンドシミュレーション,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,○,○,○
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ソケット,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● レザー／スエード素材ミックス
