セクション,セクション_ja,項目,項目_ja,2026年モデル 45周年記念版 40 TFSI スタイリッシュスポーツ,2026年モデル 45周年記念版 40 TFSI ラグジュアリースポーツ,2026年モデル 45周年記念版 45 TFSI ラグジュアリースポーツ,2025年モデル 45周年記念版 40 TFSI スタイリッシュスポーツ,2025年モデル 45周年記念版 40 TFSI ラグジュアリースポーツ,2025年モデル 45周年記念版 45 TFSI ラグジュアリースポーツ,2025年モデル 45周年記念版 45 TFSI プレミアムスポーツ,2026年モデル ベーシック,2026年モデル ハイパワーベーシック
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.77,7.77,7.96,7.77,7.77,7.96,8.08,-,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1870,1870,1875,1870,1870,1875,1915,2043,2067
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2355,2355,2355,2355,2355,2355,2395,2530,2540
车身,車体,长度(mm),全長(mm),4770,4770,4770,4770,4770,4770,4770,4842,4842
车身,車体,宽度(mm),全幅(mm),1893,1893,1893,1893,1893,1893,1893,1900,1900
车身,車体,高度(mm),全高(mm),1667,1667,1667,1667,1667,1667,1667,1640,1660
车身,車体,轴距(mm),ホイールベース(mm),2907,2907,2907,2907,2907,2907,2907,2945,2945
车身,車体,前轮距(mm),前トレッド(mm),1616,1616,1616,1616,1616,1616,1616,1621,1626
车身,車体,后轮距(mm),後トレッド(mm),1610,1610,1610,1610,1610,1610,1610,1613,1618
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),166,166,166,166,166,166,166,-,-
车身,車体,接近角(°),アプローチアングル(°),21,21,21,21,21,21,21,16,16
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23,23,23,21,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,-,-
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),73,73,73,73,73,73,73,-,-
车身,車体,后备厢容积(L),トランク容量(L),550,550,550,550,550,550,550,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DTG（モデル名）,DTG（モデル名）,DTK（モデル名）,DTG（モデル名）,DTG（モデル名）,DTK（モデル名）,DTK（モデル名）,DXM（モデル名）,DXG（モデル名）
发动机,エンジン,排量(mL),排気量(mL),1984,1984,1984,1984,1984,1984,1984,1984,1984
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),190,190,245,190,190,245,245,204,272
发动机,エンジン,最大功率(kW),最大出力(kW),140,140,180,140,140,180,180,150,200
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),4500-6250,4500-6250,5000-6000,4500-6250,4500-6250,5000-6000,5000-6000,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),320,320,370,320,320,370,370,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1500-4000,1500-4000,1600-4300,1500-4000,1500-4000,1600-4300,1600-4300,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),140,140,180,140,140,180,180,150,200
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,-,-
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,-,-
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,-,-
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,-,-
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,-,-
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,235/55 R19、255/45 R20（2000元オプション）,● 255/45 R20タイヤ,● 255/45 R20タイヤ,235/55 R19、255/45 R20（2000元オプション）,235/55 R19、255/45 R20（2000元オプション）,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,235/55 R19、255/45 R20（2000元オプション）,● 255/45 R20タイヤ,● 255/45 R20タイヤ,235/55 R19、255/45 R20（2000元オプション）,235/55 R19、255/45 R20（2000元オプション）,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,-,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前後エアバッグ（1600元オプション）,前後エアバッグ（1600元オプション）,前後エアバッグ（1600元オプション）,前後エアバッグ（1600元オプション）,前後エアバッグ（1600元オプション）,前後エアバッグ（1600元オプション）,前後エアバッグ（1600元オプション）,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,-,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席エアバッグ,● 前席エアバッグ,● 前席エアバッグ,● 前席エアバッグ,● 前席エアバッグ,● 前席エアバッグ,● 前席エアバッグ,-,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,-,●,●,●,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),○,○,○,○,○,○,●,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,○（1200元オプション）,○（1200元オプション）,○（1200元オプション）,○（1200元オプション）,○（1200元オプション）,○（1200元オプション）,●,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ、標準／快適、オフロード、カスタム／パーソナライズモード,● スポーツ、標準／快適、オフロード、カスタム／パーソナライズモード,● スポーツ、エコノミー、標準／快適、オフロード、カスタム／パーソナライズモード,● スポーツ、標準／快適、オフロード、カスタム／パーソナライズモード,● スポーツ、標準／快適、オフロード、カスタム／パーソナライズモード,● スポーツ、エコノミー、標準／快適、オフロード、カスタム／パーソナライズモード,● スポーツ、エコノミー、標準／快適、オフロード、カスタム／パーソナライズモード,-,-
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,バックカメラ、360度全方位カメラ（3700元オプション）,バックカメラ、360度全方位カメラ（3700元オプション）,● 360度全方位カメラ,バックカメラ、360度全方位カメラ（3700元オプション）,バックカメラ、360度全方位カメラ（3700元オプション）,● 360度全方位カメラ,● 360度全方位カメラ,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,2個、5個,2個、5個,● 5個,2個、5個,2個、5個,● 5個,● 5個,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,8個、12個,8個、12個,● 12個,8個、12個,8個、12個,● 12個,● 12個,-,-
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,1個、3個,1個、3個,1個、3個,1個、3個,1個、3個,1個、3個,● 3個,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,クルーズコントロール、自動追従クルーズ（1.62万元オプション）,クルーズコントロール、自動追従クルーズ（1.62万元オプション）,● クルーズコントロール,クルーズコントロール、自動追従クルーズ（1.62万元オプション）,クルーズコントロール、自動追従クルーズ（1.62万元オプション）,● 自動追従クルーズコントロール,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,○ L2,○ L2,-,○ L2,○ L2,● L2,-,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,○（1200元オプション）,○（1200元オプション）,○（1200元オプション）,○（1200元オプション）,○（1200元オプション）,○（1200元オプション）,●,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,○ (5500元),●,●,○ (5500元),●,●,●,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,○ (1500元),●,●,○ (1500元),●,●,●,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,○ (7000元),○ (7000元),○ (7000元),○ (7000元),○ (7000元),○ (7000元),●,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,○ (4400元),○ (4400元),-,○ (4400元),○ (4400元),●,-,-
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,○,○,-,○,○,●,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,○ (1300元),○ (1300元),●,○ (1300元),○ (1300元),●,●,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,○,○,●,○,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー機能,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,-,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,○ 全車 (4000元),● 全車,● 全車,○ 全車 (4000元),● 全車,● 全車,● 全車,-,-
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,○ 固定式 (3500元),○ 固定式 (3500元),○ 固定式 (500元),○ 固定式 (3500元),○ 固定式 (3500元),○ 固定式 (500元),● 固定式,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,外部照明,灯光特色功能,ライト特別機能,○ マトリクス式 (8000元),○ マトリクス式 (8000元),○ マトリクス式 (8000元),○ マトリクス式 (8000元),○ マトリクス式 (8000元),○ マトリクス式 (8000元),● マトリクス式,-,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,○ (2000元),○ (2000元),○ (2000元),●,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,转向头灯,コーナリングライト,○,○,○,○,○,○,●,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,大灯清洗装置,ヘッドライトウォッシャー,○,○,○,○,○,○,●,-,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,-,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席サイドウインドウサンシェード,○ 手動式 (3500元),○ 手動式 (3500元),○ 手動式 (3500元),○ 手動式 (3500元),○ 手動式 (3500元),○ 手動式 (3500元),● 手動式,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,-,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,電動調整 電動格納 ミラー記憶機能 (1800元) ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目 (800元),● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,電動調整 電動格納 ミラー記憶機能 (1800元) ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目 (800元),電動調整 電動格納 ミラー記憶機能 (1000元) ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,-,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,-,-
