セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 GLC 260 L 4MATIC スポーツタイプ,2025年モデル 改良版 GLC 260 L 4MATIC ラグジュアリータイプ,2025年モデル 改良版 GLC 300 L 4MATIC スポーツタイプ 5人乗り,2025年モデル 改良版 GLC 300 L 4MATIC スポーツタイプ 7人乗り,2025年モデル 改良版 GLC 300 L 4MATIC ラグジュアリータイプ 5人乗り,2025年モデル 改良版 GLC 300 L 4MATIC ラグジュアリータイプ 7人乗り
基本参数,基本仕様,整车质保,車両保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2000,2000,2005,2080,2005,2080
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2550,2550,2550,2760,2550,2760
车身,車体,长度(mm),全長(mm),4826,4826,4826,4826,4826,4826
车身,車体,宽度(mm),全幅(mm),1890,1890,1890,1890,1890,1890
车身,車体,高度(mm),全高(mm),1714,1714,1714,1714,1714,1714
车身,車体,轴距(mm),ホイールベース(mm),2977,2977,2977,2977,2977,2977
车身,車体,前轮距(mm),前トレッド(mm),1623,1623,1623,1623,1623,1623
车身,車体,后轮距(mm),後トレッド(mm),1632,1632,1632,1632,1632,1632
车身,車体,接近角(°),アプローチアングル(°),23,23,23,23,23,23
车身,車体,离去角(°),デパーチャーアングル(°),24,24,23,23,23,23
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),5 7,5 7,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),66,66,66,66,66,66
车身,車体,后备厢容积(L),トランク容量(L),550,550,550,440,550,440
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,254 920,254 920,254 920,254 920,254 920,254 920
发动机,エンジン,排量(mL),排気量(mL),1999,1999,1999,1999,1999,1999
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),204,204,258,258,258,258
发动机,エンジン,最大功率(kW),最大出力(kW),150,150,190,190,190,190
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5800,5800,5800,5800,5800,5800
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),320,320,400,400,400,400
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1600-4000,1600-4000,2000-3200,2000-3200,2000-3200,2000-3200
发动机,エンジン,最大净功率(kW),最大出力(kW),150,150,190,190,190,190
发动机,エンジン,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴（ダイレクトインジェクション）,直噴（ダイレクトインジェクション）,直噴（ダイレクトインジェクション）,直噴（ダイレクトインジェクション）,直噴（ダイレクトインジェクション）,直噴（ダイレクトインジェクション）
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,9,9,9,9,9,9
变速箱,トランスミッション,变速箱类型,トランスミッション形式,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● フルタイム4WD,● フルタイム4WD,● フルタイム4WD,● フルタイム4WD,● フルタイム4WD,● フルタイム4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,235/55 R19、255/45 R20（1.2万元追加）,235/55 R19、255/45 R20（1.2万元追加）,● 255/45 R20タイヤ,● 255/45 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,235/55 R19、255/45 R20タイヤ,235/55 R19、255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前／後（3100元追加）,前／後（3100元追加）,● 前／後,前／後（3100元追加）,● 前／後,前／後（3100元追加）
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ、エコ、標準／快適、オフロード、カスタム／パーソナライズドモード,● スポーツ、エコ、標準／快適、オフロード、カスタム／パーソナライズドモード,● スポーツ、エコ、標準／快適、オフロード、カスタム／パーソナライズドモード,● スポーツ、エコ、標準／快適、オフロード、カスタム／パーソナライズドモード,● スポーツ、エコ、標準／快適、オフロード、カスタム／パーソナライズドモード,● スポーツ、エコ、標準／快適、オフロード、カスタム／パーソナライズドモード
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,単眼、双眼カメラ,単眼、双眼カメラ,単眼、双眼カメラ,単眼、双眼カメラ,単眼、双眼カメラ,単眼、双眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,5個、6個,5個、6個,5個、6個,5個、6個,5個、6個,5個、6個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション,● 高徳（Gaode）ナビゲーション
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,-,-,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,○,○,○,○,○,○
驾驶功能,運転機能,道路交通标识识别,交通標識認識,○,○,○,○,○,○
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,○,○,○,○,○,○
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,○,○,○,○,○,○
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,○ 高速道路区間対応,○ 高速道路区間対応,○ 高速道路区間対応,○ 高速道路区間対応,○ 高速道路区間対応,○ 高速道路区間対応
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアパッケージ,-,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金ホイール,● アルミ合金ホイール,● アルミ合金ホイール,● アルミ合金ホイール,● アルミ合金ホイール,● アルミ合金ホイール
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,○,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,○ 固定式,○ 固定式,● 固定式,● 固定式,● 固定式,● 固定式
车外灯光,外部照明,近光灯光源,ロービーム光源,● LEDライト,● LEDライト,● LEDライト,● LEDライト,● LEDライト,● LEDライト
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LEDライト,● LEDライト,● LEDライト,● LEDライト,● LEDライト,● LEDライト
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,○ デジタル式（2.4万元追加）,○ デジタル式（2.4万元追加）,● デジタル式,● デジタル式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,-,○,○,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,-,-,-,-,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラーメモリー ドアミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ドアミラーメモリー ドアミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ドアミラーメモリー ドアミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ドアミラーメモリー ドアミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ドアミラーメモリー ドアミラー加熱 バック時自動下向き 施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 11.9インチ,● 11.9インチ,● 11.9インチ,● 11.9インチ,● 11.9インチ,● 11.9インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 車両状態確認・診断 車両位置特定・呼出し
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合皮,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,●,●,●,●,●
