セクション,セクション_ja,項目,項目_ja,2025年モデル GLB 200 スポーツタイプ,2025年モデル GLB 200 ファッショナブルタイプ,2025年モデル GLB 220 スポーツタイプ,2025年モデル GLB 220 ファッショナブルタイプ,2025年モデル GLB 220 4MATIC
车身,車体,轴距(mm),ホイールベース(mm),2829,2829,2829,2829,2829
车身,車体,前轮距(mm),前トレッド(mm),1590,1590,1590,1589,1589
车身,車体,后轮距(mm),後トレッド(mm),1589,1589,1592,1589,1589
车身,車体,接近角(°),アプローチアングル(°),19,19,19,20,20
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,25,25
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 7人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),52,52,52,52,60
车身,車体,后备厢容积(L),トランク容量(L),703-1430,703-1430,703-1430,703-1430,703-1430
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,282 814,282 814,260 920,260 920,260 920
发动机,エンジン,排量(mL),排気量(mL),1332,1332,1991,1991,1991
发动机,エンジン,排量(L),排気量(L),1.3,1.3,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),163,163,190,190,190
发动机,エンジン,最大功率(kW),最大出力(kW),120,120,140,140,140
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,6100,6100,6100
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),270,270,300,300,300
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-3500,2000-3500,1800-4000,1800-4000,1800-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),120,120,140,140,140
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速湿式デュアルクラッチ,8速湿式デュアルクラッチ,8速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,● 走行状況に応じた四輪駆動
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,-,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前輪 ● / 後輪,前輪 ● / 後輪 ○（3400元）,前輪 ● / 後輪,前輪 ● / 後輪 ○（3400元）,前輪 ● / 後輪 ○（3400元）
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,"● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席"
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,-,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,-,-,-,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,"● リアビューカメラ
○ 360度全方位カメラ（6000元）"
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 2個,● 2個,● 2個,"● 2個
○ 5個"
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（ガオデ）ナビ,● 高徳（ガオデ）ナビ,● 高徳（ガオデ）ナビ,● 高徳（ガオデ）ナビ,● 高徳（ガオデ）ナビ
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,-,-,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車アシスト,●,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,-,-,-,○
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,○,○,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,○ 全車（3900元）,○ 全車（3900元）,● 全車
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,-,-,-,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,-,○ ジオメトリックマルチビーム (5400元),○ ジオメトリックマルチビーム (5400元)
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,转向头灯,ステアリング連動ヘッドライト,-,-,-,○,○
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,-,-,-,-,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● Android Auto対応","● CarPlay対応
● Android Auto対応","● CarPlay対応
● Android Auto対応","● CarPlay対応
● Android Auto対応","● CarPlay対応
● Android Auto対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識機能,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX
智能化配置,スマート機能装備,车联网,コネクテッドカー機能,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク対応,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● 車両状態確認/診断
● 車両位置特定/車探し
● 点検/整備予約","● 車両状態確認/診断
● 車両位置特定/車探し
● 点検/整備予約","● 車両状態確認/診断
● 車両位置特定/車探し
● 点検/整備予約","● 車両状態確認/診断
● 車両位置特定/車探し
● 点検/整備予約","● ドア操作
● エンジン始動
● 車両状態確認/診断
● 車両位置特定/車探し
● 点検/整備予約"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,○ (9000元)
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ (3000元),○ (3000元),○ (3000元),○ (3000元),○ (3000元)
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席4個,● 前席3個／後席2個,● 前席3個／後席4個,● 前席3個／後席4個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
○ レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ○ (2900元),運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター付 (2600元),○ ヒーター付 (2600元),○ ヒーター付 (2600元),● ヒーター付,● ヒーター付
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,"● 前後調整
● 背もたれ調整",● 背もたれ調整,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,座椅布局,シートレイアウト,-,● 2-3-2,-,● 2-3-2,● 2-3-2
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●,前輪 ● / 後輪 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,○ Burmesterベルリン音響 (8200元),○ Burmesterベルリン音響 (8200元),○ Burmesterベルリン音響 (8200元)
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 7スピーカー,● 7スピーカー,"● 7スピーカー
○ 12スピーカー","● 7スピーカー
○ 12スピーカー","● 7スピーカー
○ 12スピーカー"
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,○ 64色 (2400元),○ 64色 (2400元),● 64色,● 64色,● 64色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,○ (1500元)
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,○
颜色,カラー,外观颜色,外装色,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–
选装包,オプションパッケージ,智驾套装1,スマートドライブパッケージ1,-,-,○ オプション (4600元),-,-
