セクション,セクション_ja,項目,項目_ja,2025年モデル 325i Mスポーツパッケージ,2025年モデル 330i 50周年限定版,2025年モデル 330i Mスポーツ曜夜パッケージ,2025年モデル 325Li Mスポーツパッケージ,2025年モデル 330Li 50周年限定版,2025年モデル 330Li Mスポーツ曜夜パッケージ,2025年モデル 330Li 尊享型 Mスポーツ曜夜パッケージ
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),184,245,245,184,245,245,245
发动机,エンジン,最大功率(kW),最大出力(kW),135,180,180,135,180,180,180
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000-6500,4500-6500,4500-6500,5000-6500,4500-6500,4500-6500,4500-6500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),300,400,400,300,400,400,400
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1350-4000,1600-4000,1600-4000,1350-4000,1600-4000,1600-4000,1600-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),135,180,180,135,180,180,180
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（95オクタン）,レギュラーガソリン（95オクタン）,レギュラーガソリン（95オクタン）,レギュラーガソリン（95オクタン）,レギュラーガソリン（95オクタン）,レギュラーガソリン（95オクタン）,レギュラーガソリン（95オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルボールジョイント式マクファーソン独立懸架,● ダブルボールジョイント式マクファーソン独立懸架,● ダブルボールジョイント式マクファーソン独立懸架,● ダブルボールジョイント式マクファーソン独立懸架,● ダブルボールジョイント式マクファーソン独立懸架,● ダブルボールジョイント式マクファーソン独立懸架,● ダブルボールジョイント式マクファーソン独立懸架
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/45 R18タイヤ,● 225/40 R19タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/40 R19タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/45 R18タイヤ,● 255/35 R19タイヤ,● 255/40 R18タイヤ,● 225/45 R18タイヤ,● 255/35 R19タイヤ,● 255/40 R18タイヤ,● 255/40 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●,●,●,●
被动安全,衝突安全,缺气保用轮胎,パンク修理キット付きタイヤ,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,-,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズド,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズド,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズド,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズド,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズド,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズド,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズド
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,バックカメラ・360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,バックカメラ・360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 三眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,2個 5個,● 5個,● 5個,2個 5個,● 5個,● 5個,● 7個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,3個 5個,● 3個,3個 5個,3個 5個,● 3個,3個 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,○ レベル2,-,○ レベル2,○ レベル2,-,○ レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,○,-,○,○,-,○,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,○,-,○,○,-,○,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,○,-,○,○,-,○,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車アシスト,●,●,●,●,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバック機能,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,○,-,○,○,-,○,●
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,● スポーティスタイル,● スポーティスタイル,● スポーティスタイル,● スポーティスタイル,● スポーティスタイル,● スポーティスタイル,● スポーティスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,○,-,○,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,○,-,○,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,○ （9100元）,-,○ （9100元）,○ （9100元）,-,○ （9100元）,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内ミラー（化粧鏡）,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/ハンズフリー通話,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,4G 5G（3000元）,● 4G,4G 5G（3000元）,4G 5G（3000元）,● 4G,4G 5G（3000元）,4G 5G（3000元）
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● アルカンターラ／スエード,● 本革,● 本革,● アルカンターラ／スエード,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,パドルシフト,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,○ （10000元）,●,●,○ （10000元）,-,○ （10000元）,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （1000元）,-,○ （1000元）,○ （1000元）,-,○ （1000元）,○ （1000元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,ワイヤレス充電機能,○ 前席,-,○ 前席（1900元）,○ 前席,-,○ 前席（1900元）,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 革／スエード素材ミックス,● 合成皮革,● 合成皮革,● 革／スエード素材ミックス,● 合成皮革,● 合成皮革
