セクション,項目,Model Y 2025款 后轮驱动版,Model Y 2025款 改款 长续航全轮驱动版,Model Y 2026款 长续航后轮驱动版
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,-
座椅配置,后排座椅电动放倒,●,●,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,-
座椅配置,后排杯架,●,●,-
音响/车内灯光,扬声器品牌名称,-,-,-
音响/车内灯光,扬声器数量,● 9喇叭,● 16喇叭,-
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,-
音响/车内灯光,主动式环境氛围灯,●,●,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,-
空调/冰箱,热泵空调,●,●,-
空调/冰箱,后排独立空调,-,-,-
空调/冰箱,后座出风口,●,●,-
空调/冰箱,温度分区控制,●,●,-
空调/冰箱,车载空气净化器,●,●,-
空调/冰箱,车内PM2.5过滤装置,●,●,-
颜色,外观颜色,珍珠白 ￥8000 星空灰 烈焰红 ￥12000 快银 ￥12000 冰河蓝 ￥8000 星钻黑 ￥8000,珍珠白 ￥8000 星空灰 烈焰红 ￥12000 快银 ￥12000 冰河蓝 ￥8000 星钻黑 ￥8000,-
颜色,内饰颜色,黑色/白色 ￥8000 黑色,黑色/白色 ￥8000 黑色,-
选装包,基础辅助驾驶,○ 包括：主动巡航控制和车道内智能辅助转向。 选配 (免费),○ 包括：主动巡航控制和车道内智能辅助转向。 选配 (免费),-
选装包,增强辅助驾驶,○ 包括：「基础辅助驾驶」的全部功能，以及智能辅助导航驾驶、智能辅助变道和智能泊车，基础召唤和高级智能召唤功能现已推出。 选配 (32000元),○ 包括：「基础辅助驾驶」的全部功能，以及智能辅助导航驾驶、智能辅助变道和智能泊车，基础召唤和高级智能召唤功能现已推出。 选配 (32000元),-
选装包,智能辅助驾驶,○ 包括：「基础辅助驾驶」和「增强辅助驾驶」套件的全部功能。稍后推出智能辅助驾驶功能。未来您的车辆将能够在驾驶员极少干预的情况下完成绝大多数的驾驶任务。 选配 (64000元),○ 包括：「基础辅助驾驶」和「增强辅助驾驶」套件的全部功能。稍后推出智能辅助驾驶功能。未来您的车辆将能够在驾驶员极少干预的情况下完成绝大多数的驾驶任务。 选配 (64000元),-
