セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T スポーツ版,2026年モデル 2.0T スポーツ版 Plus,2026年モデル 2.0T スポーツ版 quattro,2026年モデル 2.0T リーダー版
天窗/玻璃,サンルーフ・ガラス,光感天幕,光感サンルーフ,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（感応式ワイパー）,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,電動調整 電動格納 ミラー加熱 施錠時自動格納 自動防眩目,電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ式OLEDディスプレイ,● タッチ式OLEDディスプレイ,● タッチ式OLEDディスプレイ,● タッチ式OLEDディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.5インチ,● 14.5インチ,● 14.5インチ,● 14.5インチ
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメスクリーンサイズ,● 10.9インチ,● 10.9インチ,● 10.9インチ,● 10.9インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 純正連携/ミラーリング対応,● CarPlay対応 純正連携/ミラーリング対応,● CarPlay対応 純正連携/ミラーリング対応,● CarPlay対応 純正連携/ミラーリング対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,マルチメディアシステム ナビ 電話 エアコン 窓席シートヒーター シートベンチレーション,マルチメディアシステム ナビ 電話 エアコン 窓席シートヒーター シートベンチレーション シートマッサージ,マルチメディアシステム ナビ 電話 エアコン 窓席シートヒーター シートベンチレーション シートマッサージ,マルチメディアシステム ナビ 電話 エアコン 窓席シートヒーター シートベンチレーション シートマッサージ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、アウディ,● こんにちは、アウディ,● こんにちは、アウディ,● こんにちは、アウディ
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●
智能化配置,スマート機能装備,车内生物监测系统,車内生体モニタリングシステム,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,●,●,●,●
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,○,○,●,○
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○ (1000元),○ (1000元),○ (1000元),○ (1000元)
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 11.9インチ,● 11.9インチ,● 11.9インチ,● 11.9インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,○ (10000元),○ (10000元),○ (10000元),○ (10000元)
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,○ 13.1インチ,○ 13.1インチ,○ 13.1インチ,○ 13.1インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,15W 100W (500元),15W 100W (500元),15W 100W (500元),15W 100W (500元)
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 40W,● 40W,● 40W,● 40W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整(4方向) レッグレスト調整 腰部サポート(4方向),● 前後調整 背もたれ調整 高さ調整(4方向) レッグレスト調整 腰部サポート(4方向),● 前後調整 背もたれ調整 高さ調整(4方向) レッグレスト調整 腰部サポート(4方向),● 前後調整 背もたれ調整 高さ調整(4方向) レッグレスト調整 腰部サポート(4方向)
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整(4方向) レッグレスト調整 腰部サポート(4方向),● 前後調整 背もたれ調整 高さ調整(4方向) レッグレスト調整 腰部サポート(4方向),● 前後調整 背もたれ調整 高さ調整(4方向) レッグレスト調整 腰部サポート(4方向),● 前後調整 背もたれ調整 高さ調整(4方向) レッグレスト調整 腰部サポート(4方向)
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター (2500元) ベンチレーション (5000元),ヒーター ベンチレーション (5000元) マッサージ (3000元),ヒーター ベンチレーション (5000元) マッサージ (3000元),ヒーター ベンチレーション マッサージ (3000元)
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,○ 運転席 (3500元),○ 運転席 (3500元),○ 運転席 (3500元)
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ ヒーター (3000元),○ ヒーター (3000元),○ ヒーター (3000元),○ ヒーター (3000元)
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ バング＆オルフセン (7200元),○ バング＆オルフセン (7200元),● バング＆オルフセン,○ バング＆オルフセン (7200元)
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,8スピーカー 16スピーカー,8スピーカー 16スピーカー,● 16スピーカー,8スピーカー 16スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 30色,● 30色,● 30色,● 30色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,○ (1500元),●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●
颜色,カラー,外观颜色,外装色,レジェンドブラック オーロラパープル スカイグレー フェイチグレー ダンシャブラウン ￥6000 チンチェングリーン ￥6000 ジャスミンホワイト,レジェンドブラック オーロラパープル スカイグレー フェイチグレー ダンシャブラウン ￥6000 チンチェングリーン ￥6000 ジャスミンホワイト,レジェンドブラック オーロラパープル スカイグレー フェイチグレー ダンシャブラウン ￥6000 チンチェングリーン ￥6000 ジャスミンホワイト,レジェンドブラック オーロラパープル スカイグレー フェイチグレー ダンシャブラウン ￥6000 チンチェングリーン ￥6000 ジャスミンホワイト
颜色,カラー,内饰颜色,内装色,玄夜ブラック／パールホワイト 玄夜ブラック 玄夜ブラック／アンバーレッド,玄夜ブラック／ムーンシルバー アンバーレッド 玄夜ブラック／パールホワイト 玄夜ブラック 玄夜ブラック／アンバーレッド,玄夜ブラック／ムーンシルバー アンバーレッド 玄夜ブラック,玄夜ブラック／ムーンシルバー アンバーレッド 玄夜ブラック／パールホワイト 玄夜ブラック／アンバーレッド
