セクション,セクション_ja,項目,項目_ja,2026年モデル 300TSI,2026年モデル 300TSI Pro,2026年モデル 300TSI Rライン,2025年モデル 300TSI,2025年モデル 300TSI Pro,2025年モデル 改良版 300TSI,2025年モデル 改良版 300TSI Rライン,2025年モデル 改良版 300TSI Pro,2025年モデル 改良版2 300TSI Rライン
车身,車体,长度(mm),全長(mm),4282,4282,4289,4282,4282,4282,4289,4282,4289
车身,車体,宽度(mm),全幅(mm),1788,1788,1788,1788,1788,1788,1788,1788,1788
车身,車体,高度(mm),全高(mm),1479,1479,1479,1479,1479,1479,1479,1479,1479
车身,車体,轴距(mm),ホイールベース(mm),2631,2631,2631,2631,2631,2631,2631,2631,2631
车身,車体,前轮距(mm),前トレッド(mm),1539,1539,1539,1539,1539,1539,1539,1539,1539
车身,車体,后轮距(mm),後トレッド(mm),1512,1512,1512,1512,1512,1512,1512,1512,1512
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17,17,17,17,17,17
车身,車体,最小转弯半径(m),最小回転半径(m),5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),51,51,51,51,51,51,51,51,51
车身,車体,后备厢容积(L),トランク容量(L),368,368,368,368,368,368,368,368,368
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DSV,DSV,DSV,DSV,DSV,DSV,DYZ,DSV,DYZ
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),160,160,160,160,160,160,160,160,160
发动机,エンジン,最大功率(kW),最大出力(kW),118,118,118,118,118,118,118,118,118
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250,250,250,250,250
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),118,118,118,118,118,118,118,118,118
发动机,エンジン,发动机特有技术,エンジン独自技術,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）,乾式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 205/55 R16,● 225/45 R17,"● 225/45 R17
○ 225/40 R18（2000元）",● 205/55 R16,● 225/45 R17,● 205/55 R16,"● 225/45 R17
○ 225/40 R18（2000元）",● 225/45 R17,"● 225/45 R17
○ 225/40 R18（2000元）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 205/55 R16,● 225/45 R17,"● 225/45 R17
○ 225/40 R18",● 205/55 R16,● 225/45 R17,● 205/55 R16,"● 225/45 R17
○ 225/40 R18",● 225/45 R17,"● 225/45 R17
○ 225/40 R18"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,"● パンク修理キット
○ スペアタイヤ（非フルサイズ）（200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ）（200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ）（200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ）（200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ）（200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ）（200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ）（200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ）（200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ）（200元）"
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,○,●,-,●,-,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,○,●,-,○,-,●,○,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,○,●,-,○,-,●,○,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,-,●,-,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,○,●,-,○,-,●,○,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,-,●,-,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ,"● スポーツ
○ エコ
○ 標準／コンフォート
○ カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／コンフォート
● カスタム／パーソナライズ",● スポーツ,"● スポーツ
○ エコ
○ 標準／コンフォート
○ カスタム／パーソナライズ",● スポーツ,"● スポーツ
● エコ
● 標準／コンフォート
● カスタム／パーソナライズ","● スポーツ
○ エコ
○ 標準／コンフォート
○ カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／コンフォート
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前- / 後 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前- / 後 ●,前席 ● / 後席 ●,前- / 後 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● リアビューカメラ,● リアビューカメラ,-,● リアビューカメラ,-,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,○ 単眼カメラ,○ 単眼カメラ,● 単眼カメラ,○ 単眼カメラ,○ 単眼カメラ,○ 単眼カメラ,● 単眼カメラ,○ 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,-,"● 1個
○ 2個",● 2個,-,"● 1個
○ 2個",-,● 2個,"● 1個
○ 2個",● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 8個,● 12個,● 4個,● 8個,● 4個,● 12個,● 8個,● 12個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,-,"● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール",● 全速度域対応アダプティブクルーズコントロール,-,"● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール",-,● 全速度域対応アダプティブクルーズコントロール,"● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール",● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,○ IQ. Drive（6400元）,● IQ. Drive,-,○ IQ. Drive（6400元）,-,● IQ. Drive,○ IQ. Drive（6400元）,● IQ. Drive
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,○ レベル2,● レベル2,-,○ レベル2,-,● レベル2,○ レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,○,●,-,○,-,●,○,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,●,●,-,●,-,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,○,●,-,○,-,●,○,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,○,●,-,○,-,●,○,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,○,●,-,○,-,●,○,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,●,-,-,-,●,-,●
驾驶功能,運転機能,方向盘离手检测,ハンドル離し検知,-,○,●,-,○,-,●,○,●
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,● スポーツスタイル,-,-,-,● スポーツスタイル,-,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,● 前席,● 前席,-,● 前席,-,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,-,-,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,○ マトリックス式（5700元）,● マトリックス式,-,○ マトリックス式（5700元）,-,● マトリックス式,○ マトリックス式（5700元）,● マトリックス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,○,●,-,○,-,●,○,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,○,●,-,○,-,●,○,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,○ 電動サンルーフ（4000元）,● 電動サンルーフ,● 電動サンルーフ,○ 電動サンルーフ（4000元）,● 電動サンルーフ,○ 電動サンルーフ（4000元）,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆
