セクション,項目,元PLUS 2025款 智驾版 430KM 领先型,元PLUS 2025款 智驾版 430KM 超越型,元PLUS 2025款 智驾版 510KM 领先型,元PLUS 2025款 智驾版 510KM 超越型,元PLUS 2025款 智驾版 510KM 卓越型,元PLUS 2024款 荣耀版 430KM 领先型,元PLUS 2024款 荣耀版 430KM 超越型,元PLUS 2024款 荣耀版 510KM 领先型,元PLUS 2024款 荣耀版 510KM 超越型,元PLUS 2024款 荣耀版 510KM 卓越型,元PLUS 2026款 基本型
车轮制动,前轮胎规格,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/55 R18,● 215/55 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,"● 215/55 R18
○ 235/50 R18 (2000元)","● 215/55 R18
○ 235/50 R18 (2000元)",● 215/55 R18
车轮制动,后轮胎规格,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/55 R18,● 215/55 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,"● 215/55 R18
○ 235/50 R18","● 215/55 R18
○ 235/50 R18",● 215/55 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,-
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-,前 ● / 后 ●,-,前 ● / 后 ●,前 ● / 后 ●,-
被动安全,前排中间气囊,●,●,●,●,●,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 全车,● 全车,● 前排,● 前排,● 前排,● 全车,● 全车,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,-
主动安全,车道偏离预警系统,●,●,●,●,●,-,●,-,●,●,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,-,●,-,●,●,-
主动安全,疲劳驾驶提示,-,-,-,-,●,-,-,-,-,-,-
主动安全,DOW开门预警,●,●,●,●,●,-,-,-,●,●,-
主动安全,前方碰撞预警,●,●,●,●,●,-,●,-,●,●,-
主动安全,后方碰撞预警,●,●,●,●,●,-,-,-,●,●,-
主动安全,移动物体预警系统,●,●,●,●,●,-,-,-,●,●,-
主动安全,哨兵模式/千里眼,●,●,●,●,●,-,-,-,-,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,-
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地",-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,-
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前- / 后 ●,前 ● / 后 ●,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,-
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,-,●,-,●,●,-
驾驶硬件,辅助驾驶芯片,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,-,-,-,-,-,-
驾驶硬件,芯片总算力,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,-,-,-,-,-,-
驾驶硬件,前方感知摄像头,● 三目,● 三目,● 三目,● 三目,● 三目,-,● 单目,-,● 单目,● 单目,-
驾驶硬件,摄像头数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 1个,● 5个,● 1个,● 5个,● 5个,-
驾驶硬件,车内摄像头数量,-,-,-,-,● 1个,-,-,-,-,-,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 4个,● 6个,● 4个,● 6个,● 12个,-
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 5个,-,-,-,● 2个,● 2个,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-
驾驶功能,辅助驾驶系统,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,-,● DiPilot,-,● DiPilot,● DiPilot,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,-,● L2,-,● L2,● L2,-
驾驶功能,倒车车侧预警系统,●,●,●,●,●,-,-,-,●,●,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度,● 百度,● 高德,● 高德,● 高德,● 高德,● 高德,-
驾驶功能,并线辅助,●,●,●,●,●,-,-,-,●,●,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,-,●,-,●,●,-
驾驶功能,车道居中保持,●,●,●,●,●,-,●,-,●,●,-
驾驶功能,道路交通标识识别,●,●,●,●,●,-,●,-,●,●,-
驾驶功能,辅助泊车入位,●,●,●,●,●,-,-,-,-,●,-
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,辅助变道,●,●,●,●,●,-,-,-,-,-,-
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,-,-,-,-,-,-
驾驶功能,方向盘离手检测,●,●,●,●,●,-,-,-,-,-,-
驾驶功能,辅助驾驶路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-
外观/防盗,电动后备厢,-,-,-,●,●,-,-,-,-,●,-
外观/防盗,电动后备厢位置记忆,-,-,-,●,●,-,-,-,-,●,-
外观/防盗,车顶行李架,-,●,-,●,●,-,●,-,●,●,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙",-
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,对外放电,●,●,●,●,●,-,●,●,●,●,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,-
车外灯光,自适应远近光,●,●,●,●,●,-,●,-,●,●,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,天窗类型,-,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,-
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,后排侧隐私玻璃,-,●,-,●,●,-,●,-,●,●,-
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",-
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,-,-,-,-,-
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",-
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-
屏幕/系统,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 15.6英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 15.6英寸,-
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,-
屏幕/系统,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,-
屏幕/系统,旋转大屏,-,-,-,-,-,●,●,●,●,●,-
屏幕/系统,中控液晶屏分屏显示,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,手机互联/映射,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",-
屏幕/系统,语音助手唤醒词,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,-
屏幕/系统,语音免唤醒词,-,-,-,-,-,●,●,●,●,●,-
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,可见即可说,●,●,●,●,●,-,-,-,-,-,-
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,车载智能系统,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,-
屏幕/系统,车机智能芯片,● 比亚迪D100,● 比亚迪D100,● 比亚迪D100,● 比亚迪D100,● 比亚迪D100,-,-,-,-,-,-
屏幕/系统,车机系统内存(GB),-,-,-,-,-,● 6,● 6,● 6,● 6,● 6,-
屏幕/系统,车机系统存储(GB),-,-,-,-,-,● 64,● 64,● 64,● 64,● 64,-
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,-
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 4G,● 4G,● 4G,● 4G,● 4G,-
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,-
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,-
智能化配置,手机APP远程功能,"● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修",-
