セクション,セクション_ja,項目,項目_ja,2025年モデル 4WD 高山7,2025年モデル 4WD 高山8,2025年モデル 4WD 高山9,2025年モデル 高山 福祉版,2023年モデル 4WD 尊貴版
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力複合燃料消費量(L/100km),3.84,3.84,3.9,3.84,-
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,首任车主质保政策,初回オーナー保証内容,● エンジン・トランスミッション主要部品の生涯保証（免責条項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責条項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責条項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責条項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),2765,2785,2880,2920,2730
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3290,3310,3330,3370,3255
车身,車体,长度(mm),全長(mm),5050,5280,5410,5280,5045
车身,車体,宽度(mm),全幅(mm),1960,1960,1960,1960,1960
车身,車体,高度(mm),全高(mm),1900,1900,1890,1900,1900
车身,車体,轴距(mm),ホイールベース(mm),3085,3145,3275,3145,3085
车身,車体,前轮距(mm),前トレッド(mm),1689,1689,1689,1689,1689
车身,車体,后轮距(mm),後トレッド(mm),1707,1707,1707,1707,1707
车身,車体,空载最小离地间隙(mm),無積載時最低地上高(mm),155,155,155,155,155
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16,16
车身,車体,最小转弯半径(m),最小回転半径(m),5.6,5.7,5.9,5.7,-
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 7,● 7,● 6,● 6,● 7
车身,車体,油箱容积(L),燃料タンク容量(L),58,58,58,58,58
车身,車体,后备厢容积(L),トランク容量(L),233-1725,435-1901,315-1975,435-1010,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,E15BE,E15BE,E15BE,E15BE,E15BD
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,12.4,12.4,12.4,12.4,11.8
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),170,170,170,170,156
发动机,エンジン,最大功率(kW),最大出力(kW),125,125,125,125,115
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),245,245,245,245,235
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),122,122,122,122,112
发动机,エンジン,发动机特有技术,エンジン独自技術,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI,国VI,国VI,国VI,国VI
电动机,モーター,前电动机型号,前モーター型式,-,-,-,-,TZ220XS003
电动机,モーター,后电动机型号,後モーター型式,-,-,-,-,TZ180XS004
电动机,モーター,电机类型,モーター種類,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),215,215,215,215,265
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),292,292,292,292,360
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),402,402,402,402,532
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),80,80,80,80,130
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),170,170,170,170,300
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),135,135,135,135,135
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),232,232,232,232,232
电动机,モーター,系统综合功率(kW),システム総合出力(kW),337,337,337,337,358
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),458,458,458,458,487
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),644,644,644,644,762
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証内容,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● ハニカムエナジー,● ハニカムエナジー,● CATL（寧徳時代・江蘇時代）,● ハニカムエナジー,● ハニカムエナジー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),172,172,201,172,140
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),945,945,963,945,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),44.28,44.28,51.55,44.28,37.96
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),25.3,25.3,26.3,25.3,23.4
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.43,0.43,0.43,0.43,0.43
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),6.5,6.5,7.7,6.5,6
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),15-100,15-100,15-100,15-100,0-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車右後側,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車右後側,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,4速DHT,4速DHT,4速DHT,4速DHT,2速DHT
变速箱,トランスミッション,挡位个数,段数,4,4,4,4,2
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 245/50 R18,● 245/50 R18,● 245/50 R18,● 245/50 R18,● 245/50 R18
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 245/50 R18,● 245/50 R18,● 245/50 R18,● 245/50 R18,● 245/50 R18
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前列・第二列,● 前列・第二列,● 前列・第二列,● 前列・第二列,● 前列・第二列
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,-
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準／快適・スノー,● スポーツ・エコノミー・標準／快適・スノー,● スポーツ・エコノミー・標準／快適・スノー,● スポーツ・エコノミー・標準／快適・スノー,● スポーツ・エコノミー・標準／快適・スノー
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,-,-,-,-,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援用チップ,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 双眼カメラ,● 双眼カメラ,● 双眼カメラ,● 双眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個,● 11個,● 5個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 3個,● 4個,● 4個,● 4個,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 8個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 3個,● 3個,● 3個,● 3個,● 4個
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー台数,● 1個,● 1個,● 1個,● 1個,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況表示,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,-
驾驶功能,運転機能,记忆泊车,駐車記憶機能,●,●,●,●,-
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,●,●,●,-
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,-
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,-
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,市街地 高速道路,市街地 高速道路,市街地 高速道路,市街地 高速道路,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置記憶,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーなしエントリー機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側窓多層防音ガラス,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側窓サンシェード,● 手動,● 手動,● 手動,● 手動,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 27インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センター画面解像度,-,-,-,-,● 4K
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 純正連携/ミラーリング対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 純正連携/ミラーリング対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 純正連携/ミラーリング対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 純正連携/ミラーリング対応 HUAWEI HiCar対応 Carlink対応,● 純正連携/ミラーリング対応 HUAWEI HiCar対応 Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● 小魏同学（AIアシスタント名）,● 小魏同学（AIアシスタント名）,● 小魏同学（AIアシスタント名）,● 小魏同学（AIアシスタント名）,● 小魏同学（AIアシスタント名）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,●,●,●,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS
