セクション,セクション_ja,項目,項目_ja,2026年モデル 230Plus Huawei QianKun ADS SE版,2026年モデル 230Max Huawei QianKun ADS SE版,2026年モデル 230Ultra Huawei QianKun ADS SE版,2026年モデル 300Ultra Huawei QianKun ADS SE版,2026年モデル 550Max Huawei QianKun ADS SE版,2026年モデル 550Ultra Huawei QianKun ADS SE版,2025年モデル 215Plus Deep Blue Smart Drive AD PRO 増程版,2025年モデル 215Max Deep Blue Smart Drive AD PRO 増程版,2025年モデル 285Max Deep Blue Smart Drive AD PRO 増程版,2025年モデル 215Max Huawei QianKun Smart Drive ADS SE 増程版,2025年モデル 285Max Huawei QianKun Smart Drive ADS SE 増程版,2025年モデル 628Max Huawei QianKun Smart Drive ADS SE 純電版,2025年モデル 520Max Deep Blue Smart Drive AD PRO 純電版,2025年モデル 520Max Huawei QianKun Smart Drive ADS SE 純電版
基本参数,基本仕様,最大功率(kW),最大出力(kW),190,190,190,200,200,200,175,175,190,175,190,160,190,190
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),290,290,290,290,290,290,320,320,320,320,320,320,320,320
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 98馬力,レンジエクステンダー 98馬力,レンジエクステンダー 98馬力,レンジエクステンダー 98馬力,純電動,純電動,レンジエクステンダー 98馬力,レンジエクステンダー 98馬力,レンジエクステンダー 98馬力,レンジエクステンダー 98馬力,レンジエクステンダー 98馬力,純電動,純電動,純電動
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),258,258,258,272,272,272,238,238,258,238,258,218,258,258
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）,4750×1930×1625（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.5,7.5,7.5,7.6,7.4,7.4,7.7,7.7,7.8,7.7,7.8,7.5,7.6,7.6
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,185,185,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.71,0.71,0.71,0.67,-,-,0.82,0.82,0.69,0.82,0.69,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,4.9,4.9,4.9,4.98,-,-,5.2,5.2,5.3,5.2,5.3,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)NEDC,最低荷電状態燃費(L/100km)NEDC,3.8,3.8,3.8,3.88,-,-,4.1,4.1,4.2,4.1,4.2,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),2.02,2.02,2.02,2.1,1.63,1.63,-,-,-,-,-,1.65,1.68,1.68
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.73,2.73,2.73,2.77,-,-,2.83,2.83,2.83,2.83,2.83,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1970,1970,1970,2020,2000,2000,1990,1990,2035,1990,2035,2035,1975,1975
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2400,2400,2400,2450,2430,2430,2420,2420,2465,2420,2465,2465,2455,2455
车身,車体,长度(mm),全長(mm),4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750
车身,車体,宽度(mm),全幅(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
车身,車体,高度(mm),全高(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,車体,轴距(mm),ホイールベース(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
车身,車体,前轮距(mm),前トレッド(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,車体,后轮距(mm),後トレッド(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17,17,18,18,18,18,18,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,24,24,24,24,24,24,24,24,24,24,24
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),45,45,45,45,-,-,45,45,45,45,45,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,-,125,125,-,-,-,-,-,125,125,125
车身,車体,后备厢容积(L),リアトランク容量(L),485-1425,485-1425,485-1425,485-1425,485-1425,485-1425,445-1385,445-1385,445-1385,445-1385,445-1385,445-1385,445-1385,445-1385
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258
发动机,エンジン,发动机型号,エンジン型式,JL469Q1（型式）,JL469Q1（型式）,JL469Q1（型式）,JL469Q1（型式）,-,-,JL469Q1（型式）,JL469Q1（型式）,JL469Q1（型式）,JL469Q1（型式）,JL469Q1（型式）,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1497,1497,1497,1497,-,-,1497,1497,1497,1497,1497,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,-,-,1.5,1.5,1.5,1.5,1.5,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,-,-,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,-,-,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,-,-,L,L,L,L,L,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,-,-,4,4,4,4,4,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,-,-,4,4,4,4,4,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),98,98,98,98,-,-,98,98,98,98,98,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),72,72,72,72,-,-,72,72,72,72,72,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5600,5600,5600,5600,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),125,125,125,125,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),3000,3000,3000,3000,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大純出力(kW),70,70,70,70,-,-,70,70,70,70,70,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,-,-,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-
电动机,モーター,后电动机品牌,リアモーターブランド,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車
电动机,モーター,后电动机型号,リアモーター型式,XTDM68,XTDM68,XTDM68,XTDM67,XTDM67,XTDM67,XTDM66,XTDM66,XTDM41,XTDM66,XTDM41,XTDM16,XTDM27,XTDM27
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),190,190,190,200,200,200,175,175,190,175,190,160,190,190
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),258,258,258,272,272,272,238,238,258,238,258,218,258,258
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),290,290,290,290,290,290,320,320,320,320,320,320,320,320
电动机,モーター,后电动机最大功率(kW),リアモーター最大出力(kW),190,190,190,200,200,200,175,175,190,175,190,160,190,190
电动机,モーター,后电动机最大扭矩(N·m),リアモーター最大トルク(N·m),290,290,290,290,290,290,320,320,320,320,320,320,320,320
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,"● CATL（寧徳時代）
● CALB（中創新航）","● CATL（寧徳時代）
● CALB（中創新航）","● CATL（寧徳時代）
● CALB（中創新航）",● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CALB（中創新航）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),170,170,170,216,-,-,165,165,210,165,210,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),230,230,230,300,550,550,215,215,285,215,285,628,520,520
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1320,1320,1320,1385,-,-,1210,1210,1280,1210,1280,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),31.73,31.73,31.73,39.05,68.82,68.82,31.73,31.73,39.05,31.73,39.05,79.97,68.82,68.82
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),17.4,17.4,17.4,18.1,14,14,17.3,17.3,18.4,17.3,18.4,14.2,14.5,14.5
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.58,0.25,0.25
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両左後方,車両左後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両左後方,車両左後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/55 R19タイヤ,"● 235/55 R19
○ 255/45 R20（2999元オプション）","● 235/55 R19
○ 255/45 R20（2999元オプション）","● 235/55 R19
○ 255/45 R20（2999元オプション）","● 235/55 R19
○ 255/45 R20（2999元オプション）","● 235/55 R19
○ 255/45 R20（2999元オプション）","● 235/55 R19
○ 255/45 R20（1999元オプション）","● 235/55 R19
○ 255/45 R20（1999元オプション）","● 235/55 R19
○ 255/45 R20（1999元オプション）","● 235/55 R19
○ 255/45 R20（1999元オプション）","● 235/55 R19
○ 255/45 R20（1999元オプション）","● 235/55 R19
○ 255/45 R20（1999元オプション）","● 235/55 R19
○ 255/45 R20（1999元オプション）","● 235/55 R19
○ 255/45 R20（1999元オプション）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/55 R19タイヤ,"● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）","● 235/55 R19
○ 255/45 R20（オプション）"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
