セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T 2WD スタート版,2026年モデル 2.0T 4WD 尊享版,2026年モデル 2.0T 4WD 尊逸版,2026年モデル 2.0T 4WD 尊睿版,2026年モデル 2.0T 4WD 総裁版,2026年モデル 2.0T 4WD 尊逸 ハイブリッド版,2026年モデル 2.0T 4WD 尊睿 ハイブリッド版,2026年モデル 2.0T 4WD 大統領 ハイブリッド版,2025年モデル 改良版 2.0T 4WD 尊享版,2025年モデル 改良版 2.0T 4WD 尊逸版,2025年モデル 2.0T 4WD 尊睿版,2025年モデル 2.0T 4WD アトランティス版,2025年モデル 改良版 2.0T 4WD 尊逸 ハイブリッド版,2025年モデル 2.0T 4WD 尊睿 ハイブリッド版,2025年モデル 2.0T 4WD 大統領 ハイブリッド版
车身,車体,前轮距(mm),前トレッド(mm),1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658
车身,車体,后轮距(mm),後トレッド(mm),1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
车身,車体,后备厢容积(L),トランク容量(L),822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQH0,CAF484WQH0,CAF484WQH0,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQH0,CAF484WQH0,CAF484WQH0
发动机,エンジン,排量(mL),排気量(mL),1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),261,261,261,261,261,282,282,282,261,261,261,261,282,282,282
发动机,エンジン,最大功率(kW),最大出力(kW),192,192,192,192,192,207,207,207,192,192,192,192,207,207,207
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),390,390,390,390,390,407,407,407,390,390,390,390,407,407,407
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2500-4000,2500-4000,2500-4000,2500-4000,2500-4000,3000-4000,3000-4000,3000-4000,2500-4000,2500-4000,2500-4000,2500-4000,3000-4000,3000-4000,3000-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),190,190,190,190,190,207,207,207,190,190,190,190,207,207,207
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,-,-,-,-,-,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,-,-,-,-,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,-,-,140,140,140,-,-,-,-,140,140,140
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),-,-,-,-,-,190,190,190,-,-,-,-,190,190,190
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,-,-,320,320,320,-,-,-,-,320,320,320
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,140,140,140,-,-,-,-,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,320,320,320,-,-,-,-,-,-,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),-,-,-,-,-,227,227,227,-,-,-,-,227,227,227
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),-,-,-,-,-,309,309,309,-,-,-,-,309,309,309
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,-,-,単一モーター,単一モーター,単一モーター,-,-,-,-,-,-,-
电动机,モーター,电机布局,モーター配置,-,-,-,-,-,前置,前置,前置,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,-,-,-,● BYD製,● BYD製,● BYD製,-,-,-,-,● BYD製,● BYD製,● BYD製
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,-,-,-,-,-,液冷式,液冷式,液冷式,-,-,-,-,液冷式,液冷式,液冷式
变速箱,トランスミッション,简称,略称,8速AT,8速AT,8速AT,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,8,無段変速,無段変速,無段変速,8,8,8,8,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,自動変速機(AT),自動変速機(AT),自動変速機(AT),自動変速機(AT),自動変速機(AT),電子制御無段変速機(E-CVT),電子制御無段変速機(E-CVT),電子制御無段変速機(E-CVT),自動変速機(AT),自動変速機(AT),自動変速機(AT),自動変速機(AT),電子制御無段変速機(E-CVT),電子制御無段変速機(E-CVT),電子制御無段変速機(E-CVT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動,● 走行状況対応型四輪駆動
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/50 R21タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/45 R22タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/50 R21タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/45 R22タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/50 R21タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/45 R22タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/50 R21タイヤ,● 255/55 R20タイヤ,● 255/55 R20タイヤ,● 255/45 R22タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,-,-,-,-,-,●,●,●,-,-,-,-,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー,● スポーツ・エコノミー・標準/快適・オフロード・スノー
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,-,-,-,●,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,● サスペンション硬さ調整,-,-,● サスペンション硬さ調整,-,-,-,● サスペンション硬さ調整,-,-,● サスペンション硬さ調整
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-
