セクション,項目,逸动 2026款 第四代 1.5T 500Bar 劲享型,逸动 2026款 第四代 1.5T 500Bar 悦享型,逸动 2026款 第四代 1.5T 500Bar 智享型,逸动 2025款 PLUS 1.5L 手动豪华版,逸动 2025款 PLUS 1.4T 双离合高能版,逸动 2025款 蓝鲸 1.5T 高能版,逸动 2025款 蓝鲸 1.5T 500Bar尊贵型,逸动 2025款 蓝鲸 1.5T 500Bar旗舰型,逸动 2024款 PLUS 蓝鲸NE 1.4T GDI DCT高能版,逸动 2024款 1.5T GDI自动 畅享版,逸动 2024款 1.5T GDI自动 尊贵型,逸动 2024款 1.5T GDI自动 旗舰型
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/60 R16,● 215/50 R17,● 225/45 R18,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 215/50 R17,● 215/50 R17,● 205/60 R16,● 205/60 R16,● 215/50 R17,● 215/50 R17
车轮制动,后轮胎规格,● 205/60 R16,● 215/50 R17,● 225/45 R18,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 215/50 R17,● 215/50 R17,● 205/60 R16,● 205/60 R16,● 215/50 R17,● 215/50 R17
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-,-,-,前 ● / 后 ●,前 ● / 后 ●,-,-,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,-,-,-,-,●,-,-,-,●
主动安全,主动刹车/主动安全系统,-,●,●,-,-,-,-,●,-,-,-,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,-,-,●,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,-,●,●,-,-,-,-,●,-,-,-,●
主动安全,后方碰撞预警,-,-,●,-,-,-,-,-,-,-,-,-
主动安全,内置行车记录仪,●,●,●,-,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,发动机启停技术,-,-,-,-,-,-,-,-,●,-,-,-
驾驶操控,自动驻车,●,●,●,-,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,-,-,●,●,●,-,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,-,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,-,-,● 单目,-,-,-,-,-,-,-,-,-
驾驶硬件,摄像头数量,● 4个,● 4个,● 5个,-,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个
驾驶硬件,超声波雷达数量,● 3个,● 5个,● 5个,-,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,毫米波雷达数量,-,● 1个,● 2个,-,-,-,-,-,-,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,-,● L2,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,"● 高德
● 百度","● 高德
● 百度","● 高德
● 百度",● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,●,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,●,-,-,-,-,-,-,-,-,-
驾驶功能,车道居中保持,-,-,●,-,-,-,-,-,-,-,-,-
驾驶功能,道路交通标识识别,-,-,●,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,遥控泊车,-,●,●,-,-,-,-,-,-,-,-,-
驾驶功能,起步提醒,-,●,●,-,-,-,-,-,-,-,-,-
外观/防盗,电动扰流板,-,-,○,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,感应后备厢,●,●,●,-,●,-,-,-,-,-,-,-
外观/防盗,发动机电子防盗,●,●,●,-,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,-,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位
外观/防盗,隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,●,●
外观/防盗,远程启动功能,●,●,●,-,○,●,●,●,○,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,-,● 全车,● 驾驶位,● 全车,● 全车,● 全车,● 驾驶位,● 驾驶位,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,-,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,○ 前排,-,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 速度感应式,● 速度感应式,● 速度感应式,-,-,-,● 速度感应式,● 速度感应式,-,-,● 速度感应式,● 速度感应式
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 7英寸,● 10.25英寸,● 13.2英寸,● 13.2英寸,● 13.2英寸,● 10.25英寸,● 13.2英寸,● 13.2英寸,● 13.2英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,-,-,-,-,-,-,-,-,-
屏幕/系统,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,-,-,-,-,-,-,-,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink",● 原厂互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink",●,●,●,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",-,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗"
屏幕/系统,语音助手唤醒词,● 小安，你好,● 小安，你好,● 小安，你好,-,-,● 小安，你好,● 小安，你好,● 小安，你好,-,-,-,-
屏幕/系统,语音免唤醒词,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,-,-,● 双区域,● 双区域,● 双区域,-,● 单区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,可见即可说,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,-,-,-,-,-,-,-,-,-
屏幕/系统,应用商店,●,●,●,-,-,●,●,●,-,-,-,-
屏幕/系统,车载智能系统,● 天枢 OS,● 天枢 OS,● 天枢 OS,-,-,-,-,-,-,● 讯飞飞鱼OS,● 讯飞飞鱼OS,● 讯飞飞鱼OS
屏幕/系统,车机系统内存(GB),● 8,● 8,● 8,-,-,-,-,-,-,-,-,-
屏幕/系统,车机系统存储(GB),● 64,● 64,● 64,-,-,-,-,-,-,-,-,-
屏幕/系统,屏幕刷新率[Hz],● 60,● 60,● 60,-,-,-,-,-,-,-,-,-
屏幕/系统,多指飞屏操控,-,-,●,-,-,-,-,-,-,-,-,-
智能化配置,车联网,●,●,●,-,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,-,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,-,●,●,●,●,-,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车",-,○ 空调控制,"● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修",○ 空调控制,"● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修"
智能化配置,车载KTV,●,●,●,-,-,○,○,○,-,○,○,○
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,●,-,-,-,-,●,-,-,-,●
