セクション,セクション_ja,項目,項目_ja,2026年モデル 第4世代 1.5T 500Bar 劲享型,2026年モデル 第4世代 1.5T 500Bar 悦享型,2026年モデル 第4世代 1.5T 500Bar 智享型,2025年モデル PLUS 1.5L MT 豪華版,2025年モデル PLUS 1.4T DCT ハイパフォーマンス版,2025年モデル ブルーホエール 1.5T ハイパフォーマンス版,2025年モデル ブルーホエール 1.5T 500Bar プレミアム型,2025年モデル ブルーホエール 1.5T 500Bar フラッグシップ型,2024年モデル PLUS ブルーホエールNE 1.4T GDI DCT ハイパフォーマンス版,2024年モデル 1.5T GDI AT 快適享受版,2024年モデル 1.5T GDI AT プレミアム型,2024年モデル 1.5T GDI AT フラッグシップ型
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1315,1315,1350,1215,1310,1325,1325,1325,1340,1325,1325,1356
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1715,1715,1750,1615,1740,1760,1760,1760,1740,1760,1760,1760
车身,車体,长度(mm),全長(mm),4785,4785,4785,4730,4730,4770,4770,4770,4730,4770,4770,4770
车身,車体,宽度(mm),全幅(mm),1840,1840,1840,1820,1820,1840,1840,1840,1820,1840,1840,1840
车身,車体,高度(mm),全高(mm),1440,1440,1450,1505,1505,1440,1440,1440,1505,1440,1440,1440
车身,車体,轴距(mm),ホイールベース(mm),2765,2765,2765,2700,2700,2765,2765,2765,2700,2765,2765,2765
车身,車体,前轮距(mm),前トレッド(mm),1590,1575,1575,1555,1555,1590,1575,1575,1555,1590,1575,1575
车身,車体,后轮距(mm),後トレッド(mm),1600,1585,1585,1566,1566,1600,1585,1585,1566,1600,1585,1585
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18,18,18,18,18,18,18,18,18
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7,5.6,5.6,-,-,-,-,-,-,-
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),51,51,51,53,53,51,51,51,53,51,51,51
车身,車体,后备厢容积(L),トランク容量(L),520,520,520,500,500,520,520,520,500,520,520,520
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,JL473ZQD,JL473ZQD,JL473ZQD,JL473QK,JL473ZQ9,JL473ZQA,JL473ZQD,JL473ZQD,JL473ZQ9,JL473ZQA,JL473ZQA,JL473ZQA
发动机,エンジン,排量(mL),排気量(mL),1494,1494,1494,1494,1392,1494,1494,1494,1392,1494,1494,1494
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,10,10,10,-,-,-,-,-,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）
发动机,エンジン,缸径(mm),ボア(mm),73.5,73.5,73.5,-,-,-,-,-,-,-,-,-
发动机,エンジン,行程(mm),ストローク(mm),88,88,88,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),192,192,192,110,160,170,192,192,160,170,170,170
发动机,エンジン,最大功率(kW),最大出力(kW),141,141,141,81,118,125,141,141,118,125,125,125
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,6000,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),310,310,310,152,260,260,310,310,260,260,260,260
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1500-4000,1500-4000,1500-4000,4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),136,136,136,78,116,122,136,136,116,122,122,122
发动机,エンジン,发动机特有技术,エンジン独自技術,-,-,-,DVVT（可変バルブタイミング）,-,-,-,-,DVVT（可変バルブタイミング）,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,5速マニュアル,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,5,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,マニュアルトランスミッション（MT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 手動パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 205/60 R16タイヤ,● 215/50 R17タイヤ,● 225/45 R18タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 215/50 R17タイヤ,● 215/50 R17タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 215/50 R17タイヤ,● 215/50 R17タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 205/60 R16タイヤ,● 215/50 R17タイヤ,● 225/45 R18タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 215/50 R17タイヤ,● 215/50 R17タイヤ,● 205/60 R16タイヤ,● 205/60 R16タイヤ,● 215/50 R17タイヤ,● 215/50 R17タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース,● トランク内収納スペース
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,-,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,-,-,-,● 前席 / 後席,● 前席 / 後席,-,-,● 前席 / 後席,● 前席 / 後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,●,-,-,-,-,●,-,-,-,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,-,-,-,-,●,-,-,-,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,●,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,-,-,-,-,●,-,-,-,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,●,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,-,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,-,-,-,-,-,-,-,●,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,-,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,-,-,●,●,●,-,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前- / 後,● 前席 / 後席,● 前席 / 後席,● 前- / 後,● 前- / 後,● 前- / 後,● 前- / 後,● 前- / 後,● 前- / 後,● 前- / 後,● 前- / 後,● 前- / 後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,-,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,● 単眼カメラ,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 4個,● 4個,● 5個,-,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー台数,● 3個,● 5個,● 5個,-,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,-,● 1個,● 2個,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,-,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,● レベル2,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳・百度ナビ,● 高徳・百度ナビ,● 高徳・百度ナビ,● 高徳ナビ,● 高徳ナビ,● 高徳ナビ,● 高徳ナビ,● 高徳ナビ,● 高徳ナビ,● 高徳ナビ,● 高徳ナビ,● 高徳ナビ
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,●,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,●,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,-,●,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,●,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,●,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,起步提醒,発進お知らせ機能,-,●,●,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,电动扰流板,電動スポイラー,-,-,○,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,-,●,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,-,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,-,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,-,-,-,-,-,-,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,-,○,●,●,●,○,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,-,-,-,-,-,-,-,-,-
