セクション,セクション_ja,項目,項目_ja,2026年モデル 聡明版 ピュアインテリジェントエディション,2026年モデル 聡明版 エクセレントエディション,2026年モデル 聡明版 アドバンスドインテリジェントエディション,2026年モデル 聡明版 エクセレントエディション GTXパッケージ付き,2026年モデル 聡明版 アドバンスドインテリジェントエディション GTXパッケージ付き
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 全車,● 前席,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準／快適・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・カスタム／パーソナライズ
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 8個,● 8個,8個、12個,● 8個,8個、12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 3個,● 1個,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● IQ.ドライブ,● IQ.ドライブ,● IQ.ドライブ,● IQ.ドライブ
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,●,-,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,●,-,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,○,-,○
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,○,-,○
驾驶功能,運転機能,记忆泊车,メモリーパーク,-,-,○,-,○
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,-,○,-,○
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,● スポーティスタイル,● スポーティスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリープリヒーティング,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特長機能,-,-,● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,-,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,-,-,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席＋照明灯、助手席＋照明灯,● 運転席＋照明灯、助手席＋照明灯,● 運転席＋照明灯、助手席＋照明灯,● 運転席＋照明灯、助手席＋照明灯,● 運転席＋照明灯、助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● ID OS,● ID OS,● ID OS,● ID OS,● ID OS
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・充電管理・エアコン操作・車両状態確認/診断・車両位置検索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約,● ドア操作・充電管理・エアコン操作・車両状態確認/診断・車両位置検索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約,● ドア操作・充電管理・エアコン操作・車両状態確認/診断・車両位置検索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約,● ドア操作・充電管理・エアコン操作・車両状態確認/診断・車両位置検索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約,● ドア操作・充電管理・エアコン操作・車両状態確認/診断・車両位置検索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約
智能化配置,スマート機能装備,车载KTV,車載KTV,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 5.3インチ,● 5.3インチ,● 5.3インチ,● 5.3インチ,● 5.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーター画面素材,● LCD,● LCD,● LCD,● LCD,● LCD
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,-,-,○ （5000元）,-,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席1個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 45W,● 45W,● 45W,● 45W,● 45W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,-,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 15W,-,● 15W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 革／ファブリックコンビ,● 革／ファブリックコンビ,● 合成皮革,合成皮革・革／スエード素材コンビ,合成皮革・革／スエード素材コンビ
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,-,○,○
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング・高さ調整（2方向）,● 前後調整・リクライニング・高さ調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング・高さ調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング・高さ調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング・高さ調整（2方向）・ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング,● 前後調整・リクライニング・高さ調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング・高さ調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング・高さ調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング・高さ調整（2方向）・ランバーサポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 7スピーカー,● 7スピーカー,● 7スピーカー,● 7スピーカー,● 7スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 単色,● 30色,● 単色,● 30色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●
