セクション,セクション_ja,項目,項目_ja,2025年モデル 熊猫mini 210km 元気熊,2025年モデル 210km 熊猫カーティング,2025年モデル 210km 熊猫カーティング 猪猪侠限定版,2025年モデル 210km 熊猫ナイト,2024年モデル 熊猫mini 200km 耐久熊,2023年モデル 熊猫mini 120km アジア大会熊,2023年モデル 熊猫mini 120km 超かわいい熊,2023年モデル 熊猫mini 200km 活発熊
车身,車体,接近角(°),アプローチアングル(°),28,18,18,29,29,29,29,29
车身,車体,离去角(°),デパーチャーアングル(°),32,22,22,29,33,31,33,33
车身,車体,最小转弯半径(m),最小回転半径(m),4,4,4,4,4,4,4,4
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3
车身,車体,座位数(个),乗車定員(名),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,后备厢容积(L),トランク容量(L),69-800,69-800,69-800,69-800,69-800,69-800,69-800,69-800
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,浙江オースウェル,浙江オースウェル,浙江オースウェル,浙江オースウェル,浙江オースウェル,ニデコ,-,浙江オースウェル
电动机,モーター,后电动机型号,後モーター型式,TZ160X30C,TZ160X30C,TZ160X30C,TZ160X30C,TZ160X30C,TZ155X020,-,TZ160X30C
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),30,30,30,30,30,20,20,30
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),41,41,41,41,41,27,27,41
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),110,110,110,110,110,85,85,110
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),30,30,30,30,30,20,20,30
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),110,110,110,110,110,85,85,110
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置
电动机,モーター,三电系统质保,三電システム保証,● 初代オーナー無制限年数・距離（免責条項は公式基準による）,-,-,-,● 初代オーナー無制限年数・距離（免責条項は公式基準による）,● 初代オーナー無制限年数・距離（免責条項は公式基準による）,● 初代オーナー無制限年数・距離（免責条項は公式基準による）,● 初代オーナー無制限年数・距離（免責条項は公式基準による）
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,-,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 国軒高科,● 国軒高科,● 国軒高科,● 国軒高科,● 国軒高科,-,-,● 国軒高科
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),210,210,210,210,200,120,120,200
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),17.03,17.03,17.03,17.03,17.03,9.61,9.61,17.03
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),125.78,125.78,125.78,125.78,125.78,-,-,125.78
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),9.1,9.1,9.1,9.1,9.4,-,-,9.8
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,非対応,非対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),22,22,22,22,22,-,-,22
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,-,-,0.5
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),4.5,4.5,4.5,4.5,4.5,5,5,-
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電範囲(%),30-80,30-80,30-80,30-80,30-80,-,-,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電範囲(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両正面,車両正面,車両正面,車両正面,車両正面,-,-,車両正面
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 155/70 R13,● 155/65 R14,● 155/65 R14,● 155/65 R14,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/65 R14
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 155/70 R13,● 155/65 R14,● 155/65 R14,● 155/65 R14,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/65 R14
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,-,-,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),○,-,●,-,-,-,-,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,○,-,●,-,-,-,-,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,○,-,●,-,-,-,-,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,-,-,●,-,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 標準/快適,● スポーツ 標準/快適,● スポーツ 標準/快適,● スポーツ 標準/快適,● スポーツ 標準/快適,● スポーツ 標準/快適,● スポーツ 標準/快適,● スポーツ 標準/快適
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,○,-,●,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前-/後,● 前-/後,● 前-/後,● 前-/後,● 前-/後,● 前-/後,● 前-/後,● 前-/後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,○ バックカメラ,● バックカメラ,● バックカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 1個,● 1個,● 1個,○ 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 2個,● 2個,● 2個,● 2個,● 2個,○ 2個,● 2個,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,-,-,-,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,-,-,-,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況表示,-,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,● スポーツスタイル,● スポーツスタイル,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼鉄,● 鋼鉄,● 鋼鉄,● アルミ合金,● 鋼鉄,● 鋼鉄,● 鋼鉄,● 鋼鉄
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,-,●,-,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,○,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,-,-,●,○,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリープリヒーター,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,-,●,●,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,-,-,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,-,-,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,○ タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,○ 8インチ,● 8インチ,● 8インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,○ LCD,-,● LCD
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,○ 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,○ シングルゾーン,● シングルゾーン,● シングルゾーン
智能化配置,スマート機能装備,车联网,コネクテッドカー機能,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 エアコン操作 車両状態確認／診断 車両位置特定／車両探索,● ドア操作 エアコン操作 車両状態確認／診断 車両位置特定／車両探索,● ドア操作 エアコン操作 車両状態確認／診断 車両位置特定／車両探索,● ドア操作 エアコン操作 車両状態確認／診断 車両位置特定／車両探索,● ドア操作 エアコン操作 車両状態確認／診断 車両位置特定／車両探索,○ ドア操作 エアコン操作 車両状態確認／診断 車両位置特定／車両探索,● ドア操作 エアコン操作 車両状態確認／診断 車両位置特定／車両探索,● ドア操作 エアコン操作 車両状態確認／診断 車両位置特定／車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 10W,● 10W,● 10W,● 10W,● 10W,-,-,● 10W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● レザー／ファブリックコンビ,● レザー／ファブリックコンビ,● レザー／ファブリックコンビ,● ファブリック,● ファブリック,● ファブリック,● ファブリック
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,○ マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-,-,-,-
