セクション,項目,君越 2026款 28T 白金版,君越 2026款 白金艾维亚版,君越 2025款 28T 白金版,君越 2025款 白金艾维亚版
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 30英寸,● 30英寸,● 30英寸,● 30英寸
屏幕/系统,中控屏幕分辨率,● 6K,● 6K,● 6K,● 6K
屏幕/系统,中控屏幕像素密度,● 200PPI,● 200PPI,● 200PPI,● 200PPI
屏幕/系统,蓝牙/车载电话,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗"
屏幕/系统,语音助手唤醒词,● 你好，别克,● 你好，别克,● 你好，别克,● 你好，别克
屏幕/系统,语音免唤醒词,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●
屏幕/系统,应用商店,●,●,●,●
屏幕/系统,车载智能系统,● VCS智能座舱,● VCS智能座舱,"● 别克eConnect
● VCS智能座舱","● 别克eConnect
● VCS智能座舱"
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,后排控制多媒体,-,●,-,●
智能化配置,车联网,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 5G,● 4G,● 5G
智能化配置,OTA升级,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
智能化配置,主动降噪,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,"● 自动防眩目
● 流媒体","● 手动防眩目
○ 自动防眩目
○ 流媒体","● 自动防眩目
● 流媒体"
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,● 真皮,● 仿皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风","● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,-,● 驾驶位,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,●,●,-,●
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,第二排座椅功能,-,"● 加热
● 通风
● 按摩",-,"● 加热
● 通风
● 按摩"
座椅配置,后排座椅放倒形式,● 比例放倒,-,● 比例放倒,-
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,● BOSE,-,● BOSE
音响/车内灯光,扬声器数量,● 8喇叭,● 11喇叭,● 8喇叭,● 11喇叭
音响/车内灯光,车内环境氛围灯,● 121色,● 121色,● 121色,● 121色
音响/车内灯光,主动式环境氛围灯,-,●,-,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,●,-,●
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●
空调/冰箱,车载空气净化器,-,●,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●
空调/冰箱,负离子发生器,-,●,-,●
空调/冰箱,空气质量监测,●,●,●,●
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
