セクション,セクション_ja,項目,項目_ja,2026年モデル 450TSI 4WD 至尊 7人乗り,2026年モデル 450TSI 4WD 至尊 6人乗り,2026年モデル 450TSI 4WD フラッグシップ 7人乗り,2026年モデル 450TSI 4WD フラッグシップ 6人乗り,2025年モデル 380TSI 4WD 豪華佳境Pro みんなで楽しむ 6人乗り,2025年モデル 380TSI 4WD 豪華佳境Pro みんなで楽しむ 7人乗り
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),2177,2175,2177,2175,2160,2160
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2770,2740,2770,2740,2670,2730
车身,車体,长度(mm),全長(mm),5143,5143,5168,5168,5152,5152
车身,車体,宽度(mm),全幅(mm),2002,2002,2002,2002,2002,2002
车身,車体,高度(mm),全高(mm),1792,1792,1792,1792,1795,1795
车身,車体,轴距(mm),ホイールベース(mm),2980,2980,2980,2980,2980,2980
车身,車体,前轮距(mm),前トレッド(mm),1704,1704,1704,1704,1704,1704
车身,車体,后轮距(mm),後トレッド(mm),1719,1719,1719,1719,1719,1719
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,18,18
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17,19,19
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 7人乗り,● 6人乗り,● 7人乗り,● 6人乗り,● 6人乗り,● 7人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),74,74,74,74,74,74
车身,車体,后备厢容积(L),トランク容量(L),350-877,350-939,350-877,350-939,357-942,357-880
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DYN（エンジンコード）,DYN（エンジンコード）,DYN（エンジンコード）,DYN（エンジンコード）,EA888-DTJ（エンジン型式）,EA888-DTJ（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1984,1984,1984,1984,1984,1984
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),272,272,272,272,220,220
发动机,エンジン,最大功率(kW),最大出力(kW),200,200,200,200,162,162
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000-6500,5000-6500,5000-6500,5000-6500,4500-6700,4500-6700
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),400,400,400,400,350,350
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1700-4500,1700-4500,1700-4500,1700-4500,1500-4300,1500-4300
发动机,エンジン,最大净功率(kW),最大出力(kW),200,200,200,200,162,162
发动机,エンジン,发动机特有技术,エンジン独自技術,可変ジオメトリーターボチャージャー,可変ジオメトリーターボチャージャー,可変ジオメトリーターボチャージャー,可変ジオメトリーターボチャージャー,-,-
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,○ フルサイズスペアタイヤなし（500元）,○ フルサイズスペアタイヤなし（500元）,○ フルサイズスペアタイヤなし（500元）,○ フルサイズスペアタイヤなし（500元）,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,○ トランク内収納,○ トランク内収納,○ トランク内収納,○ トランク内収納,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前列・第2列シート,● 前列・第2列シート,● 前列・第2列シート,● 前列・第2列シート,● 前列シート,● 前列シート
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズドモード,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズドモード,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズドモード,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズドモード,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズドモード,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズドモード
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ技術,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,単眼・双眼カメラ,単眼・双眼カメラ,● 単眼・双眼カメラ,● 単眼・双眼カメラ,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,5個・7個センサー,5個・7個センサー,● 7個センサー,● 7個センサー,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個センサー,● 12個センサー,● 12個センサー,● 12個センサー,● 12個センサー,● 12個センサー
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個センサー,● 5個センサー,● 5個センサー,● 5個センサー,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,IQ.ドライブ・IQ.パイロット,IQ.ドライブ・IQ.パイロット,● IQ.パイロット,● IQ.パイロット,● トラベルアシスト,● トラベルアシスト
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● テンセント,● テンセント,● テンセント,● テンセント,-,-
驾驶功能,運転機能,AR实景导航,ARナビゲーション,●,●,●,●,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,-,-
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,○,○,●,●,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,○,○,○,○,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル離脱検知,●,●,●,●,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,"○ 高速道路区間（10,000元）","○ 高速道路区間（10,000元）","○ 高速道路区間（6,500元）","○ 高速道路区間（6,500元）",-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,● スポーティスタイル,● スポーティスタイル,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前列シート,● 前列シート,● 前列シート,● 前列シート,● 車両全体,● 車両全体
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,"○ マトリクス式（8,000元）","○ マトリクス式（8,000元）",● マトリクス式,● マトリクス式,○ マトリクス式,○ マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,○,○,●,●,○,○
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●,-,-
车外灯光,外部照明,转向头灯,コーナリングライト,○,○,●,●,○,○
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト演出,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
天窗/玻璃,サンルーフ・ガラス,可加热喷水嘴,ヒーター付きウォッシャーノズル,-,-,-,-,○,○
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15インチ,● 15インチ,● 15インチ,● 15インチ,● 12インチ,● 12インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 2K,● 2K,● 2K,● 2K,-,-
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,● 11.6インチ,● 11.6インチ,● 11.6インチ,● 11.6インチ,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション,マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション,マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,-,-
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載インテリジェントチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,-
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 12,● 12,● 12,● 12,-,-
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,● 128,-,-
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,-,-
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,-,-
智能化配置,スマート機能装備,V2X通讯,V2X通信,●,●,●,●,-,-
