セクション,セクション_ja,項目,項目_ja,2025年モデル 4ドア版 進階モデル,2025年モデル 4ドア版 プレミアムモデル,2025年モデル 4ドア版 プレミアム＋モデル,2024年モデル 第3世代 120km,2024年モデル 第3世代 170km,2024年モデル 第3世代 215km ヤングモデル,2024年モデル 第3世代 215km 進階モデル,2022年モデル ライトモデル 三元リチウム,2022年モデル ライトモデル リン酸鉄リチウム,2022年モデル フリースタイルモデル 三元リチウム,2022年モデル フリースタイルモデル リン酸鉄リチウム,2022年モデル エンジョイモデル 三元リチウム,2022年モデル エンジョイモデル リン酸鉄リチウム,2022年モデル マカロンファッションモデル 三元リチウム,2022年モデル マカロンファッションモデル リン酸鉄リチウム,2022年モデル マカロンプレミアムモデル 三元リチウム,2022年モデル マカロンプレミアムモデル リン酸鉄リチウム,2022年モデル マカロンカラフルモデル 三元リチウム,2022年モデル マカロンカラフルモデル リン酸鉄リチウム,2022年モデル マカロンペイントモデル 三元リチウム,2022年モデル マカロンペイントモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km プレイモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km プレイヤーモデル リン酸鉄リチウム,2022年モデル GAMEBOY 300km プレイモデル リン酸鉄リチウム,2022年モデル GAMEBOY 300km プレイヤーモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km シティウィンド限定版,2022年モデル GAMEBOY 200km レースレンジャー限定版,2022年モデル GAMEBOY 300km シティウィンド限定版,2022年モデル GAMEBOY 300km レースレンジャー限定版,2022年モデル オープンカー版
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),30-80,30-80,30-80,-,-,30-80,30-80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),30,30,30,20,20,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,85,85,92,92,85,85,85,85,85,85,85,85,85,85,85,85,85,85,110,110,110,110,110,110,110,110,110
基本参数,基本仕様,车身结构,ボディ構造,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,2ドア2人乗りソフトトップコンバーチブル
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),41,41,41,27,27,41,41,27,27,27,27,27,27,27,27,27,27,27,27,27,27,41,41,41,41,41,41,41,41,41
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),3256×1510×1578,3256×1510×1578,3256×1510×1578,3064×1493×1614,3064×1493×1629,3064×1493×1614,3064×1493×1629,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,2920×1493×1621,3061×1520×1665,3061×1520×1665,3061×1520×1659,3061×1520×1659,3064×1521×1649,3089×1521×1604,3064×1521×1649,3089×1521×1604,3059×1521×1614
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),4.9,4.9,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.03,1.03,1.03,-,-,1.02,1.02,1,1,1,1,1.1,1.1,1,1,1.1,1.1,1,1,1.1,1.1,1.02,1.02,1.09,1.09,1.02,1.02,1.09,1.09,1.21
基本参数,基本仕様,整车质保,車両保証,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または10万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),780,780,780,685,715,777,777,665,665,665,665,700,700,665,665,700,700,665,665,700,700,772,772,822,822,772,772,832,832,925
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1100,1100,1100,1000,1030,1095,1095,980,980,980,980,1020,1020,980,980,1020,1020,980,980,1020,1020,1080,1080,1150,1150,1080,1080,1150,1150,1100
车身,車体,长度(mm),全長(mm),3256,3256,3256,3064,3064,3064,3064,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,3061,3061,3061,3061,3064,3089,3064,3089,3059
车身,車体,宽度(mm),全幅(mm),1510,1510,1510,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1520,1520,1520,1520,1521,1521,1521,1521,1521
车身,車体,高度(mm),全高(mm),1578,1578,1578,1614,1629,1614,1629,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1665,1665,1659,1659,1649,1604,1649,1604,1614
车身,車体,轴距(mm),ホイールベース(mm),2190,2190,2190,2010,2010,2010,2010,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,2010,2010,2010,2010,2010,2010,2010,2010,2010
车身,車体,前轮距(mm),前トレッド(mm),1282,1282,1282,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
车身,車体,后轮距(mm),後トレッド(mm),1290,1290,1290,1306,1306,1306,1306,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1306,1306,1306,1306,1306,1306,1306,1306,1306
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),120,120,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,空载最小离地间隙(mm),空車時最低地上高(mm),-,-,-,138,138,130,130,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,120,120,120,120,120
车身,車体,接近角(°),アプローチアングル(°),22,22,22,25,25,25,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,23,23,23,23,26,22,26,22,24
车身,車体,离去角(°),デパーチャーアングル(°),38,38,38,36,36,36,36,44,44,44,44,44,44,44,44,44,44,44,44,44,44,34,34,34,34,31,31,31,31,37
车身,車体,最小转弯半径(m),最小回転半径(m),4.5,4.5,4.5,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ソフトトップコンバーチブル
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 2
车身,車体,座位数(个),乗車定員(名),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 2
车身,車体,后备厢容积(L),トランク容量(L),123-745,123-745,123-745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,后电动机品牌,後部モーターブランド,柳州サイク,柳州サイク,柳州サイク,双林自動車／浙江方正,双林自動車／浙江方正,双林自動車,双林自動車,双林自動車,双林自動車,双林自動車,双林自動車,双林自動車,双林自動車,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,双林自動車,双林自動車,浙江方正,浙江方正,双林自動車,双林自動車,双林自動車
电动机,モーター,后电动机型号,後部モーター型式,TZ155XZ230,TZ155XZ230,TZ155XZ230,TZ155X020／TZ160X020,TZ155X020／TZ160X020,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X030,TZ160X030,TZ155X030,TZ155X030,TZ160X030,TZ160X030,TZ155X030,TZ155X030,TZ155X030
电动机,モーター,电机类型,モーター種類,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),30,30,30,20,20,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),41,41,41,27,27,41,41,27,27,27,27,27,27,27,27,27,27,27,27,27,27,41,41,41,41,41,41,41,41,41
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,85,85,92,92,85,85,85,85,85,85,85,85,85,85,85,85,85,85,110,110,110,110,110,110,110,110,110
电动机,モーター,后电动机最大功率(kW),後部モーター最大出力(kW),30,30,30,20,20,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30
电动机,モーター,后电动机最大扭矩(N·m),後部モーター最大トルク(N·m),-,-,-,85,85,92,92,85,85,85,85,85,85,85,85,85,85,85,85,85,85,110,110,110,110,110,110,110,110,110
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 寧徳時代・国軒高科,● 寧徳時代・国軒高科,● 寧徳時代・国軒高科,● ハニーカムエナジー 柳州華霆,● ハニーカムエナジー・国軒高科・柳州科易,● 国軒高科・広西寧福,● 国軒高科・広西寧福,● 華霆,● 華霆,● 華霆,● 華霆,● 華霆,● 蘇州科易,● 華霆,● 華霆,● 華霆,● 蘇州科易,● 華霆,● 華霆,● 華霆,● 蘇州科易,● 国軒高科・鵬輝電源,● 国軒高科・鵬輝電源,● 華霆・蘇州科易,● 華霆・蘇州科易,● 国軒高科・鵬輝電源,● 国軒高科・鵬輝電源,● 華霆・蘇州科易,● 華霆・蘇州科易,● 鵬輝電源
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,神錬電池,神錬電池,神錬電池,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,换电,バッテリー交換対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応
电池/充电,バッテリー/充電,NEDC纯电续航里程(km),NEDC純電航続距離(km),-,-,-,-,-,-,-,120,120,120,120,170,170,120,120,170,170,120,120,170,170,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),205,205,205,120,170,215,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,300,300,200,200,300,300,280
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),16.2,16.2,16.2,9.3,13.4,17.3,17.3,9,9.3,9,9.3,13.8,13.9,9,9.3,13.8,13.9,9,9.3,13.8,13.9,17.3,17.3,26.5,26.5,17.3,17.3,26.5,26.5,26.5
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),125,125,125,-,-,-,-,100,98,100,98,110,115,100,98,110,115,100,98,110,115,115,115,130,130,115,115,130,130,130
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),8.9,8.9,8.9,-,-,9,9,8.8,8.8,8.8,8.8,9.3,9.3,8.8,8.8,9.3,9.3,8.8,8.8,9.3,9.3,9,9,9.6,9.6,9,9,9.6,9.6,10.7
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,-,-,対応,対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),20,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.58,0.58,0.58,-,-,0.58,0.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),4.8,4.8,4.8,4.6,6.8,5,5,6.5,6.5,6.5,6.5,9,9,6.5,6.5,9,9,6.5,6.5,9,9,5.5,5.5,8.5,8.5,5.5,5.5,8.5,8.5,8.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電容量範囲(%),30-80,30-80,30-80,-,-,30-80,30-80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両正面,車両正面,車両正面,-,-,車両正面,車両正面,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
